50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_success_in_play,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,68e0daf9-5b30-476d-bb6f-3ab823f29109,1,,,3900550,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Rennes,134,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 3354, 'name': 'Benoît Guy Robert Costil'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 4475, 'name': 'Romain Danzé'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 29}, {'player': {'id': 3753, 'name': 'Pedro Filipe Teodósio Mendes'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 40699, 'name': 'Sylvain Armand'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 22}, {'player': {'id': 3424, 'name': ""Cheikh M''Bengue""}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 3292, 'name': 'Abdoulaye Doucouré'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 2990, 'name': 'Benjamin André'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 21}, {'player': {'id': 5667, 'name': 'Kamil Grosicki'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 5692, 'name': 'Juan Fernando Quintero Paniagua'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 11}, {'player': {'id': 5477, 'name': 'Ousmane Dembélé'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 23}, {'player': {'id': 3018, 'name': 'Giovanni-Guy Yann Sio'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 13}]}",Rennes,134,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,871383a3-c010-4903-a69e-efc62ae47fd7,2,,,3900550,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Rennes,134,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 2963, 'name': 'Rémy Vercoutre'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 22111, 'name': 'Dennis Appiah'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 12}, {'player': {'id': 5656, 'name': 'Syam Ben Youssef'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 13}, {'player': {'id': 4386, 'name': 'Damien Da Silva'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 28}, {'player': {'id': 4474, 'name': 'Emmanuel Imorou'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 15}, {'player': {'id': 40698, 'name': 'Nicolas Seube'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 2}, {'player': {'id': 2979, 'name': 'Jonathan Delaplace'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 2959, 'name': 'Julien Féret'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 25}, {'player': {'id': 2955, 'name': 'Ronny Rodelin'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 23}, {'player': {'id': 2992, 'name': 'Vincent Bessat'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 3038, 'name': 'Andy Delort'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Caen,140,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,582cf656-5f6c-4dc0-a7a9-2302fb691df6,3,,,3900550,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Rennes,134,['167ccdce-3179-437f-ba57-d97f1944dec4'],0,,,,,,,,,,,,,,,,,Rennes,134,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,167ccdce-3179-437f-ba57-d97f1944dec4,4,,,3900550,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Rennes,134,['582cf656-5f6c-4dc0-a7a9-2302fb691df6'],0,,,,,,,,,,,,,,,,,Caen,140,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,cbaf9ab4-8b0a-4639-a536-5014d2a6c503,1777,,,3900550,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,89,Caen,140,['d60a6b67-e06c-42ec-a3dd-f2bc24eb3882'],0,,,,,,,,,,,,,,,,,Rennes,134,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,d60a6b67-e06c-42ec-a3dd-f2bc24eb3882,1778,,,3900550,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,89,Caen,140,['cbaf9ab4-8b0a-4639-a536-5014d2a6c503'],0,,,,,,,,,,,,,,,,,Caen,140,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.755826,,,,,,,,,,,,1d088bc3-b4a1-424c-8701-b85bf2de8870,5,,"[60.0, 40.0]",3900550,0,True,,,1.929567,,Right Foot,,,"[59.7, 40.8]",,Ground Pass,,0.8544004,,,,Juan Fernando Quintero Paniagua,5692.0,,,,,Kick Off,1,From Kick Off,Giovanni-Guy Yann Sio,3018.0,Center Forward,2,Rennes,134,['a75591da-83ed-463e-b6f5-4483bbe79820'],0,,,,,,,,,,,,,,,,,Rennes,134,00:00:00.210,Pass,
,,,,,,,,,,,,,,,,,1.580779,,,,,,,,,,,,f8b2a99f-70ad-45b2-9cea-dc5176b0dc81,7,,"[56.7, 40.4]",3900550,0,,,,-2.669314,,Left Foot,,,"[24.4, 23.9]",,Ground Pass,,36.270374,,,,Sylvain Armand,40699.0,,,,,,1,From Kick Off,Juan Fernando Quintero Paniagua,5692.0,Center Attacking Midfield,2,Rennes,134,['59af1e14-458a-4f33-a881-45d52d4483d9'],1,,,,,,,,,,,,,,,,,Rennes,134,00:00:01.754,Pass,
,,,,,,,,,,,,,,,,,1.616452,,,,,,,,,,,,d189566a-304d-453e-aba1-d4ce51427267,10,,"[24.2, 25.0]",3900550,0,,,,1.2930425,,Left Foot,,,"[31.1, 49.2]",,Ground Pass,,25.16446,,,,Pedro Filipe Teodósio Mendes,3753.0,,,,,,1,From Kick Off,Sylvain Armand,40699.0,Left Center Back,2,Rennes,134,['349cc848-f7c8-4030-9f83-f2ae98887a54'],5,,,,,,,,,,,,,,,,,Rennes,134,00:00:05.344,Pass,
,,,,,,,,,,,,,,,,,1.7812,,,,,,,,,,,,85b61992-0716-4a53-be2d-9db7a6f7daa8,13,,"[33.5, 50.4]",3900550,0,,,,-1.5419235,,Right Foot,,,"[34.3, 22.7]",,Ground Pass,,27.71155,,,,Sylvain Armand,40699.0,,,,,,1,From Kick Off,Pedro Filipe Teodósio Mendes,3753.0,Right Center Back,2,Rennes,134,['2cdb33f1-70c0-4c5c-8911-a418c01c7f00'],9,,,,,,,,,,,,,,,,,Rennes,134,00:00:09.097,Pass,
