50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,d2a7b147-0f52-43d6-ab97-2c49a4f1ac09,1,,,3900494,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Gazélec Ajaccio,160,,0,,,,,,,,,,,,,,,"{'formation': 41212, 'lineup': [{'player': {'id': 401508, 'name': 'Clément Maury'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 7428, 'name': 'Alexandre Coeff'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 29}, {'player': {'id': 7808, 'name': 'Roderic Filippi'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 7603, 'name': 'Jérémie Bréchet'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 3207, 'name': 'Pablo Jean Antoine Martínez'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 21}, {'player': {'id': 401509, 'name': 'David Ducourtioux'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 7389, 'name': 'Amos Youga'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 18}, {'player': {'id': 31911, 'name': 'Damjan Đoković'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 23}, {'player': {'id': 10616, 'name': 'Mohamed Larbi'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 401506, 'name': 'Grégory Pujol'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 28}, {'player': {'id': 401505, 'name': 'Jacques Zoua Daogari'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 19}]}",Gazélec Ajaccio,160,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,52db9d8b-71f2-4271-a3ec-6e607667f5dc,2,,,3900494,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Gazélec Ajaccio,160,,0,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 40533, 'name': 'Cédric Carrasso'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 16}, {'player': {'id': 4823, 'name': 'Milan Gajić'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 8385, 'name': 'Ludovic Lamine Sané'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 3256, 'name': 'Nicolas Pallois'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 4442, 'name': 'Maxime Poundjé'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 29}, {'player': {'id': 30338, 'name': 'André Biyogo Poko'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 17}, {'player': {'id': 7552, 'name': 'Clément Chantôme'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 11}, {'player': {'id': 3150, 'name': 'Jaroslav Plašil'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 18}, {'player': {'id': 3196, 'name': 'Wahbi Khazri'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 24}, {'player': {'id': 5110, 'name': 'Henri Saivet'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 6739, 'name': 'Diego Alejandro Rolan Silva'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Bordeaux,146,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,64dea9fd-14e0-4936-a14a-c2452b34b733,3,,,3900494,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Gazélec Ajaccio,160,['ae7300f8-08a8-439c-a5a8-8898b0abf46a'],0,,,,,,,,,,,,,,,,Bordeaux,146,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,ae7300f8-08a8-439c-a5a8-8898b0abf46a,4,,,3900494,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Gazélec Ajaccio,160,['64dea9fd-14e0-4936-a14a-c2452b34b733'],0,,,,,,,,,,,,,,,,Gazélec Ajaccio,160,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,cd087b00-8ed6-4896-90b0-632b42f9500d,1703,,,3900494,45,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,113,Bordeaux,146,['68074643-c562-47e1-9c89-c9f8e0d17f97'],0,,,,,,,,,,,,,,,,Gazélec Ajaccio,160,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,68074643-c562-47e1-9c89-c9f8e0d17f97,1704,,,3900494,45,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,113,Bordeaux,146,['cd087b00-8ed6-4896-90b0-632b42f9500d'],0,,,,,,,,,,,,,,,,Bordeaux,146,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.41903,,,,,,,,,,,e3116eff-f12e-401e-bf29-1a70cfdfdf69,5,,"[60.0, 40.0]",3900494,0,,,,-1.7307094,,Right Foot,,,"[59.5, 36.9]",,Ground Pass,,3.1400638,,,Jacques Zoua Daogari,401505.0,,,,,Kick Off,1,From Kick Off,Grégory Pujol,401506.0,Right Center Forward,2,Gazélec Ajaccio,160,['a5b43c34-d214-464c-b8c5-298e6f51d3f5'],0,,,,,,,,,,,,,,,,Gazélec Ajaccio,160,00:00:00.308,Pass,
,,,,,,,,,,,,,,,,0.938525,,,,,,,,,,,303988f2-3569-488a-b830-0194c88499b8,8,,"[60.6, 39.7]",3900494,0,,,,-2.728464,,Left Foot,,,"[53.3, 36.5]",,Ground Pass,,7.970571,,,Mohamed Larbi,10616.0,,,,,,1,From Kick Off,Jacques Zoua Daogari,401505.0,Left Center Forward,2,Gazélec Ajaccio,160,['112d7937-9d5f-45ce-876a-88173bae3585'],0,,,,,,,,,,,,,,,,Gazélec Ajaccio,160,00:00:00.874,Pass,
,,,,,,,,,,,,,,,,1.98161,,,,,,,,,,,657fafad-d706-40e1-b674-375a1666a994,11,,"[53.1, 36.5]",3900494,0,,,,-1.6207547,,Right Foot,,,"[51.4, 2.5]",,Ground Pass,,34.042473,,,Pablo Jean Antoine Martínez,3207.0,,,,,,1,From Kick Off,Mohamed Larbi,10616.0,Center Attacking Midfield,2,Gazélec Ajaccio,160,['a803c5e5-29a2-4863-bee3-e59d2d7a206f'],2,,,,,,,,,,,,,,,,Gazélec Ajaccio,160,00:00:02.384,Pass,
,,,,,,,,,,,,,,,,1.907263,,,,,,,,,,,e6e18f4b-4232-4c1c-b01f-b159914bcf5d,14,,"[51.6, 2.5]",3900494,0,,,,0.18859206,,Left Foot,,,"[88.8, 9.6]",,High Pass,,37.871494,,,Jacques Zoua Daogari,401505.0,,,,,,1,From Kick Off,Pablo Jean Antoine Martínez,3207.0,Left Back,2,Gazélec Ajaccio,160,['fc52223f-09a8-4789-a68b-d705191e11da'],5,,,,,,,,,,,,,,,,Gazélec Ajaccio,160,00:00:05.985,Pass,
