ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_redirect,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,4a38df87-d6ea-4a60-8be4-c442ceac609e,1,,,3900584,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bastia,2736,,0,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 7282, 'name': 'Jean-Louis Leca'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 16}, {'player': {'id': 2989, 'name': 'Alexander Djiku'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 23}, {'player': {'id': 26481, 'name': 'Sébastien Squillaci'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 401194, 'name': 'François Modesto'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 20}, {'player': {'id': 40528, 'name': 'Florian Marange'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 28}, {'player': {'id': 4350, 'name': 'Yannick Cahuzac'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 29875, 'name': 'Axel Ngando'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 19}, {'player': {'id': 7791, 'name': 'Seko Fofana'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 15689, 'name': 'Floyd Ayité'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 7}, {'player': {'id': 4508, 'name': 'Julian Palmieri'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 15}, {'player': {'id': 401541, 'name': 'Evaeverson Lemos da Silva Brandão'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 11}]}",Bastia,2736,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,77e570a4-a890-4bcb-a235-eaa6b51cb994,2,,,3900584,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bastia,2736,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 40645, 'name': 'Laurent Pionnier'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 2975, 'name': 'Mathieu Deplagne'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 25}, {'player': {'id': 3674, 'name': 'Vitorino Hilton da Silva'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 3011, 'name': 'Daniel Congré'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 3191, 'name': 'Ramy Bensebaini'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 15}, {'player': {'id': 3421, 'name': 'Bryan Dabo'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 4669, 'name': 'William Jean Rémy'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 21}, {'player': {'id': 3679, 'name': 'Souleymane Camara'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 19}, {'player': {'id': 2950, 'name': 'Jonas Martin'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 8}, {'player': {'id': 3020, 'name': 'Rodrigue Casimir Ninga'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 29}, {'player': {'id': 6661, 'name': 'Ryad Boudebouz'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Montpellier,139,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,4d1a6893-191b-4683-91b7-59cf7ff55f66,3,,,3900584,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bastia,2736,['1436beae-d620-493a-977a-bd69fae09356'],0,,,,,,,,,,,,,,,,,,Montpellier,139,00:00:00.000,Half Start,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,1436beae-d620-493a-977a-bd69fae09356,4,,,3900584,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bastia,2736,['4d1a6893-191b-4683-91b7-59cf7ff55f66'],0,,,,,,,,,,,,,,,,,,Bastia,2736,00:00:00.000,Half Start,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,4c9bce7c-6961-4bef-b413-f152fc75c113,1816,,,3900584,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,112,Bastia,2736,['947c89a1-cb94-4f1d-bd43-105663875b21'],0,,,,,,,,,,,,,,,,,,Bastia,2736,00:00:00.000,Half Start,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,947c89a1-cb94-4f1d-bd43-105663875b21,1817,,,3900584,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,112,Bastia,2736,['4c9bce7c-6961-4bef-b413-f152fc75c113'],0,,,,,,,,,,,,,,,,,,Montpellier,139,00:00:00.000,Half Start,
,,,,,,,,,,,,,,1.293859,,,,,,,,,,,,,80f63df4-0f28-48cd-b2ff-b3985c6e5f55,5,,"[60.0, 40.0]",3900584,0,,,,,0.23783593,,Right Foot,,,"[63.3, 40.8]",,Ground Pass,,3.3955853,,,,,Ryad Boudebouz,6661.0,,,,,Kick Off,1,From Kick Off,Jonas Martin,2950.0,Center Attacking Midfield,2,Montpellier,139,['cd5a736a-af83-4f05-94a2-9a7130b581c5'],0,,,,,,,,,,,,,,,,,,Montpellier,139,00:00:00.474,Pass,
,,,,,,,,,,,,,,3.748845,,,,,,,,,,,,,f5ce948c-ddd2-4b88-a97f-9a61376db41c,7,,"[63.3, 40.8]",3900584,0,,,,,0.7220683,,Left Foot,,,"[106.9, 79.2]",,High Pass,,58.099224,,,Out,,Souleymane Camara,3679.0,,,,,,1,From Kick Off,Ryad Boudebouz,6661.0,Center Forward,2,Montpellier,139,['c6860fd7-7a83-4d62-b436-7c279d85c4ea'],1,,,,,,,,,,,,,,,,,,Montpellier,139,00:00:01.768,Pass,
,,,,,,,,,,,,,,1.442188,,,,,,,,,,,,,2565d96e-7332-4e35-b04b-7818426e77e9,9,,"[20.5, 0.1]",3900584,0,,,,,0.38366592,,,,,"[42.3, 8.9]",,Low Pass,,23.509148,,,,,Evaeverson Lemos da Silva Brandão,401541.0,,,,,Throw-in,1,From Throw In,Florian Marange,40528.0,Left Back,3,Bastia,2736,['612aa551-70e8-4d1d-ae26-61d739321765'],13,,,,,,,,,,,,,,,,,,Bastia,2736,00:00:13.721,Pass,
,,,,,,,,,,,,,,1.553793,,,,,,,,,,,,,a6cba4b4-4c07-4f68-b07b-32498fd935d8,11,,"[42.3, 8.9]",3900584,0,,,,,0.7476802,,Head,,,"[53.3, 19.1]",,High Pass,,15.001333,,,Incomplete,,Floyd Ayité,15689.0,,,,,,1,From Throw In,Evaeverson Lemos da Silva Brandão,401541.0,Center Forward,3,Bastia,2736,"['3a5c5d21-1514-4f59-acd7-05c879f2204e', 'efc5349c-afca-4954-aa2e-7430686e0f2f']",15,,,,,,,,,,,,,,,,,,Bastia,2736,00:00:15.243,Pass,
