50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,1.861431,,,,,,,,,,,,7963c313-92bf-4193-95c7-47170fd1c996,3951,,,"[7.1, 27.2]",3901216,91,True,,,0.40411538,,Keeper Arm,,,"[38.2, 40.5]",,Ground Pass,,33.824547,,,,,Thimotee Taufflieb,7264.0,,,,,,2,Regular Play,Salvatore Sirigu,7469.0,Goalkeeper,196,Paris Saint-Germain,131,['e4a828d3-7a46-4fc9-8d22-9cd5294b88ad'],40,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:46:40.320,Pass,
,,,,,,,,,,,,,,,1.738858,,,,,,,,,,,,55f80809-d7f8-4cda-8ff2-3c5955c2729a,3953,,,"[44.3, 52.5]",3901216,91,,,,1.595083,,Left Foot,,,"[43.7, 77.2]",,Ground Pass,,24.707287,,,,,Maxwell Scherrer Cabelino Andrade,26613.0,,,,,,2,Regular Play,Thimotee Taufflieb,7264.0,Right Center Midfield,196,Paris Saint-Germain,131,['beb98b09-2977-4fd0-8f35-ee4539071010'],44,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:46:44.451,Pass,
,,,,,,,,,,,,,,,1.373594,,,,,,,,,,,,d6b27432-58f5-415f-8a2b-0996584f1bfc,3956,,,"[43.5, 76.8]",3901216,91,,,,-1.4167471,,Right Foot,,,"[46.0, 60.7]",,Ground Pass,,16.292944,,,,,Thimotee Taufflieb,7264.0,,,,,,2,Regular Play,Maxwell Scherrer Cabelino Andrade,26613.0,Right Back,196,Paris Saint-Germain,131,['0083a4ea-bd1c-41a4-8bc8-d1a77789a1df'],46,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:46:46.644,Pass,
,,,,,,,,,,,,,,,1.23799,,,,,,,,,,,,36fd3a62-49c2-403f-aa5f-b5d455fb805d,3959,,,"[44.8, 61.1]",3901216,91,,,,-1.9712751,,Left Foot,,,"[39.0, 47.4]",,Ground Pass,,14.877164,,,,,Benjamin Stambouli,8515.0,,,,,,2,Regular Play,Thimotee Taufflieb,7264.0,Right Center Midfield,196,Paris Saint-Germain,131,['510e51cd-57af-4d8b-850b-0080c413891b'],49,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:46:49.314,Pass,
,,,,,,,,,,,,,,,1.645825,,,,,,,,,,,,da7f8431-b23b-42a1-ab9a-15f406fd444b,3962,,,"[38.6, 46.2]",3901216,91,,,,-1.8568478,,Right Foot,,,"[32.1, 24.1]",,Ground Pass,,23.036058,,,,,Presnel Kimpembe,2999.0,,,,,,2,Regular Play,Benjamin Stambouli,8515.0,Center Defensive Midfield,196,Paris Saint-Germain,131,['65416839-dbb3-4d64-84ba-c82b3eb4f0ce'],52,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:46:52.952,Pass,
,,,,,,,,,,,,,,,1.306291,,,,,,,,,,,,a61ca7ee-88b5-470a-b7ba-3f30cdb4eda8,3964,,,"[31.9, 24.1]",3901216,91,,,,-0.8219268,,Left Foot,,,"[46.4, 8.5]",,Ground Pass,,21.298122,,,,,Layvin Kurzawa,4326.0,,,,,,2,Regular Play,Presnel Kimpembe,2999.0,Left Center Back,196,Paris Saint-Germain,131,['993bd30b-b6a5-40ae-a236-6baa34bdfc41'],54,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:46:54.598,Pass,
,,,,,,,,,,,,,,,2.087739,,,,,,,,,,,,fbc06a32-6d48-49cb-9484-3abfbfd65427,3966,,,"[52.8, 5.5]",3901216,91,,,,2.6638615,,Left Foot,,,"[38.7, 12.8]",,Ground Pass,,15.877657,,,,,Presnel Kimpembe,2999.0,,,,,,2,Regular Play,Layvin Kurzawa,4326.0,Left Back,196,Paris Saint-Germain,131,['b620b873-62fd-4bf6-8fcf-d4c9a25541c7'],55,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:46:55.905,Pass,
,,,,,,,,,,,,,,,1.79262,,,,,,,,,,,,1f381ebe-2171-4422-b4de-833c500f85b8,3969,,,"[37.7, 14.4]",3901216,91,,,,1.4358196,,Left Foot,,,"[39.9, 30.6]",,Ground Pass,,16.3487,,,,,Benjamin Stambouli,8515.0,,,,,,2,Regular Play,Presnel Kimpembe,2999.0,Left Center Back,196,Paris Saint-Germain,131,['3b3eb530-1120-4e95-a497-63eeef536ac2'],58,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:46:58.480,Pass,
,,,,,,,,,,,,,,,0.521582,,,,,,,,,,,,ec846411-2c18-46d7-b0ed-89c25aa4c62d,3972,,,"[39.7, 30.6]",3901216,92,,,,0.6624263,,Right Foot,,,"[59.7, 46.2]",,Ground Pass,,25.364542,,,Unknown,,,,,,,,,2,Regular Play,Benjamin Stambouli,8515.0,Center Defensive Midfield,196,Paris Saint-Germain,131,,1,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:47:01.297,Pass,
,,,,,,,,,,,,,,,,,,,,,,,,,,,eddecc6c-09cf-4868-8160-86b253fbb4ef,6,,,"[60.2, 40.6]",3901216,0,,,,,,,,,,,,,,,,,,,,,,,,,1,From Kick Off,Zlatan Ibrahimović,3672.0,Center Forward,2,Paris Saint-Germain,131,['f5d9a0dd-655a-47e0-a555-0a6efa1b14b3'],0,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:00.847,Ball Receipt*,
