ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,0.0,,,,,,,,,,,,,2a4f69e3-3e89-40b7-8b0d-b4de4e51efde,1,,,3900600,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Marseille,147,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 4432, 'name': 'Yohann Pelé'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 16}, {'player': {'id': 7857, 'name': 'Brice Dja Djédjé'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 26}, {'player': {'id': 7472, 'name': ""Nicolas Alexis Julio N'Koulou Ndoubena""}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 19813, 'name': 'Rolando Jorge Pires da Fonseca'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 3075, 'name': 'Javier Manquillo Gaitán'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 2}, {'player': {'id': 18874, 'name': 'Mauricio Aníbal Isla Isla'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 25199, 'name': 'Lucas Silva Borges'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 4351, 'name': 'Bouna Sarr'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 17}, {'player': {'id': 3420, 'name': 'Rémy Cabella'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 13}, {'player': {'id': 3639, 'name': 'Georges-Kévin Nkoudou Mbida'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 14}, {'player': {'id': 3457, 'name': 'Michy Batshuayi Tunga'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 22}]}",Marseille,147,00:00:00.000,Starting XI,
,,,,,,,,,,,,,0.0,,,,,,,,,,,,,8105c75b-6a47-4ad3-abc0-d62e2b089803,2,,,3900600,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Marseille,147,,0,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 40484, 'name': 'Vincent Enyeama'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6716, 'name': 'Sébastien Corchia'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 29057, 'name': 'Renato Civelli'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 3677, 'name': 'Bakary Adama Soumaoro'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 23}, {'player': {'id': 5476, 'name': 'Benjamin Pavard'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 28}, {'player': {'id': 11332, 'name': 'Ibrahim Amadou'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 40522, 'name': 'Rio Antonio Zoba Mavuba'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 24}, {'player': {'id': 40697, 'name': 'Mounir Obbadi'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 3625, 'name': 'Sofiane Boufal'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 7}, {'player': {'id': 40486, 'name': 'Éric Bauthéac'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 3673, 'name': 'Yassine Benzia'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Lille,143,00:00:00.000,Starting XI,
,,,,,,,,,,,,,0.0,,,,,,,,,,,,,89f7bd87-e800-4659-a4af-40cd4dd31b95,3,,,3900600,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Marseille,147,['93d1ee1b-c21f-4e6f-8cd6-cbdec9189799'],0,,,,,,,,,,,,,,,,,,Lille,143,00:00:00.000,Half Start,
,,,,,,,,,,,,,0.0,,,,,,,,,,,,,93d1ee1b-c21f-4e6f-8cd6-cbdec9189799,4,,,3900600,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Marseille,147,['89f7bd87-e800-4659-a4af-40cd4dd31b95'],0,,,,,,,,,,,,,,,,,,Marseille,147,00:00:00.000,Half Start,
,,,,,,,,,,,,,0.0,,,,,,,,,,,,,3175d02c-2bbc-41d9-a787-8c9a9f915e54,1895,,,3900600,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Keeper,,,,104,Lille,143,['75cb8422-ca12-4e61-b6e9-c3a85a5d39a9'],0,,,,,,,,,,,,,,,,,,Marseille,147,00:00:00.000,Half Start,
,,,,,,,,,,,,,0.0,,,,,,,,,,,,,75cb8422-ca12-4e61-b6e9-c3a85a5d39a9,1896,,,3900600,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Keeper,,,,104,Lille,143,['3175d02c-2bbc-41d9-a787-8c9a9f915e54'],0,,,,,,,,,,,,,,,,,,Lille,143,00:00:00.000,Half Start,
,,,,,,,,,,,,,0.699226,,,,,,,,,,,,,48f5fb32-cf53-4d20-b41c-c18dd43a09ee,5,,"[60.0, 40.0]",3900600,0,,True,,,-1.8000282,,Right Foot,,,,"[59.3, 37.0]",Ground Pass,,3.0805843,,,Rémy Cabella,3420.0,,,,,Kick Off,1,From Kick Off,Michy Batshuayi Tunga,3457.0,Center Forward,2,Marseille,147,['37258503-de23-449c-a84c-ccefc789fd86'],1,,,,,,,,,,,,,,,,,,Marseille,147,00:00:01.880,Pass,
,,,,,,,,,,,,,0.966656,,,,,,,,,,,,,f5cb7e8f-5dda-4330-b4ff-22c9814a7bd8,7,,"[59.5, 36.3]",3900600,0,,,,,-3.063439,,Left Foot,,,,"[42.9, 35.0]",Ground Pass,,16.650826,,,Lucas Silva Borges,25199.0,,,,,,1,From Kick Off,Rémy Cabella,3420.0,Center Attacking Midfield,2,Marseille,147,['5ae433a7-94b4-4426-9dc6-c194166e29c0'],2,,,,,,,,,,,,,,,,,,Marseille,147,00:00:02.950,Pass,
,,,,,,,,,,,,,1.530515,,,,,,,,,,,,,9f5f6178-cfc7-463e-abfb-bf924c6be172,10,,"[42.9, 35.0]",3900600,0,,,,,1.7200838,,Right Foot,,,,"[39.2, 59.6]",Ground Pass,,24.876696,,,Brice Dja Djédjé,7857.0,,,,,,1,From Kick Off,Lucas Silva Borges,25199.0,Left Defensive Midfield,2,Marseille,147,['0e78b381-93dc-4590-ac14-37306fb0a533'],4,,,,,,,,,,,,,,,,,,Marseille,147,00:00:04.997,Pass,
,,,,,,,,,,,,,2.172947,,,,,,,,,,,,,6f5a5d63-da03-4821-b6b8-d4c2493eeec3,13,,"[43.5, 58.6]",3900600,0,,,,,-0.12062367,,Right Foot,,,,"[79.8, 54.2]",High Pass,,36.565693,,,Michy Batshuayi Tunga,3457.0,,,,,,1,From Kick Off,Brice Dja Djédjé,7857.0,Right Back,2,Marseille,147,['3e9f96ee-5f58-43f8-9e4a-15951a95650b'],9,,,,,,,,,,,,,,,,,,Marseille,147,00:00:09.033,Pass,
