50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,2b4474fa-a00d-4a33-81b6-b2857961e90e,1,,,3829441,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Marseille,147,,0,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 3543, 'name': 'Steve Mandanda'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 30}, {'player': {'id': 3075, 'name': 'Javier Manquillo Gaitán'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 7472, 'name': ""Nicolas Alexis Julio N'Koulou Ndoubena""}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 8572, 'name': 'Karim Rekik'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 3261, 'name': 'Benjamin Mendy'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 23}, {'player': {'id': 3181, 'name': 'Lassana Diarra'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 10}, {'player': {'id': 3951, 'name': 'Mario Lemina'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 23933, 'name': 'Abdelaziz Barrada'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 19}, {'player': {'id': 15296, 'name': 'Romain Alessandrini'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 11}, {'player': {'id': 3420, 'name': 'Rémy Cabella'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 13}, {'player': {'id': 3457, 'name': 'Michy Batshuayi Tunga'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 22}]}",Marseille,147,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,52ab6509-ceca-4b13-90ec-e3d78ad8d480,2,,,3829441,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Marseille,147,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 34953, 'name': 'Denis Petrić'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 30}, {'player': {'id': 3364, 'name': 'Jonathan Martins-Pereira'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 6}, {'player': {'id': 7685, 'name': 'Mory Koné'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 22}, {'player': {'id': 13730, 'name': 'Matthieu Saunier'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 7301, 'name': 'Lossémy Karaboué'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 24}, {'player': {'id': 7488, 'name': 'Thomas Ayasse'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 7415, 'name': 'Jessy Pi'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 25}, {'player': {'id': 2993, 'name': 'Stéphane Darbion'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 8}, {'player': {'id': 401470, 'name': 'Fabien Camus'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 23}, {'player': {'id': 7376, 'name': 'Yoann Court'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 3010, 'name': 'Corentin Jean'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 27}]}",Troyes,133,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,64538756-ef3b-4a8e-8fdf-57f2f8728074,3,,,3829441,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Marseille,147,['2ccb616c-98fb-4b22-bea5-ebcd8428d0ff'],0,,,,,,,,,,,,,,,,,,Marseille,147,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,2ccb616c-98fb-4b22-bea5-ebcd8428d0ff,4,,,3829441,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Marseille,147,['64538756-ef3b-4a8e-8fdf-57f2f8728074'],0,,,,,,,,,,,,,,,,,,Troyes,133,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,57acd47a-7d3e-4277-99fc-80efec62f725,1980,,,3829441,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,86,Marseille,147,['a6129e6f-395e-490a-a274-d7cf435eaf59'],0,,,,,,,,,,,,,,,,,,Marseille,147,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,a6129e6f-395e-490a-a274-d7cf435eaf59,1981,,,3829441,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,86,Marseille,147,['57acd47a-7d3e-4277-99fc-80efec62f725'],0,,,,,,,,,,,,,,,,,,Troyes,133,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.324372,,,,,,,,,,,9b5edaf1-7581-4ec3-83ec-78b42bbc1229,5,,"[61.0, 40.1]",3829441,0,,,,-2.863293,,Right Foot,,,,"[60.3, 39.9]",,Ground Pass,,0.728011,,,,Fabien Camus,401470.0,,,,Kick Off,1,From Kick Off,Corentin Jean,3010.0,Center Forward,2,Troyes,133,['b81a15fe-16b7-4fb3-b238-061f3fe79b12'],0,,,,,,,,,,,,,,,,,,Troyes,133,00:00:00.511,Pass,
,,,,,,,,,,,,,,,,,0.648572,,,,,,,,,,,b6b0af82-2726-4a54-bbbc-7134e46eef6b,8,,"[60.0, 39.6]",3829441,0,,,,2.5412667,,Right Foot,,,,"[47.0, 48.5]",,Ground Pass,,15.754682,,,,Thomas Ayasse,7488.0,,,,,1,From Kick Off,Fabien Camus,401470.0,Center Attacking Midfield,2,Troyes,133,['43170a56-7da6-48c8-a05f-3223c049824e'],1,,,,,,,,,,,,,,,,,,Troyes,133,00:00:01.925,Pass,
,,,,,,,,,,,,,,,,,1.522159,,,,,,,,,,,3462db5b-0cff-49ba-8c8f-6d3bdebac681,11,,"[44.8, 51.6]",3829441,0,,,,1.9202173,,Right Foot,,,,"[35.8, 76.3]",,Ground Pass,,26.288591,,,,Jonathan Martins-Pereira,3364.0,,,,,1,From Kick Off,Thomas Ayasse,7488.0,Right Defensive Midfield,2,Troyes,133,['08761a81-7203-4c42-a358-2bf4ffef2b56'],3,,,,,,,,,,,,,,,,,,Troyes,133,00:00:03.867,Pass,
,,,,,,,,,,,,,,,,,1.147194,,,,,,,,,,,5c3e8d2c-3fe3-4bfb-84fa-1fe3ecbcc304,13,,"[35.8, 76.3]",3829441,0,,,,-2.3409672,,Right Foot,,,,"[26.1, 66.3]",,Ground Pass,,13.931619,,,,Mory Koné,7685.0,,,,,1,From Kick Off,Jonathan Martins-Pereira,3364.0,Right Back,2,Troyes,133,['0d8f7c85-4147-43c2-a1d3-b24e7e9e158d'],5,,,,,,,,,,,,,,,,,,Troyes,133,00:00:05.389,Pass,
