bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,8a77d617-1218-4918-9e29-fecb357ea871,1,,,3901230,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Gazélec Ajaccio,160,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 401508, 'name': 'Clément Maury'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 90746, 'name': 'Alassane Touré'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 13}, {'player': {'id': 2953, 'name': 'Abdou Kader Mangane'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 15}, {'player': {'id': 3207, 'name': 'Pablo Jean Antoine Martínez'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 21}, {'player': {'id': 4352, 'name': 'Issiaga Sylla'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 401509, 'name': 'David Ducourtioux'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 401507, 'name': 'Jérôme Le Moigne'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 310534, 'name': 'Louis Poggi'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 20}, {'player': {'id': 10616, 'name': 'Mohamed Larbi'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 10}, {'player': {'id': 401506, 'name': 'Grégory Pujol'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 28}, {'player': {'id': 5726, 'name': 'Khalid Boutaïb'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 9}]}",Gazélec Ajaccio,160,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,056735d0-ab7e-4a13-937f-5ac5eef6d03a,2,,,3901230,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Gazélec Ajaccio,160,,0,,,,,,,,,,,,,,,,"{'formation': 343, 'lineup': [{'player': {'id': 7282, 'name': 'Jean-Louis Leca'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 16}, {'player': {'id': 2989, 'name': 'Alexander Djiku'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 23}, {'player': {'id': 26481, 'name': 'Sébastien Squillaci'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 5}, {'player': {'id': 23850, 'name': 'Mathieu Peybernes'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 17}, {'player': {'id': 40517, 'name': 'Gilles Cioni'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 29}, {'player': {'id': 4508, 'name': 'Julian Palmieri'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 15}, {'player': {'id': 4350, 'name': 'Yannick Cahuzac'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 10522, 'name': 'Mehdi Mostefa Sbaa'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 3405, 'name': 'François Kamano'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 25}, {'player': {'id': 29875, 'name': 'Axel Ngando'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 19}, {'player': {'id': 15689, 'name': 'Floyd Ayité'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 7}]}",Bastia,2736,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,8489312e-c9cb-4441-a97f-3f9372d9cbed,3,,,3901230,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Gazélec Ajaccio,160,['4e476a83-5567-4ab2-be29-70b13ea466b1'],0,,,,,,,,,,,,,,,,,Gazélec Ajaccio,160,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,4e476a83-5567-4ab2-be29-70b13ea466b1,4,,,3901230,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Gazélec Ajaccio,160,['8489312e-c9cb-4441-a97f-3f9372d9cbed'],0,,,,,,,,,,,,,,,,,Bastia,2736,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,508c5791-9348-4041-9cb9-c16753ed47c9,1647,,,3901230,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,104,Gazélec Ajaccio,160,['cfd2746b-67d9-4cd4-af3d-686bb755a93f'],0,,,,,,,,,,,,,,,,,Gazélec Ajaccio,160,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,cfd2746b-67d9-4cd4-af3d-686bb755a93f,1648,,,3901230,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,104,Gazélec Ajaccio,160,['508c5791-9348-4041-9cb9-c16753ed47c9'],0,,,,,,,,,,,,,,,,,Bastia,2736,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.470619,,,,,,,,,,,,,,,4dc981fb-fb09-4af7-840e-4ac6efcf51ae,5,,"[60.0, 40.0]",3901230,0,,,,,2.9584818,,Right Foot,,,,"[57.3, 40.5]",,Ground Pass,,2.745906,,,,,Grégory Pujol,401506.0,,,,,Kick Off,1,From Kick Off,Khalid Boutaïb,5726.0,Left Center Forward,2,Gazélec Ajaccio,160,['6d8db535-16e9-4019-b917-9ae21d704665'],0,,,,,,,,,,,,,,,,,Gazélec Ajaccio,160,00:00:00.867,Pass,
,,,,,,,,,,,,,,,,1.378006,,,,,,,,,,,,,,,4f63d8bc-06d1-4ee5-ad39-24e9c13d8242,8,,"[57.5, 40.9]",3901230,0,,,,,-3.0345652,,Right Foot,,,,"[45.4, 39.6]",,Ground Pass,,12.169634,,,,,David Ducourtioux,401509.0,,,,,,1,From Kick Off,Grégory Pujol,401506.0,Right Center Forward,2,Gazélec Ajaccio,160,['96b7a0f8-3e39-42e4-b549-aa220526c0ac'],1,,,,,,,,,,,,,,,,,Gazélec Ajaccio,160,00:00:01.435,Pass,
,,,,,,,,,,,,,,,,2.922782,,,,,,,,,,,,,,,451d03fc-aa7f-4c81-8cf6-8f76418bcf7c,11,,"[47.3, 39.2]",3901230,0,,,,,-0.50499725,,Right Foot,,,,"[91.8, 14.6]",,High Pass,,50.846928,,,,,Khalid Boutaïb,5726.0,,,,,,1,From Kick Off,David Ducourtioux,401509.0,Right Defensive Midfield,2,Gazélec Ajaccio,160,['8d47673d-4b4a-44d8-80c7-0e887d33c367'],4,,,,,,,,,,,,,,,,,Gazélec Ajaccio,160,00:00:04.682,Pass,
,,,,,,,,,,,,,,,,1.83336,,,,,,,,,,,,,,,326f84b2-9130-4987-a93c-24040d761f96,14,,"[91.8, 14.6]",3901230,0,,,,True,0.13306727,,,,,,"[104.5, 16.3]",,Low Pass,,12.813274,,,,,Grégory Pujol,401506.0,,,,,,1,From Kick Off,Khalid Boutaïb,5726.0,Left Center Forward,2,Gazélec Ajaccio,160,"['2b8f1fd7-ac12-4a8e-bea7-4e36942124f3', '3d4475af-902b-4cf8-832e-ce46211c5d91']",7,,,,,,,,,,,,,,,,,Gazélec Ajaccio,160,00:00:07.605,Pass,True
