50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,6cc09a36-cf79-4353-95f0-9b3a91f7118b,1,,,3901243,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bastia,2736,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 7282, 'name': 'Jean-Louis Leca'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 16}, {'player': {'id': 2989, 'name': 'Alexander Djiku'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 23}, {'player': {'id': 26481, 'name': 'Sébastien Squillaci'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 401194, 'name': 'François Modesto'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 20}, {'player': {'id': 4508, 'name': 'Julian Palmieri'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 15}, {'player': {'id': 10522, 'name': 'Mehdi Mostefa Sbaa'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 4350, 'name': 'Yannick Cahuzac'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 18}, {'player': {'id': 7791, 'name': 'Seko Fofana'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 3405, 'name': 'François Kamano'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 25}, {'player': {'id': 7349, 'name': 'Gaël Danic'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 8}, {'player': {'id': 15689, 'name': 'Floyd Ayité'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 7}]}",Bastia,2736,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,ba4e26f1-da2c-4cad-83dc-12f3bc3ab731,2,,,3901243,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bastia,2736,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 3432, 'name': 'Alexandre Letellier'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 30}, {'player': {'id': 401482, 'name': 'Gaël Angoula'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 3045, 'name': 'Ismaël Traoré'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 8}, {'player': {'id': 3549, 'name': 'Romain Thomas'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 24}, {'player': {'id': 4906, 'name': 'Arnold Bouka Moutou'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 7230, 'name': 'Grégory Bourillon'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 5676, 'name': ""Cheikh N''Doye""}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 17}, {'player': {'id': 3185, 'name': 'Thomas Mangani'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 5}, {'player': {'id': 3071, 'name': 'Pierrick Capelle'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 15}, {'player': {'id': 3111, 'name': 'Gilles Sunu'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 4441, 'name': 'Billy Ketkeophomphone'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 14}]}",Angers,145,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,f6ac87e8-edea-44d4-9a35-bf43ee6f0182,3,,,3901243,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bastia,2736,['41a4b0d4-c51d-439a-9cc3-6b8a9f5e397f'],0,,,,,,,,,,,,,,,,,Angers,145,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,41a4b0d4-c51d-439a-9cc3-6b8a9f5e397f,4,,,3901243,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bastia,2736,['f6ac87e8-edea-44d4-9a35-bf43ee6f0182'],0,,,,,,,,,,,,,,,,,Bastia,2736,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0a6778ef-35a9-4cc4-a230-5f59f843c014,1909,,,3901243,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,112,Bastia,2736,['54202043-cfb3-4039-8062-7498a6f97fe4'],0,,,,,,,,,,,,,,,,,Bastia,2736,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,54202043-cfb3-4039-8062-7498a6f97fe4,1910,,,3901243,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,112,Bastia,2736,['0a6778ef-35a9-4cc4-a230-5f59f843c014'],0,,,,,,,,,,,,,,,,,Angers,145,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.469958,,,,,,,,,,,,,,,bb60b483-c4cd-4d9e-b72a-dbbe65b85c41,5,,"[60.0, 40.0]",3901243,0,,,,,1.9237868,,Right Foot,,,,"[59.3, 41.9]",,Ground Pass,,2.0248456,,,Yannick Cahuzac,4350.0,,,,,Kick Off,1,From Kick Off,Floyd Ayité,15689.0,Center Forward,2,Bastia,2736,['e4be86e4-34a5-413d-904a-6657b82c557e'],0,,,,,,,,,,,,,,,,,Bastia,2736,00:00:00.710,Pass,
,,,,,,,,,,,,,,,,1.228499,,,,,,,,,,,,,,,760602d8-84b9-4643-9a2b-56d20f0fa51e,8,,"[59.5, 39.1]",3901243,0,,,,,3.0707893,,Right Foot,,,,"[45.4, 40.1]",,Ground Pass,,14.135417,,,Mehdi Mostefa Sbaa,10522.0,,,,,,1,From Kick Off,Yannick Cahuzac,4350.0,Right Center Midfield,2,Bastia,2736,['a740aadc-0494-4214-9c22-d78364f5d303'],1,,,,,,,,,,,,,,,,,Bastia,2736,00:00:01.750,Pass,
,,,,,,,,,,,,,,,,2.914899,,,,,,,,,,,,,,,f9d1f422-eae6-4db8-8877-2286c9a267a3,11,,"[44.8, 43.1]",3901243,0,,,,,0.7194872,,Right Foot,,,,"[77.1, 71.4]",,High Pass,,42.943916,,,François Kamano,3405.0,,,,,,1,From Kick Off,Mehdi Mostefa Sbaa,10522.0,Center Defensive Midfield,2,Bastia,2736,['fc1e0ee9-c59d-42c8-adfe-3c5b55767a48'],4,,,,,,,,,,,,,,,,,Bastia,2736,00:00:04.081,Pass,
,,,,,,,,,,,,,,,,1.913658,,,,,,,,,,,,,,,b5666908-14c2-4694-8a55-2600e61ecbfa,14,,"[77.1, 71.4]",3901243,0,,,,True,-0.80485094,,,,,,"[89.7, 58.3]",,High Pass,,18.176083,,,Floyd Ayité,15689.0,,,,,,1,From Kick Off,François Kamano,3405.0,Right Wing,2,Bastia,2736,"['76c66932-9e5d-4ab8-b2bb-4f5932bcd68e', '9011e7f2-95ff-4fc9-a1ae-73fdc22d902a']",6,,,,,,,,,,,,,,,,,Bastia,2736,00:00:06.996,Pass,True
