50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_success_in_play,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,a0eae030-9714-4ac0-9473-e1f58b02c2c9,1,,,3901257,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Saint-Étienne,135,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 4259, 'name': 'Stéphane Ruffier'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 16}, {'player': {'id': 3413, 'name': 'Kévin Théophile-Catherine'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 4263, 'name': 'Loïc Perrin'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 24}, {'player': {'id': 4802, 'name': 'Florentin Pogba'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 19}, {'player': {'id': 3047, 'name': 'Benoît Assou-Ekotto'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 32}, {'player': {'id': 3200, 'name': 'Renaud Cohade'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 10}, {'player': {'id': 7442, 'name': 'Jérémy Clément'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 3179, 'name': 'Nolan Roux'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 9}, {'player': {'id': 2944, 'name': 'Benjamin Corgnet'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 8}, {'player': {'id': 4431, 'name': 'Kévin Monnet-Paquet'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 22}, {'player': {'id': 4766, 'name': 'Neal Maupay'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 14}]}",Saint-Étienne,135,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,dc2a2f4b-ae0b-4876-9911-78be9d40900f,2,,,3901257,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Saint-Étienne,135,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 40484, 'name': 'Vincent Enyeama'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6716, 'name': 'Sébastien Corchia'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 29057, 'name': 'Renato Civelli'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 40523, 'name': 'Marko Baša'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 25}, {'player': {'id': 3446, 'name': 'Djibril Sidibé'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 19}, {'player': {'id': 11332, 'name': 'Ibrahim Amadou'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 3211, 'name': 'Florent Balmont'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 40522, 'name': 'Rio Antonio Zoba Mavuba'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 24}, {'player': {'id': 3218, 'name': 'Marcos Paulo Mesquita Lopes'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 32}, {'player': {'id': 3425, 'name': 'Morgan Amalfitano'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 31}, {'player': {'id': 15996, 'name': 'Éderzito António Macedo Lopes'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 39}]}",Lille,143,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,c1388d7a-dd9a-4f12-b278-26762bce43a4,3,,,3901257,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Saint-Étienne,135,['d391f960-9784-4056-a67a-5dfa19135da8'],0,,,,,,,,,,,,,,,,,Saint-Étienne,135,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,d391f960-9784-4056-a67a-5dfa19135da8,4,,,3901257,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Saint-Étienne,135,['c1388d7a-dd9a-4f12-b278-26762bce43a4'],0,,,,,,,,,,,,,,,,,Lille,143,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,9e7d44bd-5617-4ff7-8219-d34be30eb541,1768,,,3901257,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,98,Saint-Étienne,135,['eec71729-17dc-4706-81fb-e78073492bda'],0,,,,,,,,,,,,,,,,,Lille,143,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,eec71729-17dc-4706-81fb-e78073492bda,1769,,,3901257,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,98,Saint-Étienne,135,['9e7d44bd-5617-4ff7-8219-d34be30eb541'],0,,,,,,,,,,,,,,,,,Saint-Étienne,135,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.640651,,,,,,,,,,,,,,,,2f5d2a09-f77b-4503-86a2-8d217013c383,5,,"[61.0, 40.1]",3901257,0,,True,,,-1.801887,,Right Foot,,,,"[60.6, 38.4]",Ground Pass,1.7464249,,,,,Neal Maupay,4766.0,,,,,Kick Off,1,From Kick Off,Benjamin Corgnet,2944.0,Center Attacking Midfield,2,Saint-Étienne,135,['9c74f722-703d-4bcd-9055-85dc82721438'],1,,,,,,,,,,,,,,,,,Saint-Étienne,135,00:00:01.055,Pass,
,,,,,,,,,,,,,,,,,,0.832097,,,,,,,,,,,,,,,,b8fe477a-15f9-45d3-a0a3-45dffd71eccb,7,,"[60.2, 38.4]",3901257,0,,,,,-2.910502,,Right Foot,,,,"[48.3, 35.6]",Ground Pass,12.224975,,,,,Jérémy Clément,7442.0,,,,,,1,From Kick Off,Neal Maupay,4766.0,Center Forward,2,Saint-Étienne,135,['cf2b3111-1f29-41ed-a4a4-05da407e5deb'],2,,,,,,,,,,,,,,,,,Saint-Étienne,135,00:00:02.245,Pass,
,,,,,,,,,,,,,,,,,,2.229952,,,,,,,,,,,,,,,,58a24384-d352-4dd0-86e8-5cf90cb2e8fe,10,,"[48.3, 35.6]",3901257,0,,,,,-1.9341894,,Left Foot,,,,"[37.5, 7.2]",Ground Pass,30.384207,,,,,Benoît Assou-Ekotto,3047.0,,,,,,1,From Kick Off,Jérémy Clément,7442.0,Left Defensive Midfield,2,Saint-Étienne,135,['b9192324-3d14-4715-9c32-c64bb0858b64'],4,,,,,,,,,,,,,,,,,Saint-Étienne,135,00:00:04.326,Pass,
,,,,,,,,,,,,,,,,,,1.348393,,,,,,,,,,,,,,,,fac7f124-0f61-42de-a244-2a67719f8788,13,,"[37.3, 7.2]",3901257,0,,,,,2.138282,,Left Foot,,,,"[26.4, 24.3]",Ground Pass,20.27856,,,,,Florentin Pogba,4802.0,,,,,,1,From Kick Off,Benoît Assou-Ekotto,3047.0,Left Back,2,Saint-Étienne,135,['af6dc15a-8c7e-4690-aa62-76eab8e479ab'],9,,,,,,,,,,,,,,,,,Saint-Étienne,135,00:00:09.706,Pass,
,,,,,,,,,,,,,,,,,,2.66427,,,,,,,,,,,,,,,,adf05071-9a02-4fd1-a628-8a66b93f7a8a,16,,"[27.8, 13.4]",3901257,0,,,,,-0.008948307,,Left Foot,,,,"[72.5, 13.0]",High Pass,44.70179,,,Incomplete,,Kévin Monnet-Paquet,4431.0,,,,,,1,From Kick Off,Florentin Pogba,4802.0,Left Center Back,2,Saint-Étienne,135,"['39458808-2049-4d67-8979-c98c91f2ab96', '93b97fea-8342-4aed-9943-6db9ccbc04f0']",13,,,,,,,,,,,,,,,,,Saint-Étienne,135,00:00:13.783,Pass,
,,,,,,,,,,,,,,,,,,1.271698,,,,,,,,,,,,,,,,93b97fea-8342-4aed-9943-6db9ccbc04f0,19,,"[47.6, 67.1]",3901257,0,,,,True,0.04702413,,,,,,"[56.1, 67.5]",Low Pass,8.509406,,,,,Florent Balmont,3211.0,,,,,Recovery,1,Regular Play,Sébastien Corchia,6716.0,Right Back,3,Lille,143,"['a82fbcc0-ba80-4f87-ae5a-8a6ea573041d', 'adf05071-9a02-4fd1-a628-8a66b93f7a8a', 'b7be3029-f488-46b5-a571-93f7e5a0a151']",16,,,,,,,,,,,,,,,,,Lille,143,00:00:16.448,Pass,True
