50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,8d6c8bce-deec-49b0-b948-095bb8ec27ab,1,,,3829469,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,AS Monaco,129,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 3444, 'name': 'Danijel Subašić'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3204, 'name': 'Almamy Touré'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 38}, {'player': {'id': 3374, 'name': 'Andrea Raggi'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 24}, {'player': {'id': 10805, 'name': 'Ricardo Alberto Silveira de Carvalho'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 19047, 'name': 'Fábio Alexandre da Silva Coentrão'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 4}, {'player': {'id': 3247, 'name': 'Fábio Henrique Tavares'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 2}, {'player': {'id': 3168, 'name': 'João Filipe Iria Santos Moutinho'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 3245, 'name': 'Thomas Lemar'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 27}, {'player': {'id': 3218, 'name': 'Marcos Paulo Mesquita Lopes'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 25}, {'player': {'id': 6979, 'name': 'Stephan El Shaarawy'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 22}, {'player': {'id': 3246, 'name': 'Guido Marcelo Carrillo'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 11}]}",AS Monaco,129,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,e03ef4b8-51cb-4afb-9452-458f3a41294b,2,,,3829469,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,AS Monaco,129,,0,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 3008, 'name': 'Benjamin Lecomte'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 40}, {'player': {'id': 6335, 'name': 'Lamine Gassama'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 25}, {'player': {'id': 13286, 'name': 'Lamine Koné'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 7211, 'name': 'Zargo Touré'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 5209, 'name': 'Raphaël Adelino José Guerreiro'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 14}, {'player': {'id': 22587, 'name': 'Didier Ndong Ibrahim'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 7}, {'player': {'id': 24646, 'name': 'Rafidine Abdullah'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 13}, {'player': {'id': 3102, 'name': 'Yann Jouffre'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 8}, {'player': {'id': 7338, 'name': 'Romain Philippoteaux'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 19}, {'player': {'id': 3552, 'name': 'Benjamin Jeannot'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 22}, {'player': {'id': 7615, 'name': 'Abdul Majeed Waris'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 9}]}",Lorient,165,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,32283094-8ed1-42ad-b2c7-000d0fdb2965,3,,,3829469,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,AS Monaco,129,['2bb32264-e8f2-42b5-af15-a149d17cf0c7'],0,,,,,,,,,,,,,,,,,,AS Monaco,129,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,2bb32264-e8f2-42b5-af15-a149d17cf0c7,4,,,3829469,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,AS Monaco,129,['32283094-8ed1-42ad-b2c7-000d0fdb2965'],0,,,,,,,,,,,,,,,,,,Lorient,165,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,66712daf-c2e5-4279-a158-5477eaf1a88e,1745,,,3829469,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,106,AS Monaco,129,['4fc46caa-e57f-4181-b41d-2a4fc639946d'],0,,,,,,,,,,,,,,,,,,AS Monaco,129,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,4fc46caa-e57f-4181-b41d-2a4fc639946d,1746,,,3829469,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,106,AS Monaco,129,['66712daf-c2e5-4279-a158-5477eaf1a88e'],0,,,,,,,,,,,,,,,,,,Lorient,165,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.489867,,,,,,,,,,,58f91e3f-794f-475f-8841-546265d6011b,5,,"[60.0, 40.0]",3829469,0,,,,0.99945885,,Right Foot,,,,"[60.9, 41.4]",,Ground Pass,,1.6643317,,,,,Abdul Majeed Waris,7615.0,,,,,Kick Off,1,From Kick Off,Benjamin Jeannot,3552.0,Right Center Forward,2,Lorient,165,['0e645677-3aa5-4683-96e3-73e0b053d312'],1,,,,,,,,,,,,,,,,,,Lorient,165,00:00:01.342,Pass,
,,,,,,,,,,,,,,,,,,,1.802515,,,,,,,,,,,59a46b24-ef36-4452-ae93-2156085ae949,8,,"[56.7, 40.5]",3829469,0,,,,3.1308978,,Right Foot,,,,"[38.0, 40.7]",,Ground Pass,,18.701069,,,,,Didier Ndong Ibrahim,22587.0,,,,,,1,From Kick Off,Abdul Majeed Waris,7615.0,Left Center Forward,2,Lorient,165,['afe6c9cb-2e34-4d17-b1eb-27a6b05f71b8'],3,,,,,,,,,,,,,,,,,,Lorient,165,00:00:03.086,Pass,
,,,,,,,,,,,,,,,,,,,1.246511,,,,,,,,,,,2645460e-ccaf-43f9-9ead-267a7c05cc56,12,,"[36.6, 42.9]",3829469,0,,,,1.6895016,,Right Foot,,,,"[34.0, 64.7]",,Ground Pass,,21.954498,,,,,Lamine Gassama,6335.0,,,,,,1,From Kick Off,Didier Ndong Ibrahim,22587.0,Right Defensive Midfield,2,Lorient,165,"['45d212e3-0bea-46d2-b119-b51a3931efef', 'a8bf80b6-79bd-42a5-9911-f5e5cd3fd9f6']",4,,,,,,,,,,,,,,,,,,Lorient,165,00:00:04.905,Pass,True
,,,,,,,,,,,,,,,,,,,2.599064,,,,,,,,,,,c897a042-6104-4dba-9cc6-a61d8ea8e188,15,,"[34.5, 65.5]",3829469,0,,,,-0.1648029,,Right Foot,,,,"[81.4, 57.7]",,High Pass,,47.54419,,,Incomplete,,Benjamin Jeannot,3552.0,,,,,,1,From Kick Off,Lamine Gassama,6335.0,Right Back,2,Lorient,165,"['65f91f2b-17dc-49fc-b5e6-f7c9572f36f6', 'ce58fd75-98e7-4c88-b3a0-9dd4327ab76e']",7,,,,,,,,,,,,,,,,,,Lorient,165,00:00:07.142,Pass,
