ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.797518,,,,,,,,,,,,,520a2e7a-1e11-4418-81a6-dc3c56d75927,15,,,"[76.1, 8.6]",3829448,0,,,,,-0.35004488,,Right Foot,,,"[88.7, 4.0]",,Ground Pass,,13.413426,,,,,Atila Turan,30291.0,,,,,,1,From Throw In,Franck Signorino,40521.0,Left Back,3,Stade de Reims,156,['4184deb2-8337-4d20-b92d-6a254053006c'],22,,,,,,,,,,,,,,,,,Stade de Reims,156,00:00:22.425,Pass,
,,,,,,,,,,,,,,,,1.489293,,,,,,,,,,,,,fc48d78d-13ba-4483-85d9-03e172388b7a,18,,,"[90.9, 6.5]",3829448,0,,,,,1.3521274,,Left Foot,,,"[98.9, 42.5]",,High Pass,,36.878178,,,,,Nicolas de Roussel de Préville,4383.0,,,,,,1,From Throw In,Atila Turan,30291.0,Left Center Midfield,3,Stade de Reims,156,['3764290f-697a-45e0-8f7e-3063a9b8b71a'],24,,,,,,,,,,,,,,,,,Stade de Reims,156,00:00:24.585,Pass,
,,,,,,,,,,,,,,,,1.553228,,,,,,,,,,,,,aecc95f4-df05-4be4-bc92-5c1b5083dd0b,24,,,"[12.6, 37.9]",3829448,0,,,,,-0.91148627,,Keeper Arm,,,"[21.9, 25.9]",,Ground Pass,,15.181897,,,,,Wesley Lautoa,3769.0,,,,,,1,Regular Play,Florent Chaigneau,401467.0,Goalkeeper,4,Lorient,165,['7fcd4026-50a5-499e-a8d5-d76bafb7b1b4'],34,,,,,,,,,,,,,,,,,Lorient,165,00:00:34.538,Pass,
,,,,,,,,,,,,,,,,2.551847,,,,,,,,,,,,,7f30e60c-4ea4-4047-910d-f696c1ddd01f,27,,,"[27.1, 24.0]",3829448,0,,,,,-0.39597115,,Left Foot,,,"[69.2, 6.4]",,High Pass,,45.630802,,,Incomplete,,Benjamin Moukandjo Bilé,33178.0,,,,,,1,Regular Play,Wesley Lautoa,3769.0,Left Center Back,4,Lorient,165,"['63c15c83-df7f-4e05-98ac-e554ee001c85', 'e55a225d-e1f6-4a2b-8d47-7c66fcab17a1']",39,,,,,,,,,,,,,,,,,Lorient,165,00:00:39.648,Pass,
,,,,,,,,,,,,,,,,1.261781,,,,,,,,,,,,,e55a225d-e1f6-4a2b-8d47-7c66fcab17a1,29,,,"[50.9, 73.7]",3829448,0,,,,,0.35411334,,Head,,,"[67.4, 79.8]",,High Pass,,17.591475,,,Out,,Nicolas de Roussel de Préville,4383.0,,,,,Recovery,1,Regular Play,Antoine Conte,131849.0,Right Back,4,Lorient,165,"['7f30e60c-4ea4-4047-910d-f696c1ddd01f', 'ef849bf0-2282-4870-b168-c5f9d561e308']",42,,,,,,,,,,,,,,,,,Stade de Reims,156,00:00:42.200,Pass,
,,,,,,,,,,,,,,,,0.853684,,,,,,,,,,,,,756ef476-7718-40bc-85d0-a4324bb759d6,31,,,"[52.7, 0.1]",3829448,0,,,,,0.80909044,,,,,"[63.0, 10.9]",,Low Pass,,14.924142,,,,,Raphaël Adelino José Guerreiro,5209.0,,,,,Throw-in,1,From Throw In,Vincent Le Goff,7199.0,Left Back,5,Lorient,165,['27573e79-6b07-44ec-a243-dfe91bec0dea'],47,,,,,,,,,,,,,,,,,Lorient,165,00:00:47.901,Pass,
,,,,,,,,,,,,,,,,0.746786,,,,,,,,,,,,,47ccc5e4-645d-462f-97e9-a832236afc61,38,,,"[55.6, 67.6]",3829448,0,,,,,1.5707964,,Right Foot,,,"[55.6, 69.3]",,Low Pass,,1.7,,,Incomplete,,Nicolas de Roussel de Préville,4383.0,,,,,,1,Regular Play,Gaëtan Charbonnier,7635.0,Center Attacking Midfield,6,Stade de Reims,156,"['06df704b-0508-41d9-bb97-6673e5106bba', '4dd4525d-d188-4d3d-aaca-2b96c196f0d3']",51,,,,,,,,,,,,,,,,,Stade de Reims,156,00:00:51.386,Pass,
,,,,,,,,,,,,,,,,1.99327,,,,,,,,,,,,,f5cf474e-8b6c-4bf9-8d25-8e95fdb6f22f,41,,,"[56.4, 80.0]",3829448,0,,True,,,-2.7155986,,,,,"[32.6, 69.2]",,Low Pass,,26.1358,,,,,Aïssa Mandi,6648.0,,,,,Throw-in,1,From Throw In,Antoine Conte,131849.0,Right Back,7,Stade de Reims,156,['8f0e2af6-6c67-4aba-8361-40715b7a7d85'],57,,,,,,,,,,,,,,,,,Stade de Reims,156,00:00:57.247,Pass,
,,,,,,,,,,,,,,,,1.923765,,,,,,,,,,,,,9b3588a7-5a20-4b8e-9000-54cbe23f0a2d,43,,,"[34.0, 69.2]",3829448,1,,,,,-1.552861,,Right Foot,,,"[34.8, 24.6]",,Ground Pass,,44.607174,,,,,Anthony Weber,7435.0,,True,,,,1,From Throw In,Aïssa Mandi,6648.0,Right Center Back,7,Stade de Reims,156,['0dddf9c5-54ab-4bba-aa39-7b606ac6217a'],0,,,,,,,,,,,,,,,,,Stade de Reims,156,00:01:00.917,Pass,
,,,,,,,,,,,,,,,,1.734317,,,,,,,,,,,,,20c9d0ea-1ea5-4d5f-aaa7-e6b9bacbee2b,46,,,"[34.8, 26.5]",3829448,1,,,,,-1.1294085,,Right Foot,,,"[45.1, 4.7]",,Ground Pass,,24.110786,,,,,Franck Signorino,40521.0,,,,,,1,From Throw In,Anthony Weber,7435.0,Left Center Back,7,Stade de Reims,156,['3b0072c8-4107-4b09-8da5-7b0ef399397f'],4,,,,,,,,,,,,,,,,,Stade de Reims,156,00:01:04.115,Pass,
