bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,35a90527-eae8-4d50-a199-224be6fe0634,1,,,3900493,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Troyes,133,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 7193, 'name': 'Paul Bernardoni'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 40}, {'player': {'id': 3364, 'name': 'Jonathan Martins-Pereira'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 6}, {'player': {'id': 401479, 'name': 'Calvin Anele Ngcongca'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 31}, {'player': {'id': 18162, 'name': 'Chris Mavinga'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 26752, 'name': 'Mouhamadou Dabo'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 35}, {'player': {'id': 7488, 'name': 'Thomas Ayasse'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 7415, 'name': 'Jessy Pi'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 25}, {'player': {'id': 2993, 'name': 'Stéphane Darbion'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 8}, {'player': {'id': 3002, 'name': 'Benjamin Nivet'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 401470, 'name': 'Fabien Camus'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 23}, {'player': {'id': 3010, 'name': 'Corentin Jean'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 27}]}",Troyes,133,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,1c592654-7a39-4a39-aebb-836fe5c2365e,2,,,3900493,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Troyes,133,,0,,,,,,,,,,,,,,,,"{'formation': 41212, 'lineup': [{'player': {'id': 2947, 'name': 'Anthony Lopes'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 4410, 'name': 'Christophe Jallet'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 13}, {'player': {'id': 6982, 'name': 'Maxime Gonalons'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 21}, {'player': {'id': 4463, 'name': 'Mapou Yanga-Mbiwa'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 2}, {'player': {'id': 2983, 'name': 'Jérémy Morel'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 15}, {'player': {'id': 5480, 'name': 'Corentin Tolisso'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 3118, 'name': 'Jordan Ferri'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 12}, {'player': {'id': 3236, 'name': 'Sergi Darder Moll'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 14}, {'player': {'id': 18868, 'name': 'Mathieu Valbuena'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 19}, {'player': {'id': 6600, 'name': 'Claudio Beauvue'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 9}, {'player': {'id': 3451, 'name': 'Alexandre Lacazette'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 10}]}",Lyon,137,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,5a8a1e07-ab1a-4b89-84b8-7f73300b0285,3,,,3900493,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Troyes,133,['f83c76a5-8cdc-4789-9a87-408b41a3ea49'],0,,,,,,,,,,,,,,,,,Troyes,133,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,f83c76a5-8cdc-4789-9a87-408b41a3ea49,4,,,3900493,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Troyes,133,['5a8a1e07-ab1a-4b89-84b8-7f73300b0285'],0,,,,,,,,,,,,,,,,,Lyon,137,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,85cacd53-65fa-4d39-852b-f33892e80474,2108,,,3900493,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,109,Lyon,137,['ec9bcb71-e13d-4aca-9c2d-d73db651e353'],0,,,,,,,,,,,,,,,,,Lyon,137,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,ec9bcb71-e13d-4aca-9c2d-d73db651e353,2109,,,3900493,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,109,Lyon,137,['85cacd53-65fa-4d39-852b-f33892e80474'],0,,,,,,,,,,,,,,,,,Troyes,133,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.483773,,,,,,,,,,,,,,ef82eaf9-aae4-44a7-9086-8817fb8f9685,5,,"[61.0, 40.1]",3900493,0,True,,,-2.1471715,,Right Foot,,,,"[59.7, 38.1]",Ground Pass,,2.3853722,,,,,Benjamin Nivet,3002.0,,,,,,Kick Off,1,From Kick Off,Corentin Jean,3010.0,Center Forward,2,Troyes,133,['5cd9e9f9-0766-47f8-a695-d116cc884482'],0,,,,,,,,,,,,,,,,,Troyes,133,00:00:00.382,Pass,
,,,,,,,,,,,,,,,,,2.204504,,,,,,,,,,,,,,68b7bdc5-d39b-4ea0-aa81-7aa1ec17eea3,7,,"[59.7, 41.2]",3900493,0,,,,2.1373277,,Right Foot,,,,"[38.9, 73.9]",Low Pass,,38.75474,,,,,Jonathan Martins-Pereira,3364.0,,,,,,,1,From Kick Off,Benjamin Nivet,3002.0,Center Attacking Midfield,2,Troyes,133,['4d8cc790-028b-4383-8af3-22e7eaebb385'],1,,,,,,,,,,,,,,,,,Troyes,133,00:00:01.458,Pass,
,,,,,,,,,,,,,,,,,1.043107,,,,,,,,,,,,,,a5199c76-b2b8-4c8f-b75b-ba3afb0a7b39,10,,"[38.2, 73.7]",3900493,0,,,,0.22679885,,Left Foot,,,,"[53.8, 77.3]",Ground Pass,,16.009996,,,,,Stéphane Darbion,2993.0,,,,,,,1,From Kick Off,Jonathan Martins-Pereira,3364.0,Right Back,2,Troyes,133,['b314a52a-bdd1-4d0e-aedf-c8d90dbbc27e'],4,,,,,,,,,,,,,,,,,Troyes,133,00:00:04.588,Pass,
,,,,,,,,,,,,,,,,,1.477523,,,,,,,,,,,,,,077adc52-e8d5-4540-aff0-2d4d60c2be2a,12,,"[53.8, 77.3]",3900493,0,,,,-2.9430594,,Left Foot,,,,"[36.9, 73.9]",Ground Pass,,17.238619,,,,,Jonathan Martins-Pereira,3364.0,,,,,,,1,From Kick Off,Stéphane Darbion,2993.0,Right Wing,2,Troyes,133,['7b7bba20-87ad-45d6-9696-ce6e17c6b606'],5,,,,,,,,,,,,,,,,,Troyes,133,00:00:05.631,Pass,
