50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,fdcdb51f-d331-46f4-9c6c-0b2320a9ca62,1,,,3829512,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Lyon,137,,0,,,,,,,,,,,,,,,,,"{'formation': 41212, 'lineup': [{'player': {'id': 2947, 'name': 'Anthony Lopes'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 4410, 'name': 'Christophe Jallet'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 13}, {'player': {'id': 6982, 'name': 'Maxime Gonalons'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 21}, {'player': {'id': 5492, 'name': 'Samuel Yves Umtiti'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 23}, {'player': {'id': 2983, 'name': 'Jérémy Morel'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 15}, {'player': {'id': 5480, 'name': 'Corentin Tolisso'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 3118, 'name': 'Jordan Ferri'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 12}, {'player': {'id': 3236, 'name': 'Sergi Darder Moll'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 14}, {'player': {'id': 18868, 'name': 'Mathieu Valbuena'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 19}, {'player': {'id': 3451, 'name': 'Alexandre Lacazette'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 10}, {'player': {'id': 6600, 'name': 'Claudio Beauvue'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 9}]}",Lyon,137,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,4f708174-9525-4e12-b33c-073f3e67baa2,2,,,3829512,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Lyon,137,,0,,,,,,,,,,,,,,,,,"{'formation': 4411, 'lineup': [{'player': {'id': 41385, 'name': 'Ali Nadhoim Ahamada'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 30}, {'player': {'id': 8677, 'name': 'Marcel Tisserand'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 26}, {'player': {'id': 30447, 'name': 'Jean-Armel Kana-Biyik'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 3035, 'name': 'Steeve Yago'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 20}, {'player': {'id': 3024, 'name': 'Jacques François Moubandje'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 29}, {'player': {'id': 2961, 'name': 'Yann Bodiger'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 23}, {'player': {'id': 31174, 'name': 'Jean-Daniel Akpa Akpro'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 7}, {'player': {'id': 16522, 'name': 'Tongo Hamed Doumbia'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 4}, {'player': {'id': 11540, 'name': 'Óscar Guido Trejo'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 18}, {'player': {'id': 6723, 'name': 'Wissam Ben Yedder'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 4447, 'name': 'Martin Braithwaite Christensen'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Toulouse,130,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,fd5bf13a-b096-479f-87d0-698fd5c6c02d,3,,,3829512,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Lyon,137,['266693c3-3bdd-43ae-8999-8d431aba73c6'],0,,,,,,,,,,,,,,,,,,Toulouse,130,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,266693c3-3bdd-43ae-8999-8d431aba73c6,4,,,3829512,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Lyon,137,['fd5bf13a-b096-479f-87d0-698fd5c6c02d'],0,,,,,,,,,,,,,,,,,,Lyon,137,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,1cadac2f-1698-40ac-915f-71f95434b207,1829,,,3829512,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,99,Lyon,137,['13ee5557-3eae-4c9f-92bb-97b83fa61dae'],0,,,,,,,,,,,,,,,,,,Lyon,137,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,13ee5557-3eae-4c9f-92bb-97b83fa61dae,1830,,,3829512,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,99,Lyon,137,['1cadac2f-1698-40ac-915f-71f95434b207'],0,,,,,,,,,,,,,,,,,,Toulouse,130,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.56791,,,,,,,,,,,,,4ac3a0b3-8b10-4753-b12e-744019810683,5,,"[61.0, 40.1]",3829512,0,,,,,1.2847449,,Right Foot,,,,"[62.0, 43.5]",,Ground Pass,,3.544009,,,,Wissam Ben Yedder,6723.0,,,,,Kick Off,1,From Kick Off,Martin Braithwaite Christensen,4447.0,Center Forward,2,Toulouse,130,['818b4105-19bc-4e6c-84a9-7156a17f1b6a'],1,,,,,,,,,,,,,,,,,,Toulouse,130,00:00:01.322,Pass,
,,,,,,,,,,,,,,,,,,,1.247167,,,,,,,,,,,,,44cca71d-efa3-4eda-8eaa-4705a6dd7606,8,,"[62.6, 43.6]",3829512,0,,,,,-2.9749289,,Right Foot,,,,"[51.9, 41.8]",,Ground Pass,,10.850346,,,,Yann Bodiger,2961.0,,,,,,1,From Kick Off,Wissam Ben Yedder,6723.0,Center Attacking Midfield,2,Toulouse,130,['60dbcfd4-7498-4200-a7e6-ceedb5d609cd'],1,,,,,,,,,,,,,,,,,,Toulouse,130,00:00:01.930,Pass,
,,,,,,,,,,,,,,,,,,,3.679187,,,,,,,,,,,,,df8bad51-6456-41c6-98ff-854603de4f38,11,,"[54.3, 41.4]",3829512,0,,,,,0.75892264,,Left Foot,,,,"[95.0, 80.0]",,High Pass,,56.093227,,Out,,Tongo Hamed Doumbia,16522.0,,,,,,1,From Kick Off,Yann Bodiger,2961.0,Right Defensive Midfield,2,Toulouse,130,"['3dc5a9cc-5557-4841-8773-aedb394a5d13', 'adf9968d-5c66-48b4-ba28-b1fd55e78ed8']",3,,,,,,,,,,,,,,,,,,Toulouse,130,00:00:03.177,Pass,True
,,,,,,,,,,,,,,,,,,,2.015136,,,,,,,,,,,,,3aa70be2-e33d-4608-8743-509471480fbb,13,,"[20.2, 0.1]",3829512,0,,,,,0.121352,,,,,,"[40.7, 2.6]",,Low Pass,,20.651876,,,,Claudio Beauvue,6600.0,,,,,Throw-in,1,From Throw In,Jérémy Morel,2983.0,Left Back,3,Lyon,137,['98641547-9d40-4e09-be0e-e0a5362c3662'],24,,,,,,,,,,,,,,,,,,Lyon,137,00:00:24.836,Pass,
