50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,7306547d-39a4-4d52-82d8-3d1e923fdca9,1,,,3900554,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Troyes,133,,0,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 7193, 'name': 'Paul Bernardoni'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 40}, {'player': {'id': 3364, 'name': 'Jonathan Martins-Pereira'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 6}, {'player': {'id': 401479, 'name': 'Calvin Anele Ngcongca'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 31}, {'player': {'id': 13730, 'name': 'Matthieu Saunier'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 26752, 'name': 'Mouhamadou Dabo'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 35}, {'player': {'id': 7415, 'name': 'Jessy Pi'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 25}, {'player': {'id': 3002, 'name': 'Benjamin Nivet'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 401470, 'name': 'Fabien Camus'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 23}, {'player': {'id': 3010, 'name': 'Corentin Jean'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 27}, {'player': {'id': 7336, 'name': 'Jimmy Cabot'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 21}, {'player': {'id': 29133, 'name': 'Brayan Andrés Perea Vargas'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 13}]}",Troyes,133,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,297664c8-6cfe-4443-888f-45f204d06761,2,,,3900554,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Troyes,133,,0,,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 7282, 'name': 'Jean-Louis Leca'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 16}, {'player': {'id': 40517, 'name': 'Gilles Cioni'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 29}, {'player': {'id': 26481, 'name': 'Sébastien Squillaci'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 401194, 'name': 'François Modesto'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 20}, {'player': {'id': 4508, 'name': 'Julian Palmieri'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 15}, {'player': {'id': 10522, 'name': 'Mehdi Mostefa Sbaa'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 16271, 'name': 'Florian Raspentino'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 9}, {'player': {'id': 3433, 'name': 'Lassana Coulibaly'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 33}, {'player': {'id': 7791, 'name': 'Seko Fofana'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 15689, 'name': 'Floyd Ayité'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 7}, {'player': {'id': 401541, 'name': 'Evaeverson Lemos da Silva Brandão'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 11}]}",Bastia,2736,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,70ebdf3f-b10d-4edd-a12e-e108f5b50a5b,3,,,3900554,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Troyes,133,['7dc921b7-7ddb-4515-a2f2-5090adcbd701'],0,,,,,,,,,,,,,,,,Troyes,133,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,7dc921b7-7ddb-4515-a2f2-5090adcbd701,4,,,3900554,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Troyes,133,['70ebdf3f-b10d-4edd-a12e-e108f5b50a5b'],0,,,,,,,,,,,,,,,,Bastia,2736,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,445a3b15-e8d0-46c5-be5c-9b33f1f86253,1581,,,3900554,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,94,Troyes,133,['286d4ce3-a731-48e3-8110-bd3042ee7b85'],0,,,,,,,,,,,,,,,,Bastia,2736,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,286d4ce3-a731-48e3-8110-bd3042ee7b85,1582,,,3900554,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,94,Troyes,133,['445a3b15-e8d0-46c5-be5c-9b33f1f86253'],0,,,,,,,,,,,,,,,,Troyes,133,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.529728,,,,,,,,,,,,,1a82ef10-6f16-40ed-af06-2c3a49403965,5,,"[60.0, 40.0]",3900554,0,,True,,,2.2367656,,Left Foot,,,,"[58.9, 41.4]",,Ground Pass,,1.7804494,,,,Florian Raspentino,16271.0,,,,,Kick Off,1,From Kick Off,Evaeverson Lemos da Silva Brandão,401541.0,Center Forward,2,Bastia,2736,['55c34f8b-770f-4601-9665-41fbb53ddb29'],0,,,,,,,,,,,,,,,,Bastia,2736,00:00:00.678,Pass,
,,,,,,,,,,,,,,,,,,2.476379,,,,,,,,,,,,,0fa229b8-542f-4463-9671-14b0a196e5ed,7,,"[58.9, 41.1]",3900554,0,,True,,,-3.0797248,,Right Foot,,,,"[36.3, 39.7]",,Ground Pass,,22.643322,,,,François Modesto,401194.0,,,,,,1,From Kick Off,Florian Raspentino,16271.0,Right Midfield,2,Bastia,2736,['8f01da89-66d9-4712-9b55-52c186e2f0f6'],1,,,,,,,,,,,,,,,,Bastia,2736,00:00:01.208,Pass,
,,,,,,,,,,,,,,,,,,3.205869,,,,,,,,,,,,,7479b6e6-813b-4411-bc79-d555debb8766,9,,"[42.0, 41.4]",3900554,0,,,,,-0.44194683,,Right Foot,,,,"[92.3, 17.6]",,High Pass,,55.646473,,Incomplete,,Floyd Ayité,15689.0,,,,,,1,From Kick Off,François Modesto,401194.0,Left Center Back,2,Bastia,2736,"['10997d16-aa4c-4dca-bd67-c3270438951c', 'c194a71a-0415-4351-93a3-20f02d12fc1e']",4,,,,,,,,,,,,,,,,Bastia,2736,00:00:04.980,Pass,
,,,,,,,,,,,,,,,,,,1.315078,,,,,,,,,,,,,10997d16-aa4c-4dca-bd67-c3270438951c,12,,"[27.8, 62.5]",3900554,0,,,,True,-0.031989083,,,,,,"[40.3, 62.1]",,Low Pass,,12.506398,,,,Corentin Jean,3010.0,,,,,Recovery,1,Regular Play,Jonathan Martins-Pereira,3364.0,Right Back,3,Troyes,133,"['377afc64-6cba-4945-b384-88c0ee33e5d0', '5372c574-b3eb-4b85-be7b-2d1cb28a75c4', '7479b6e6-813b-4411-bc79-d555debb8766']",8,,,,,,,,,,,,,,,,Troyes,133,00:00:08.186,Pass,True
