50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,3.604216,,,,,,,,,,,,,,f1af9e7f-02dd-411d-a0c1-a632e3a7002c,1675,,"[11.8, 42.9]",3900522,37,,True,,,0.013476273,,Drop Kick,,,,"[86.0, 43.9]",,High Pass,,74.20674,Incomplete,,,,,,,,,1,From Keeper,Alban Lafont,2981.0,Goalkeeper,87,Toulouse,130,['b86193d4-16c5-4901-af5f-4f35cf0f7578'],5,,,,,,,,,,,,,,,,,,Toulouse,130,00:37:05.750,Pass,
,,,,,,,,,,,,,,,,2.294158,,,,,,,,,,,,,,9b3b95fc-9131-4b83-94dc-bd4fff8fe259,1678,,"[33.7, 36.7]",3900522,37,,,,,1.6876528,,Left Foot,,,,"[31.0, 59.7]",,Ground Pass,,23.157936,,,Romain Genevois,2971.0,,,,,,1,Regular Play,Mathieu Bodmer,4373.0,Left Center Back,88,OGC Nice,136,"['939fa2b5-240c-4298-91b7-1376b4a5417f', 'e922da57-84b3-47a7-8515-c0aef2687ca0']",10,,,,,,,,,,,,,,,,,,OGC Nice,136,00:37:10.460,Pass,True
,,,,,,,,,,,,,,,,2.081085,,,,,,,,,,,,,,cc419b82-6361-483b-ac5b-271abcd3e132,1681,,"[29.5, 63.0]",3900522,37,,,,,0.70581204,,Right Foot,,,,"[47.1, 78.0]",,Ground Pass,,23.124878,,,Jérémy Pied,4270.0,,,,,,1,Regular Play,Romain Genevois,2971.0,Right Center Back,88,OGC Nice,136,"['27a22ab8-b61e-43ae-890b-de5191a65f12', 'd2228630-2dae-44aa-be30-51da60295d84']",12,,,,,,,,,,,,,,,,,,OGC Nice,136,00:37:12.755,Pass,True
,,,,,,,,,,,,,,,,1.694398,,,,,,,,,,,,,,281dceaf-3378-43a9-8f29-ece5915e44c2,1684,,"[47.1, 78.0]",3900522,37,,,,,-0.68231654,,Right Foot,,,,"[67.9, 61.1]",,Ground Pass,,26.800186,,,Valère Germain,3210.0,,,,,,1,Regular Play,Jérémy Pied,4270.0,Right Back,88,OGC Nice,136,['eeeda510-cda9-414d-948e-695174242bf8'],15,,,,,,,,,,,,,,,,,,OGC Nice,136,00:37:15.675,Pass,
,,,,,,,,,,,,,,,,0.77332,,,,,,,,,,,,,,26bf6a41-8a39-4944-8f9b-89da9e0039ba,1687,,"[67.6, 61.3]",3900522,37,,,,,2.2404354,,Right Foot,,,,"[65.7, 63.7]",,Ground Pass,,3.0610456,,,Vincent Koziello,4264.0,,,,,,1,Regular Play,Valère Germain,3210.0,Left Center Forward,88,OGC Nice,136,"['019a9581-86d8-4e43-89a7-1280065c1ac0', '183aaecb-ec46-41ec-833a-3c953e192b47']",17,,,,,,,,,,,,,,,,,,OGC Nice,136,00:37:17.369,Pass,True
,,,,,,,,,,,,,,,,0.828034,,,,,,,,,,,,,,59af176e-37c1-4003-8c06-ba4dd92682db,1694,,"[56.4, 12.8]",3900522,37,,,,,-1.0086095,,Right Foot,,,,"[62.7, 2.8]",,Ground Pass,,11.819053,,,Zinédine Machach,3032.0,,,,,Recovery,1,Regular Play,Óscar Guido Trejo,11540.0,Right Attacking Midfield,89,Toulouse,130,['d0f2d51b-df8f-4c0a-b221-b4f2824d3d91'],21,,,,,,,,,,,,,,,,,,Toulouse,130,00:37:21.631,Pass,
,,,,,,,,,,,,,,,,1.203361,,,,,,,,,,,,,,fc2c6814-be5b-4212-a9c2-2f15fa14874f,1696,,"[62.7, 2.8]",3900522,37,,,,,2.100386,,Right Foot,,,,"[57.9, 11.0]",,Ground Pass,,9.501579,,,Óscar Guido Trejo,11540.0,,,,,,1,Regular Play,Zinédine Machach,3032.0,Left Center Midfield,89,Toulouse,130,['bc03e877-a9f1-4f73-b538-73ed3526e8f3'],22,,,,,,,,,,,,,,,,,,Toulouse,130,00:37:22.459,Pass,
,,,,,,,,,,,,,,,,1.400228,,,,,,,,,,,,,,9096ecfb-faa8-4e35-8fde-38dde31f030b,1708,,"[80.5, 57.2]",3900522,37,,,,,-1.7928783,,Right Foot,,,,"[73.5, 26.2]",,Ground Pass,,31.780497,,,Hatem Ben Arfa,16462.0,,,,,,1,Regular Play,Valère Germain,3210.0,Left Center Forward,90,OGC Nice,136,['c9d5eed7-9d4a-4585-b37d-2d2a53654971'],30,,,,,,,,,,,,,,,,,,OGC Nice,136,00:37:30.664,Pass,
,,,,,,,,,,,,,,,,2.247823,,,,,,,,,,,,,,737de0f7-1de1-46e0-983a-e487249ba525,1711,,"[73.7, 22.7]",3900522,37,,,,,-0.7541583,,Left Foot,,,,"[90.2, 7.2]",,Ground Pass,,22.638462,,,Maxime Le Marchand,3229.0,,,,,,1,Regular Play,Hatem Ben Arfa,16462.0,Right Center Forward,90,OGC Nice,136,['63d237b3-d74a-4d1b-bf69-a006c1e71b71'],33,,,,,,,,,,,,,,,,,,OGC Nice,136,00:37:33.802,Pass,
,,,,,,,,,,,,,,,,2.05986,,,,,,,,,,,,,,f714f082-8221-4ee5-aaf7-cecdf82e157d,1714,,"[104.2, 6.7]",3900522,37,,,,,1.2458303,,Left Foot,True,,,"[119.9, 53.3]",,High Pass,,49.17367,Out,,Valère Germain,3210.0,,True,,,,1,Regular Play,Maxime Le Marchand,3229.0,Left Back,90,OGC Nice,136,['136fd64d-681e-4b2e-adf7-2e9bebbb5bad'],38,,,,,,,,,,,,,,,,,,OGC Nice,136,00:37:38.079,Pass,
,,,,,,,,,,,,,,,,3.567937,,,,,,,,,,,,,,77ed3cd6-90fe-4bf4-9bd8-fc7c7ee6d8b6,1716,,"[6.0, 36.0]",3900522,38,,True,,,-0.508372,,Left Foot,,,,"[59.3, 6.3]",,High Pass,,61.016228,,,Zinédine Machach,3032.0,,,,,Goal Kick,1,From Goal Kick,Alban Lafont,2981.0,Goalkeeper,91,Toulouse,130,['877a7fa0-411b-4eaa-89a5-faca40d10e51'],9,,,,,,,,,,,,,,,,,,Toulouse,130,00:38:09.615,Pass,
