ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0a32d450-f134-4449-93c0-4c0c05c8e28f,1,,,3901249,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Montpellier,139,,0,,,,,,,,,,,,,,,"{'formation': 41212, 'lineup': [{'player': {'id': 7509, 'name': 'Geoffrey Jourdren'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 16}, {'player': {'id': 2975, 'name': 'Mathieu Deplagne'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 25}, {'player': {'id': 3674, 'name': 'Vitorino Hilton da Silva'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 3011, 'name': 'Daniel Congré'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 3676, 'name': 'Jérôme Roussillon'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 24}, {'player': {'id': 3767, 'name': 'Ellyes Joris Skhiri'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 13}, {'player': {'id': 3421, 'name': 'Bryan Dabo'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 14}, {'player': {'id': 2950, 'name': 'Jonas Martin'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 6661, 'name': 'Ryad Boudebouz'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 3679, 'name': 'Souleymane Camara'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 19}, {'player': {'id': 3020, 'name': 'Rodrigue Casimir Ninga'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 29}]}",Montpellier,139,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,d3b35278-889b-422f-b36c-b8c8d2b3f559,2,,,3901249,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Montpellier,139,,0,,,,,,,,,,,,,,,"{'formation': 352, 'lineup': [{'player': {'id': 3354, 'name': 'Benoît Guy Robert Costil'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3753, 'name': 'Pedro Filipe Teodósio Mendes'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 3022, 'name': 'Fallou Diagne'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 14}, {'player': {'id': 3250, 'name': 'Edson André Sitoe'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 4475, 'name': 'Romain Danzé'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 29}, {'player': {'id': 2985, 'name': 'Ludovic Baal'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 24}, {'player': {'id': 29714, 'name': 'Yacouba Sylla'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 20}, {'player': {'id': 8672, 'name': 'Gélson da Conceição Tavares Fernandes'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 18921, 'name': 'Joris Gnagnon'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 33}, {'player': {'id': 5477, 'name': 'Ousmane Dembélé'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 23}, {'player': {'id': 3018, 'name': 'Giovanni-Guy Yann Sio'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 13}]}",Rennes,134,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,d5908adb-647c-4812-99db-2b8929ba4491,3,,,3901249,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Montpellier,139,['9d513b66-0080-43e9-98d9-01bae61ceb7c'],0,,,,,,,,,,,,,,,,Montpellier,139,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,9d513b66-0080-43e9-98d9-01bae61ceb7c,4,,,3901249,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Montpellier,139,['d5908adb-647c-4812-99db-2b8929ba4491'],0,,,,,,,,,,,,,,,,Rennes,134,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,11eff85c-edcc-479a-b0a2-f2399fba1e8c,1895,,,3901249,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,89,Rennes,134,['47d7c171-b50a-48a4-b420-ba69e73e9c28'],0,,,,,,,,,,,,,,,,Rennes,134,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,47d7c171-b50a-48a4-b420-ba69e73e9c28,1896,,,3901249,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,89,Rennes,134,['11eff85c-edcc-479a-b0a2-f2399fba1e8c'],0,,,,,,,,,,,,,,,,Montpellier,139,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.652566,,,,,,,,,,,,4cf6cd50-365f-4775-a3a3-c5b74a018b87,5,,"[61.0, 40.1]",3901249,0,,,,-1.7681919,,Right Foot,,,,"[60.9, 39.6]",,Ground Pass,,0.50990194,,,Giovanni-Guy Yann Sio,3018.0,,,,,,Kick Off,1,From Kick Off,Gélson da Conceição Tavares Fernandes,8672.0,Right Center Midfield,2,Rennes,134,['e4e65347-a649-420b-9c97-f353302651c4'],0,,,,,,,,,,,,,,,,Rennes,134,00:00:00.447,Pass,
,,,,,,,,,,,,,,,4.692168,,,,,,,,,,,,9b3b5745-d0ec-4c6d-a35d-403f399ef48b,9,,"[61.4, 37.9]",3901249,0,,,,-0.5972267,,Left Foot,,,,"[116.1, 0.7]",,High Pass,,66.15081,Out,,Ousmane Dembélé,5477.0,,,,,,,1,From Kick Off,Giovanni-Guy Yann Sio,3018.0,Left Center Forward,2,Rennes,134,"['344fa4fe-2790-406c-8676-80b462d7cfa4', '6198bbfd-0bc2-49ee-b6c9-f943b9e6fcde']",2,,,,,,,,,,,,,,,,Rennes,134,00:00:02.585,Pass,True
,,,,,,,,,,,,,,,1.0994,,,,,,,,,,,,4352638d-8bb3-4801-abab-33c51d05e17f,11,,"[13.4, 80.0]",3901249,0,,,,-0.6722472,,,,,,"[23.2, 72.2]",,Low Pass,,12.525175,,,Bryan Dabo,3421.0,,,,,,Throw-in,1,From Throw In,Mathieu Deplagne,2975.0,Right Back,3,Montpellier,139,['3c61c0d7-cc12-4e77-b819-ae7e40534cc5'],18,,,,,,,,,,,,,,,,Montpellier,139,00:00:18.467,Pass,
,,,,,,,,,,,,,,,1.451917,,,,,,,,,,,,f70b395c-cb74-4ed6-bb9b-fe360130dee6,15,,"[21.2, 74.7]",3901249,0,,,,-0.074627504,,Right Foot,,,,"[42.6, 73.1]",,High Pass,,21.45973,,,Souleymane Camara,3679.0,,,,,,,1,From Throw In,Bryan Dabo,3421.0,Right Center Midfield,3,Montpellier,139,"['19d25505-87f9-4ce3-95b9-2958e51906e2', 'bac33493-0f37-43be-9101-24b9759cf311']",20,,,,,,,,,,,,,,,,Montpellier,139,00:00:20.513,Pass,True
