50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_redirect,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,2a6a05d0-e360-4810-ada5-291aaabcfe5e,1,,,3900577,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Marseille,147,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 3543, 'name': 'Steve Mandanda'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 30}, {'player': {'id': 18874, 'name': 'Mauricio Aníbal Isla Isla'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 18}, {'player': {'id': 7472, 'name': ""Nicolas Alexis Julio N'Koulou Ndoubena""}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 19813, 'name': 'Rolando Jorge Pires da Fonseca'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 3075, 'name': 'Javier Manquillo Gaitán'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 2}, {'player': {'id': 10036, 'name': 'Jacques-Alaixys Romao'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 20}, {'player': {'id': 3181, 'name': 'Lassana Diarra'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 10}, {'player': {'id': 4345, 'name': 'Lucas Ariel Ocampos'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 7}, {'player': {'id': 23933, 'name': 'Abdelaziz Barrada'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 19}, {'player': {'id': 3639, 'name': 'Georges-Kévin Nkoudou Mbida'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 14}, {'player': {'id': 3457, 'name': 'Michy Batshuayi Tunga'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 22}]}",Marseille,147,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,f358e8b3-7f94-41ed-b4a4-2344851af16c,2,,,3900577,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Marseille,147,,0,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 3322, 'name': 'Jonas Lössl'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3364, 'name': 'Jonathan Martins-Pereira'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 22}, {'player': {'id': 2936, 'name': 'Christophe Kerbrat'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 29}, {'player': {'id': 3124, 'name': 'Jérémy Sorbon'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 20199, 'name': 'Lars Christian Jacobsen'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 2}, {'player': {'id': 401512, 'name': 'Lionel Mathis'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 3348, 'name': 'Younousse Sankharé'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 13}, {'player': {'id': 3122, 'name': 'Yannis Salibur'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 19}, {'player': {'id': 4434, 'name': 'Thibault Giresse'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 26}, {'player': {'id': 3363, 'name': 'Marcus Coco'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 24}, {'player': {'id': 3213, 'name': 'Jimmy Briand'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 23}]}",Guingamp,142,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,84aa1b60-6807-4644-814b-bd66bd728c14,3,,,3900577,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Marseille,147,['a2e8709e-8b68-4f3d-a91c-08706bf16b5a'],0,,,,,,,,,,,,,,,,,,Guingamp,142,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,a2e8709e-8b68-4f3d-a91c-08706bf16b5a,4,,,3900577,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Marseille,147,['84aa1b60-6807-4644-814b-bd66bd728c14'],0,,,,,,,,,,,,,,,,,,Marseille,147,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,5e32e903-4a20-46fc-91f9-2d3d6583dba0,1817,,,3900577,45,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,87,Marseille,147,['24a3bae1-72fb-41aa-9984-5fffc5954285'],0,,,,,,,,,,,,,,,,,,Marseille,147,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,24a3bae1-72fb-41aa-9984-5fffc5954285,1818,,,3900577,45,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,87,Marseille,147,['5e32e903-4a20-46fc-91f9-2d3d6583dba0'],0,,,,,,,,,,,,,,,,,,Guingamp,142,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.383848,,,,,,,,,,,,,874fd173-38d4-463e-950a-e4c4e4721968,5,,"[60.0, 40.0]",3900577,0,,,,-1.418147,,Right Foot,,,"[60.2, 38.7]",Ground Pass,,1.3152946,,,,Michy Batshuayi Tunga,3457.0,,,,,Kick Off,1,From Kick Off,Abdelaziz Barrada,23933.0,Center Attacking Midfield,2,Marseille,147,['38ec869e-196a-4ca0-a34c-fa06727295df'],0,,,,,,,,,,,,,,,,,,Marseille,147,00:00:00.835,Pass,
,,,,,,,,,,,,,,,0.909215,,,,,,,,,,,,,aedfdb61-1c3f-4560-a402-b25fc2c09008,7,,"[59.9, 39.8]",3900577,0,,,,-2.6686862,,Right Foot,,,"[47.0, 33.2]",Ground Pass,,14.490341,,,,Lassana Diarra,3181.0,,,,,,1,From Kick Off,Michy Batshuayi Tunga,3457.0,Center Forward,2,Marseille,147,['959d8c45-d481-4507-a440-a818814f609a'],1,,,,,,,,,,,,,,,,,,Marseille,147,00:00:01.219,Pass,
,,,,,,,,,,,,,,,1.690039,,,,,,,,,,,,,df4336af-9975-4020-9742-b72a5a9e03cd,10,,"[47.0, 33.2]",3900577,0,,,,-1.7395464,,Right Foot,,,"[42.4, 6.2]",Ground Pass,,27.38905,,,,Javier Manquillo Gaitán,3075.0,,,,,,1,From Kick Off,Lassana Diarra,3181.0,Left Defensive Midfield,2,Marseille,147,['0092614e-3faf-4cfa-96cb-06a7daf0f3bc'],3,,,,,,,,,,,,,,,,,,Marseille,147,00:00:03.823,Pass,
,,,,,,,,,,,,,,,1.274727,,,,,,,,,,,,,2a0a13f1-9597-4f3d-a9b3-5f0e6ece0680,13,,"[42.4, 6.5]",3900577,0,,,,2.2231271,,Right Foot,,,"[31.4, 20.9]",Ground Pass,,18.120707,,,,Rolando Jorge Pires da Fonseca,19813.0,,,,,,1,From Kick Off,Javier Manquillo Gaitán,3075.0,Left Back,2,Marseille,147,['4851e9f0-c856-4b76-8366-febb02bba4fa'],6,,,,,,,,,,,,,,,,,,Marseille,147,00:00:06.276,Pass,
