50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,9da75080-9b08-4fc7-8d5e-e4592dbdb999,1,,,,3901160,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Nantes,144,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 25377, 'name': 'Rémy Riou'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3404, 'name': 'Youssouf Sabaly'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 14}, {'player': {'id': 3004, 'name': 'Oswaldo Augusto Vizcarrondo Araújo'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 10936, 'name': 'Lorik Agim Cana'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 4249, 'name': 'Wilfried Moimbé'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 13}, {'player': {'id': 4380, 'name': 'Guillaume Gillet'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 27}, {'player': {'id': 401478, 'name': 'Rémi Gomis'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 12351, 'name': 'Alejandro Bedoya'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 7}, {'player': {'id': 31687, 'name': 'Adryan Oliveira Tavares'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 23}, {'player': {'id': 6284, 'name': 'Kolbeinn Sigþórsson'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 9}, {'player': {'id': 3114, 'name': 'Emiliano Sala'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 22}]}",Nantes,144,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,a8f46bf8-4cac-4001-b166-360d40d4acc7,2,,,,3901160,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Nantes,144,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 3444, 'name': 'Danijel Subašić'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3374, 'name': 'Andrea Raggi'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 24}, {'player': {'id': 10805, 'name': 'Ricardo Alberto Silveira de Carvalho'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 8277, 'name': 'Wallace Fortuna dos Santos'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 13}, {'player': {'id': 27558, 'name': 'Elderson Uwa Echiejile'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 21}, {'player': {'id': 3247, 'name': 'Fábio Henrique Tavares'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 2}, {'player': {'id': 3406, 'name': 'Jérémy Toulalan'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 28}, {'player': {'id': 3009, 'name': 'Kylian Mbappé Lottin'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 33}, {'player': {'id': 3168, 'name': 'João Filipe Iria Santos Moutinho'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 8}, {'player': {'id': 3245, 'name': 'Thomas Lemar'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 27}, {'player': {'id': 3246, 'name': 'Guido Marcelo Carrillo'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 11}]}",AS Monaco,129,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,aee03a70-e339-45fb-ab35-3aafa0607c7b,3,,,,3901160,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Nantes,144,['bfb5cb13-05d6-4264-8551-f59e953b7be1'],0,,,,,,,,,,,,,,,,,AS Monaco,129,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,bfb5cb13-05d6-4264-8551-f59e953b7be1,4,,,,3901160,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Nantes,144,['aee03a70-e339-45fb-ab35-3aafa0607c7b'],0,,,,,,,,,,,,,,,,,Nantes,144,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,eadd0e0e-4ae5-4716-92a7-f16a360d6c69,1757,,,,3901160,45,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,99,Nantes,144,['3e24d18c-693b-4b0a-b71b-6f58f31b8497'],0,,,,,,,,,,,,,,,,,AS Monaco,129,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,3e24d18c-693b-4b0a-b71b-6f58f31b8497,1758,,,,3901160,45,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,99,Nantes,144,['eadd0e0e-4ae5-4716-92a7-f16a360d6c69'],0,,,,,,,,,,,,,,,,,Nantes,144,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.578904,,,,,,,,,,,,,,4e304d59-77a8-4de6-86d3-2bd4c5f119a6,5,,,"[61.0, 40.1]",3901160,0,,,,,1.6456562,,Right Foot,,,"[60.7, 44.1]",Ground Pass,,4.0112343,,,Emiliano Sala,3114.0,,,,,Kick Off,1,From Kick Off,Kolbeinn Sigþórsson,6284.0,Right Center Forward,2,Nantes,144,['9561285d-1782-4de6-ac2a-0e7699071e52'],1,,,,,,,,,,,,,,,,,Nantes,144,00:00:01.313,Pass,
,,,,,,,,,,,,,,,,,1.425244,,,,,,,,,,,,,,e5d7ced7-8a03-4472-be4f-b55df57b3902,7,,,"[61.3, 45.6]",3901160,0,,,,,-2.839037,,Right Foot,,,"[44.0, 40.2]",Ground Pass,,18.12319,,,Guillaume Gillet,4380.0,,,,,,1,From Kick Off,Emiliano Sala,3114.0,Left Center Forward,2,Nantes,144,['a1ea9468-ffac-4c16-9ddf-7b8b519aee4e'],1,,,,,,,,,,,,,,,,,Nantes,144,00:00:01.892,Pass,
,,,,,,,,,,,,,,,,,0.973896,,,,,,,,,,,,,,40fd01ed-8e50-43f6-9431-c276dc5983a4,10,,,"[45.2, 38.7]",3901160,0,,,,,2.2562249,,Right Foot,,,"[30.4, 56.8]",Ground Pass,,23.380547,,,Oswaldo Augusto Vizcarrondo Araújo,3004.0,,,,,,1,From Kick Off,Guillaume Gillet,4380.0,Right Defensive Midfield,2,Nantes,144,['2797905d-ddaa-4475-949f-c691e32dceb1'],4,,,,,,,,,,,,,,,,,Nantes,144,00:00:04.240,Pass,
,,,,,,,,,,,,,,,,,3.514568,,,,,,,,,,,,,,6b1ddc18-6df5-46f9-8baf-e91e1f32d9c2,13,,,"[30.2, 55.4]",3901160,0,,,,,0.064628035,,Right Foot,,,"[78.1, 58.5]",High Pass,,48.00021,Incomplete,,Emiliano Sala,3114.0,,,,,,1,From Kick Off,Oswaldo Augusto Vizcarrondo Araújo,3004.0,Right Center Back,2,Nantes,144,"['8058eecd-e8da-427d-b24d-ba046c979979', 'e0f37552-7de8-4079-9e81-4b3bdefbc0c5']",6,,,,,,,,,,,,,,,,,Nantes,144,00:00:06.392,Pass,
