50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,b3d63c38-7df3-4f63-9854-a8316d152251,1,,,,3900586,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Guingamp,142,,0,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 3322, 'name': 'Jonas Lössl'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3364, 'name': 'Jonathan Martins-Pereira'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 22}, {'player': {'id': 2936, 'name': 'Christophe Kerbrat'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 29}, {'player': {'id': 3124, 'name': 'Jérémy Sorbon'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 401513, 'name': 'Reynald Lemaître'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 25}, {'player': {'id': 401512, 'name': 'Lionel Mathis'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 3348, 'name': 'Younousse Sankharé'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 13}, {'player': {'id': 3122, 'name': 'Yannis Salibur'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 19}, {'player': {'id': 3301, 'name': 'Nicolas Benezet'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 10}, {'player': {'id': 3213, 'name': 'Jimmy Briand'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 23}, {'player': {'id': 20027, 'name': 'Mevlüt Erdinç'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 28}]}",Guingamp,142,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,6075c306-7d58-4303-b874-7ed3e8d490f7,2,,,,3900586,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Guingamp,142,,0,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 25377, 'name': 'Rémy Riou'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3404, 'name': 'Youssouf Sabaly'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 14}, {'player': {'id': 3174, 'name': 'Lévy Koffi Djidji'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 26}, {'player': {'id': 3004, 'name': 'Oswaldo Augusto Vizcarrondo Araújo'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 10746, 'name': 'Ermir Lenjani'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 4380, 'name': 'Guillaume Gillet'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 27}, {'player': {'id': 7350, 'name': 'Birama Touré'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 12}, {'player': {'id': 3375, 'name': 'Adrien Thomasson'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 8}, {'player': {'id': 12351, 'name': 'Alejandro Bedoya'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 7}, {'player': {'id': 31687, 'name': 'Adryan Oliveira Tavares'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 23}, {'player': {'id': 401477, 'name': 'Johan Audel'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 21}]}",Nantes,144,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,5070bc98-14e8-4caf-8592-736f95fd7d98,3,,,,3900586,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Guingamp,142,['c0f5831c-d265-4fda-8eff-14cce837fda0'],0,,,,,,,,,,,,,,,,Nantes,144,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,c0f5831c-d265-4fda-8eff-14cce837fda0,4,,,,3900586,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Guingamp,142,['5070bc98-14e8-4caf-8592-736f95fd7d98'],0,,,,,,,,,,,,,,,,Guingamp,142,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,eec351b8-d5b1-439d-a952-e94d21e8ef44,1642,,,,3900586,45,,,,,,,,,,,,,,,,,,,,,,,2,From Keeper,,,,100,Guingamp,142,['fa8ab8e7-3f05-47e6-b108-360c87d5122f'],0,,,,,,,,,,,,,,,,Nantes,144,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,fa8ab8e7-3f05-47e6-b108-360c87d5122f,1643,,,,3900586,45,,,,,,,,,,,,,,,,,,,,,,,2,From Keeper,,,,100,Guingamp,142,['eec351b8-d5b1-439d-a952-e94d21e8ef44'],0,,,,,,,,,,,,,,,,Guingamp,142,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.198506,,,,,,,,,,,,,8664b1e7-9891-4f16-8b3f-e70159ddde63,5,,,"[60.0, 40.0]",3900586,0,True,,,1.2924967,,Right Foot,,,"[60.4, 41.4]",,Ground Pass,,1.456022,,,Jimmy Briand,3213.0,,,,,Kick Off,1,From Kick Off,Mevlüt Erdinç,20027.0,Left Center Forward,2,Guingamp,142,['2fb7ade7-01ec-4c6a-8860-c007320a709a'],0,,,,,,,,,,,,,,,,Guingamp,142,00:00:00.415,Pass,
,,,,,,,,,,,,,,,,,,1.797894,,,,,,,,,,,,,2673f609-8226-41b1-ab93-518621bb13bc,7,,,"[60.4, 40.9]",3900586,0,,,,-2.9987807,,Right Foot,,,"[45.1, 38.7]",,Ground Pass,,15.45736,,,Younousse Sankharé,3348.0,,,,,,1,From Kick Off,Jimmy Briand,3213.0,Right Center Forward,2,Guingamp,142,['ec01e10e-0a09-4325-8d57-43be02deef30'],0,,,,,,,,,,,,,,,,Guingamp,142,00:00:00.664,Pass,
,,,,,,,,,,,,,,,,,,3.202278,,,,,,,,,,,,,6b50d2d4-1528-4030-89db-e827554c70fb,10,,,"[45.8, 38.9]",3900586,0,,,,0.38904405,,Left Foot,,,"[94.1, 58.7]",,High Pass,,52.200863,,Incomplete,Yannis Salibur,3122.0,,,,,,1,From Kick Off,Younousse Sankharé,3348.0,Left Defensive Midfield,2,Guingamp,142,"['60040a02-6e8c-4bd2-97a6-c5568af683a7', 'a68ff13e-a88f-408a-ae70-d906c9b9624a']",2,,,,,,,,,,,,,,,,Guingamp,142,00:00:02.502,Pass,
,,,,,,,,,,,,,,,,,,1.699238,,,,,,,,,,,,,a68ff13e-a88f-408a-ae70-d906c9b9624a,12,,,"[26.0, 21.4]",3900586,0,,,,-0.17443839,,Head,,,"[50.4, 17.1]",,High Pass,,24.775997,,Incomplete,Adryan Oliveira Tavares,31687.0,,,,,Recovery,1,From Kick Off,Ermir Lenjani,10746.0,Left Back,2,Guingamp,142,"['117f35b2-dbdb-4a42-a24a-7529f5300497', '29c26b4a-dffe-49b1-9831-8dd95cf94968', '6b50d2d4-1528-4030-89db-e827554c70fb']",5,,,,,,,,,,,,,,,,Nantes,144,00:00:05.704,Pass,
