ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_lost_in_play,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,8bb103d5-8b88-46ce-be2d-5f08153df01f,1,,,3829413,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Lille,143,,0,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 40484, 'name': 'Vincent Enyeama'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 5476, 'name': 'Benjamin Pavard'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 28}, {'player': {'id': 29057, 'name': 'Renato Civelli'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 11332, 'name': 'Ibrahim Amadou'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 3446, 'name': 'Djibril Sidibé'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 19}, {'player': {'id': 3211, 'name': 'Florent Balmont'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 40522, 'name': 'Rio Antonio Zoba Mavuba'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 24}, {'player': {'id': 6716, 'name': 'Sébastien Corchia'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 2}, {'player': {'id': 40486, 'name': 'Éric Bauthéac'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 9}, {'player': {'id': 3625, 'name': 'Sofiane Boufal'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 7}, {'player': {'id': 9102, 'name': 'Serhou Guirassy'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 12}]}",Lille,143,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,bd94d578-e87e-476c-bbef-502df13a77ab,2,,,3829413,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Lille,143,,0,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 4440, 'name': 'Kevin Trapp'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 16}, {'player': {'id': 3481, 'name': 'Serge Aurier'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 19}, {'player': {'id': 3295, 'name': 'Thiago Emiliano da Silva'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 3956, 'name': 'David Luiz Moreira Marinho'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 32}, {'player': {'id': 26613, 'name': 'Maxwell Scherrer Cabelino Andrade'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 17}, {'player': {'id': 3026, 'name': 'Adrien Rabiot'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 25}, {'player': {'id': 3166, 'name': 'Marco Verratti'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 4375, 'name': 'Blaise Matuidi'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 14}, {'player': {'id': 4370, 'name': 'Javier Matías Pastore'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 27}, {'player': {'id': 3745, 'name': 'Lucas Rodrigues Moura da Silva'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 4319, 'name': 'Edinson Roberto Cavani Gómez'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Paris Saint-Germain,131,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,d9aaae89-5a43-493c-b26d-5a1605ac2a02,3,,,3829413,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Lille,143,['fca86857-f917-44d8-b3b7-fc1ce90512f1'],0,,,,,,,,,,,,,,,,,,Lille,143,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,fca86857-f917-44d8-b3b7-fc1ce90512f1,4,,,3829413,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Lille,143,['d9aaae89-5a43-493c-b26d-5a1605ac2a02'],0,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,4b5274da-5a63-4263-9e66-d53fccbae94e,1638,,,3829413,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,79,Lille,143,['1571b013-dcdf-4ea4-8c73-9e0ced174b7c'],0,,,,,,,,,,,,,,,,,,Lille,143,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,1571b013-dcdf-4ea4-8c73-9e0ced174b7c,1639,,,3829413,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,79,Lille,143,['4b5274da-5a63-4263-9e66-d53fccbae94e'],0,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.694672,,,,,,,,,,,,,89ea7bf6-eeb6-4fbd-87b7-b80f44983e77,5,,"[61.0, 40.1]",3829413,0,,,,2.5829933,,Right Foot,,,"[58.6, 41.6]",,Ground Pass,,2.8301942,,,,Edinson Roberto Cavani Gómez,4319.0,,,,,Kick Off,1,From Kick Off,Marco Verratti,3166.0,Right Center Midfield,2,Paris Saint-Germain,131,['b51483b7-33a8-4ad3-b56d-8f63f452318d'],0,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:00.644,Pass,
,,,,,,,,,,,,,,,,,,0.979536,,,,,,,,,,,,,52f776ad-f3e5-4242-a7e7-d5d80b2eb9b5,7,,"[58.6, 42.3]",3829413,0,,,,-3.1350992,,Right Foot,,,"[43.2, 42.2]",,Ground Pass,,15.400325,,,,Adrien Rabiot,3026.0,,,,,,1,From Kick Off,Edinson Roberto Cavani Gómez,4319.0,Center Forward,2,Paris Saint-Germain,131,['b61b1ace-e4d1-427d-b2b9-41d287ae90bf'],1,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:01.338,Pass,
,,,,,,,,,,,,,,,,,,1.915234,,,,,,,,,,,,,ecf14d4c-2be7-4b6d-8540-e7fb1b26318b,10,,"[43.0, 40.1]",3829413,0,,,,-2.6658974,,Right Foot,,,"[29.8, 33.3]",,Ground Pass,,14.848569,,,,David Luiz Moreira Marinho,3956.0,,,,,,1,From Kick Off,Adrien Rabiot,3026.0,Center Defensive Midfield,2,Paris Saint-Germain,131,['e993a9cb-da01-4bee-a2b6-f91a76abe383'],3,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:03.692,Pass,
,,,,,,,,,,,,,,,,,,0.987349,,,,,,,,,,,,,3aedb7a4-47b6-4737-99b1-734db8aa4965,13,,"[29.3, 35.6]",3829413,0,,,,1.6614562,,Right Foot,,,"[27.7, 53.2]",,Ground Pass,,17.672577,,,,Thiago Emiliano da Silva,3295.0,,,,,,1,From Kick Off,David Luiz Moreira Marinho,3956.0,Left Center Back,2,Paris Saint-Germain,131,['76653b04-802d-4079-903b-c1a83a7aea22'],6,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:06.621,Pass,
