50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_height,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,8c8cc5a8-d5cc-4878-ab66-bed3547af231,1,,,3901189,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Lille,143,,0,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 40484, 'name': 'Vincent Enyeama'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3677, 'name': 'Bakary Adama Soumaoro'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 23}, {'player': {'id': 29057, 'name': 'Renato Civelli'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 40523, 'name': 'Marko Baša'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 25}, {'player': {'id': 3446, 'name': 'Djibril Sidibé'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 19}, {'player': {'id': 11332, 'name': 'Ibrahim Amadou'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 3211, 'name': 'Florent Balmont'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 40697, 'name': 'Mounir Obbadi'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 3425, 'name': 'Morgan Amalfitano'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 31}, {'player': {'id': 3625, 'name': 'Sofiane Boufal'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 15996, 'name': 'Éderzito António Macedo Lopes'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 39}]}",Lille,143,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,094737f5-f823-4159-8996-c8b71925f9c7,2,,,3901189,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Lille,143,,0,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 2981, 'name': 'Alban Lafont'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 40}, {'player': {'id': 3035, 'name': 'Steeve Yago'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 20}, {'player': {'id': 4349, 'name': 'Issa Diop'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 8677, 'name': 'Marcel Tisserand'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 26}, {'player': {'id': 3024, 'name': 'Jacques François Moubandje'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 29}, {'player': {'id': 2961, 'name': 'Yann Bodiger'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 23}, {'player': {'id': 3189, 'name': 'Étienne Didot'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 3030, 'name': 'Wergiton do Rosário Calmon'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 19}, {'player': {'id': 16522, 'name': 'Tongo Hamed Doumbia'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 4}, {'player': {'id': 4447, 'name': 'Martin Braithwaite Christensen'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 9}, {'player': {'id': 6723, 'name': 'Wissam Ben Yedder'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Toulouse,130,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,9669abf2-dce8-4cf6-881a-ce943d2f0b6c,3,,,3901189,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Lille,143,['cbef5c55-0dda-4446-a13f-3975656f0a16'],0,,,,,,,,,,,,,,,,Lille,143,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,cbef5c55-0dda-4446-a13f-3975656f0a16,4,,,3901189,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Lille,143,['9669abf2-dce8-4cf6-881a-ce943d2f0b6c'],0,,,,,,,,,,,,,,,,Toulouse,130,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,32d635c6-1c01-45c0-899c-1acaafdbd200,1749,,,3901189,45,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,100,Toulouse,130,['b208478b-197e-4837-8e81-89b881e18b7f'],0,,,,,,,,,,,,,,,,Toulouse,130,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,b208478b-197e-4837-8e81-89b881e18b7f,1750,,,3901189,45,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,100,Toulouse,130,['32d635c6-1c01-45c0-899c-1acaafdbd200'],0,,,,,,,,,,,,,,,,Lille,143,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.339846,,,,,,,,,,,,,82c07f06-01ce-4d7c-8e75-3fdcc70a15e7,5,,"[60.0, 40.0]",3901189,0,,,,0.8519663,,Right Foot,,,"[60.7, 40.8]",Ground Pass,1.0630146,,,,Morgan Amalfitano,3425.0,,,,,,Kick Off,1,From Kick Off,Éderzito António Macedo Lopes,15996.0,Center Forward,2,Lille,143,['3a92511f-bc93-4e66-9ca9-09ce27fd78d2'],1,,,,,,,,,,,,,,,,Lille,143,00:00:01.735,Pass,
,,,,,,,,,,,,,,,,1.259788,,,,,,,,,,,,,4e4ab9b0-1f8d-4f34-b684-21c72b4751f6,7,,"[60.3, 39.9]",3901189,0,,,,-2.5735874,,Right Foot,,,"[45.1, 30.2]",Ground Pass,18.03136,,,,Ibrahim Amadou,11332.0,,,,,,,1,From Kick Off,Morgan Amalfitano,3425.0,Right Wing,2,Lille,143,['f313f5dd-0217-431a-996d-6e4f0c34af91'],2,,,,,,,,,,,,,,,,Lille,143,00:00:02.075,Pass,
,,,,,,,,,,,,,,,,1.751774,,,,,,,,,,,,,9c6905a4-02ea-4aab-ab99-0749e61b5cfc,10,,"[45.2, 30.2]",3901189,0,,,,-1.7690135,,Right Foot,,,"[40.5, 6.8]",Ground Pass,23.867342,,,,Djibril Sidibé,3446.0,,,,,,,1,From Kick Off,Ibrahim Amadou,11332.0,Center Defensive Midfield,2,Lille,143,['327fc2af-caac-4c31-a09f-d99711344e72'],3,,,,,,,,,,,,,,,,Lille,143,00:00:03.602,Pass,
,,,,,,,,,,,,,,,,1.463827,,,,,,,,,,,,,e1e07029-ac37-4494-bd01-57dd5f882f07,13,,"[39.4, 7.6]",3901189,0,,,,2.17606,,Right Foot,,,"[26.6, 26.1]",Ground Pass,22.496445,,,,Marko Baša,40523.0,,,,,,,1,From Kick Off,Djibril Sidibé,3446.0,Left Back,2,Lille,143,['01890b74-919b-482a-a429-dc9999fdd517'],5,,,,,,,,,,,,,,,,Lille,143,00:00:05.897,Pass,
