50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,1.6,,,,,,,,,,,,,,,e4b324a5-8e16-4a63-850b-70fcb8a84c89,2746,,"[8.8, 41.8]",3901220,68,,True,,,-0.969281,,Keeper Arm,,,"[23.9, 19.8]",,Ground Pass,26.683516,,,,Benoît Assou-Ekotto,3047.0,,,,,,,2,From Keeper,Stéphane Ruffier,4259.0,Goalkeeper,164,Saint-Étienne,135,['61a51943-733d-468e-b2ff-7862c005dbb5'],45,,,,,,,,,,,,,,,,,Saint-Étienne,135,00:23:45.284,Pass,
,,,,,,,,,,,,,,,,,1.225945,,,,,,,,,,,,,,,180f6b56-0358-4168-a360-8c99fdbe32d1,2748,,"[27.1, 15.5]",3901220,68,,,,,-0.6979028,,Left Foot,,,"[42.6, 2.5]",,Ground Pass,20.229929,,,,Kévin Monnet-Paquet,4431.0,,,,,,,2,From Keeper,Benoît Assou-Ekotto,3047.0,Left Back,164,Saint-Étienne,135,['d1908166-0c41-4363-aa7c-43138678b713'],47,,,,,,,,,,,,,,,,,Saint-Étienne,135,00:23:47.613,Pass,
,,,,,,,,,,,,,,,,,1.034434,,,,,,,,,,,,,,,93aadef8-b5e0-467e-a547-968143066526,2751,,"[42.6, 2.5]",3901220,68,,,,,2.5998728,,Right Foot,,,"[31.3, 9.3]",,Ground Pass,13.188252,,,,Benoît Assou-Ekotto,3047.0,,,,,,,2,From Keeper,Kévin Monnet-Paquet,4431.0,Left Wing,164,Saint-Étienne,135,['a2a4f222-3a7b-41b5-8196-15b7b2f34f73'],49,,,,,,,,,,,,,,,,,Saint-Étienne,135,00:23:49.523,Pass,
,,,,,,,,,,,,,,,,,1.817456,,,,,,,,,,,,,,,0edd3929-d1f3-428d-ba6d-fca88d7c81e6,2754,,"[31.3, 9.3]",3901220,68,,,,,1.3586526,,Left Foot,,,"[36.9, 35.3]",,Ground Pass,26.596241,,,,Fabien Lemoine,7200.0,,,,,,,2,From Keeper,Benoît Assou-Ekotto,3047.0,Left Back,164,Saint-Étienne,135,['8b6656c7-c904-4963-8062-593c7f5c50ce'],53,,,,,,,,,,,,,,,,,Saint-Étienne,135,00:23:53.153,Pass,
,,,,,,,,,,,,,,,,,1.2,,,,,,,,,,,,,,,d2a5cd4f-93d2-44a9-ba15-e6e3c3492a1d,2758,,"[33.7, 34.7]",3901220,68,,,,,-2.4980915,,Left Foot,,,"[23.7, 27.2]",,Ground Pass,12.5,,,,Loïc Perrin,4263.0,,,,,,,2,From Keeper,Fabien Lemoine,7200.0,Right Defensive Midfield,164,Saint-Étienne,135,"['1ee12439-1ae5-4a80-9335-3cd22f5d00f8', '8ca7ebb8-07fa-43ce-afe3-def850122079']",57,,,,,,,,,,,,,,,,,Saint-Étienne,135,00:23:57.108,Pass,True
,,,,,,,,,,,,,,,,,0.916817,,,,,,,,,,,,,,,f763bfb4-c84e-4ce3-9248-35ad550f03d3,2761,,"[23.7, 27.2]",3901220,68,,,,,0.5369108,,Right Foot,,,"[36.3, 34.7]",,Ground Pass,14.663219,,,,Jérémy Clément,7442.0,,,,,,,2,From Keeper,Loïc Perrin,4263.0,Left Center Back,164,Saint-Étienne,135,['6a66f39c-efc4-41d3-82ea-c205edf35da1'],59,,,,,,,,,,,,,,,,,Saint-Étienne,135,00:23:59.359,Pass,
,,,,,,,,,,,,,,,,,1.671857,,,,,,,,,,,,,,,422e22f0-b813-493e-96c4-3bcf45d94509,2764,,"[35.6, 29.9]",3901220,69,,,,,-1.709249,,Left Foot,,,"[32.2, 5.5]",,Ground Pass,24.635746,,,,Benoît Assou-Ekotto,3047.0,,,,,,,2,From Keeper,Jérémy Clément,7442.0,Left Defensive Midfield,164,Saint-Étienne,135,['d3eab1be-6a04-4273-93e8-412e844f38f2'],1,,,,,,,,,,,,,,,,,Saint-Étienne,135,00:24:01.563,Pass,
,,,,,,,,,,,,,,,,,0.766028,,,,,,,,,,,,,,,f0473217-3f7f-49c8-b60f-fe78e1c4648e,2771,,"[56.7, 56.4]",3901220,69,,,,,-2.819842,,Right Foot,,,"[49.8, 54.1]",,Ground Pass,7.2732387,,,,Mehdi Mostefa Sbaa,10522.0,,,,,,,2,Regular Play,François Kamano,3405.0,Right Wing,165,Bastia,2736,['4f59d509-882e-41e0-b6cb-f5efb9b50eea'],10,,,,,,,,,,,,,,,,,Bastia,2736,00:24:10.099,Pass,
,,,,,,,,,,,,,,,,,0.979619,,,,,,,,,,,,,,,b1e41c66-eaa7-43d8-8dc5-09f018248d53,2773,,"[49.8, 54.1]",3901220,69,,,,,-0.5642682,,Right Foot,,,"[65.6, 44.1]",,Ground Pass,18.698664,,,,Seko Fofana,7791.0,,,,,,,2,Regular Play,Mehdi Mostefa Sbaa,10522.0,Center Defensive Midfield,165,Bastia,2736,['9d9206f2-32ff-44d9-9b1b-f159c50e126c'],10,,,,,,,,,,,,,,,,,Bastia,2736,00:24:10.865,Pass,
,,,,,,,,,,,,,,,,,1.092504,,,,,,,,,,,,,,,1fc6b060-5fec-4491-8c70-f0ec7438fd01,2776,,"[64.9, 44.1]",3901220,69,,,,,0.40665236,,Right Foot,,,"[78.6, 50.0]",,Ground Pass,14.916434,,,,Floyd Ayité,15689.0,,,,,,,2,Regular Play,Seko Fofana,7791.0,Left Center Midfield,165,Bastia,2736,['87ba1812-6181-4c0b-bfca-ca79718983a6'],12,,,,,,,,,,,,,,,,,Bastia,2736,00:24:12.406,Pass,
