bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_card,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,a3bbf114-6dc0-493a-97a2-4d979672018f,1,,,3829476,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Lyon,137,,0,,,,,,,,,,,,,,,,,"{'formation': 41212, 'lineup': [{'player': {'id': 2947, 'name': 'Anthony Lopes'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 4410, 'name': 'Christophe Jallet'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 13}, {'player': {'id': 3103, 'name': 'Milan Biševac'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 5492, 'name': 'Samuel Yves Umtiti'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 23}, {'player': {'id': 2983, 'name': 'Jérémy Morel'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 15}, {'player': {'id': 6982, 'name': 'Maxime Gonalons'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 21}, {'player': {'id': 3236, 'name': 'Sergi Darder Moll'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 14}, {'player': {'id': 5480, 'name': 'Corentin Tolisso'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 40407, 'name': 'Steed Malbranque'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 17}, {'player': {'id': 3451, 'name': 'Alexandre Lacazette'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 10}, {'player': {'id': 7225, 'name': 'Aldo Kalulu Kyatengwa'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 26}]}",Lyon,137,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,ccb18599-0d99-4c3f-8c21-5374f40f3df6,2,,,3829476,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Lyon,137,,0,,,,,,,,,,,,,,,,,"{'formation': 3412, 'lineup': [{'player': {'id': 7282, 'name': 'Jean-Louis Leca'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 16}, {'player': {'id': 2989, 'name': 'Alexander Djiku'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 23}, {'player': {'id': 401194, 'name': 'François Modesto'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 20}, {'player': {'id': 40528, 'name': 'Florian Marange'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 28}, {'player': {'id': 40517, 'name': 'Gilles Cioni'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 29}, {'player': {'id': 4508, 'name': 'Julian Palmieri'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 15}, {'player': {'id': 7791, 'name': 'Seko Fofana'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 10522, 'name': 'Mehdi Mostefa Sbaa'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 7349, 'name': 'Gaël Danic'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 8}, {'player': {'id': 3405, 'name': 'François Kamano'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 25}, {'player': {'id': 15689, 'name': 'Floyd Ayité'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 7}]}",Bastia,2736,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,df87fcf3-8f75-4436-ba4d-fcef9dffe666,3,,,3829476,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Lyon,137,['2b1ea0ef-7d3b-495b-b9fe-1b68ce878c0f'],0,,,,,,,,,,,,,,,,,,Lyon,137,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,2b1ea0ef-7d3b-495b-b9fe-1b68ce878c0f,4,,,3829476,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Lyon,137,['df87fcf3-8f75-4436-ba4d-fcef9dffe666'],0,,,,,,,,,,,,,,,,,,Bastia,2736,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,3891cb2f-4047-4a2b-a774-4ef50b289fca,1822,,,3829476,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,93,Lyon,137,['fbfdf12b-4c3a-46ff-93ad-ed5e4c664d4f'],0,,,,,,,,,,,,,,,,,,Bastia,2736,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,fbfdf12b-4c3a-46ff-93ad-ed5e4c664d4f,1823,,,3829476,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,93,Lyon,137,['3891cb2f-4047-4a2b-a774-4ef50b289fca'],0,,,,,,,,,,,,,,,,,,Lyon,137,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.729056,,,,,,,,,b0843748-9a85-44a7-9c66-d483ecb7f0f3,5,,"[61.0, 40.1]",3829476,0,,,,,1.2958865,,Right Foot,,"[62.1, 44.0]",,Ground Pass,,4.05216,,,,,Alexandre Lacazette,3451.0,,,,,Kick Off,1,From Kick Off,Aldo Kalulu Kyatengwa,7225.0,Left Center Forward,2,Lyon,137,['cda4e9af-ea85-461f-9d32-26e4a0228001'],0,,,,,,,,,,,,,,,,,,Lyon,137,00:00:00.699,Pass,
,,,,,,,,,,,,,,,,1.525967,,,,,,,,,56a62fbf-dfad-4d91-8f74-b5998eee0dc5,8,,"[58.7, 46.0]",3829476,0,,,,,2.3188984,,Right Foot,,"[45.8, 59.9]",,Ground Pass,,18.96365,,,,,Sergi Darder Moll,3236.0,,,,,,1,From Kick Off,Alexandre Lacazette,3451.0,Right Center Forward,2,Lyon,137,['629d6733-dc5d-402f-b07d-cad46c3b66de'],2,,,,,,,,,,,,,,,,,,Lyon,137,00:00:02.247,Pass,
,,,,,,,,,,,,,,,,1.259439,,,,,,,,,b7e7495a-8dce-4e5b-960f-701aa731b289,11,,"[43.6, 60.9]",3829476,0,,,,,1.3075473,,Right Foot,,"[47.4, 75.0]",,Ground Pass,,14.603082,,,,,Christophe Jallet,4410.0,,,,,,1,From Kick Off,Sergi Darder Moll,3236.0,Right Center Midfield,2,Lyon,137,['346696e8-5659-457e-ad0c-10733e150ebc'],4,,,,,,,,,,,,,,,,,,Lyon,137,00:00:04.155,Pass,
,,,,,,,,,,,,,,,,1.120409,,,,,,,,,b58b0948-781a-41bd-b0eb-5fce3a8d46cf,14,,"[44.6, 74.8]",3829476,0,,,,,-0.5255838,,Left Foot,,"[49.6, 71.9]",,Ground Pass,,5.7801385,,,,,Sergi Darder Moll,3236.0,,,,,,1,From Kick Off,Christophe Jallet,4410.0,Right Back,2,Lyon,137,['20030418-c844-4992-a0a5-7eacb9efe5c2'],6,,,,,,,,,,,,,,,,,,Lyon,137,00:00:06.311,Pass,
