50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,3.254991,,,,,,,,,,,,,,,917fdb00-e614-4937-a023-84f69ca81069,1485,,"[6.0, 44.0]",3900521,33,True,,,0.12187361,,Right Foot,,,"[70.5, 51.9]",,High Pass,,64.981995,,,Incomplete,,Corentin Jean,3010.0,,,,,Goal Kick,1,From Goal Kick,Paul Bernardoni,7193.0,Goalkeeper,86,Troyes,133,"['3a9797e4-e51e-4a29-9e7c-e207d4e26f97', '4ad15bfa-62ca-4ba6-b8e2-4c6c1d89398b']",55,,,,,,,,,,,,,,,,,Troyes,133,00:33:55.469,Pass,
,,,,,,,,,,,,,,,,,,3.687038,,,,,,,,,,,,,,,4ad15bfa-62ca-4ba6-b8e2-4c6c1d89398b,1487,,"[49.6, 28.2]",3900521,33,,,True,-0.33354557,,,,,"[72.4, 20.3]",,High Pass,,24.129856,,,Incomplete,,Edinson Roberto Cavani Gómez,4319.0,,,,,Recovery,1,From Goal Kick,David Luiz Moreira Marinho,3956.0,Left Center Back,86,Troyes,133,"['0e9e02dd-a26f-4d2e-9156-d22177507451', '4559dc6a-6431-4a31-9b15-515109f8f41a', '49d4439f-3040-42de-b5b6-839b61796e2d', '917fdb00-e614-4937-a023-84f69ca81069']",58,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:33:58.724,Pass,True
,,,,,,,,,,,,,,,,,,0.824445,,,,,,,,,,,,,,,49d4439f-3040-42de-b5b6-839b61796e2d,1491,,"[47.7, 59.8]",3900521,34,,,,1.5142529,,Right Foot,,,"[48.3, 70.4]",,Ground Pass,,10.616967,,,,,Jonathan Martins-Pereira,3364.0,,,,,Recovery,1,From Goal Kick,Johan Martial,31625.0,Right Center Back,86,Troyes,133,"['4ad15bfa-62ca-4ba6-b8e2-4c6c1d89398b', '7266d2a4-adb9-4198-8e06-c9dceed8e89b']",2,,,,,,,,,,,,,,,,,Troyes,133,00:34:02.411,Pass,
,,,,,,,,,,,,,,,,,,0.676544,,,,,,,,,,,,,,,9f68ceb0-4048-4c96-bfed-45151025cf18,1494,,"[45.5, 71.4]",3900521,34,,,,-1.6238439,,Right Foot,,,"[44.9, 60.1]",,Ground Pass,,11.315918,,,,,Thomas Ayasse,7488.0,,,,,,1,From Goal Kick,Jonathan Martins-Pereira,3364.0,Right Back,86,Troyes,133,['0ead59b6-f19c-459d-a3f4-2c253a1cf8d8'],4,,,,,,,,,,,,,,,,,Troyes,133,00:34:04.321,Pass,
,,,,,,,,,,,,,,,,,,1.332758,,,,,,,,,,,,,,,5320fc42-f2ff-470b-80a2-698c8da9af4c,1497,,"[44.9, 60.1]",3900521,34,,,,3.0806925,,Right Foot,,,"[28.5, 61.1]",,Ground Pass,,16.43046,,,,,Johan Martial,31625.0,,,,,,1,From Goal Kick,Thomas Ayasse,7488.0,Right Defensive Midfield,86,Troyes,133,['d6b8a061-4f79-4c5f-b391-4b3e10443382'],5,,,,,,,,,,,,,,,,,Troyes,133,00:34:05.237,Pass,
,,,,,,,,,,,,,,,,,,2.401484,,,,,,,,,,,,,,,a05a09cb-24ed-4095-a97b-7ae24d656667,1500,,"[28.4, 61.1]",3900521,34,,,,-0.6338595,,Right Foot,,,"[63.5, 35.3]",,High Pass,,43.562023,,,Incomplete,,Fabien Camus,401470.0,,,,,,1,From Goal Kick,Johan Martial,31625.0,Right Center Back,86,Troyes,133,"['37faad27-4e71-4451-b4dc-cd08412ffb58', '87c3f8df-cb6b-43b9-ac17-9c5805213cac']",9,,,,,,,,,,,,,,,,,Troyes,133,00:34:09.665,Pass,
,,,,,,,,,,,,,,,,,,0.983823,,,,,,,,,,,,,,,ffcb5177-6489-410a-9d2d-4b462ba850bb,1504,,"[63.6, 49.5]",3900521,34,,,,-0.16605447,,Right Foot,,,"[81.5, 46.5]",,Ground Pass,,18.149656,,,Incomplete,,Zlatan Ibrahimović,3672.0,,,,,,1,Regular Play,Thiago Emiliano da Silva,3295.0,Right Center Back,87,Paris Saint-Germain,131,"['154d0f16-474f-42cd-9815-1eb76e0cf221', '3f52c42c-bbcb-4459-9a47-c861e6d00996']",13,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:34:13.847,Pass,
,,,,,,,,,,,,,,,,,,1.449763,,,,,,,,,,,,,,,90b11585-6636-45f5-8672-71430067aa79,1510,,"[7.3, 5.9]",3900521,34,,,,1.5291537,,Left Foot,,,"[8.0, 22.7]",,Ground Pass,,16.814577,,,,,Kevin Trapp,4440.0,,,,,,1,Regular Play,Layvin Kurzawa,4326.0,Left Back,87,Paris Saint-Germain,131,['213689f9-4855-4ba9-a219-ba1dec0a8dbd'],25,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:34:25.002,Pass,
,,,,,,,,,,,,,,,,,,0.817966,,,,,,,,,,,,,,,befd5867-c696-46d4-9b25-b7bfaafb255b,1512,,"[8.0, 23.1]",3900521,34,True,,,0.27283856,,Right Foot,,,"[29.8, 29.2]",,Ground Pass,,22.637358,,,,,David Luiz Moreira Marinho,3956.0,,,,,,1,Regular Play,Kevin Trapp,4440.0,Goalkeeper,87,Paris Saint-Germain,131,['81bf4125-9ee1-4de6-9981-8dfcc5a98565'],28,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:34:28.102,Pass,
,,,,,,,,,,,,,,,,,,1.456066,,,,,,,,,,,,,,,4191b9b8-8e29-488c-b661-9cff3da33713,1514,,"[14.5, 28.0]",3900521,34,,,,0.27829966,,Right Foot,,,"[27.1, 31.6]",,Ground Pass,,13.1041975,,,,,Benjamin Stambouli,8515.0,,,,,,1,Regular Play,David Luiz Moreira Marinho,3956.0,Left Center Back,87,Paris Saint-Germain,131,['1c9da751-2c31-4efe-a936-cf1252fe3927'],28,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:34:28.928,Pass,
