ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_lost_in_play,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,e6af917f-2d61-46ad-82d5-b7939e300c39,1,,,,3900520,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Lyon,137,,0,,,,,,,,,,,,,,,,,"{'formation': 41212, 'lineup': [{'player': {'id': 2947, 'name': 'Anthony Lopes'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3156, 'name': 'Rafael Pereira da Silva'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 20}, {'player': {'id': 3103, 'name': 'Milan Biševac'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 6982, 'name': 'Maxime Gonalons'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 21}, {'player': {'id': 2983, 'name': 'Jérémy Morel'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 15}, {'player': {'id': 5480, 'name': 'Corentin Tolisso'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 3118, 'name': 'Jordan Ferri'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 12}, {'player': {'id': 3236, 'name': 'Sergi Darder Moll'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 14}, {'player': {'id': 18868, 'name': 'Mathieu Valbuena'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 19}, {'player': {'id': 6600, 'name': 'Claudio Beauvue'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 9}, {'player': {'id': 3451, 'name': 'Alexandre Lacazette'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 10}]}",Lyon,137,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,d59a7c04-05fb-4fd9-875a-912911b0b959,2,,,,3900520,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Lyon,137,,0,,,,,,,,,,,,,,,,,"{'formation': 4411, 'lineup': [{'player': {'id': 40645, 'name': 'Laurent Pionnier'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 2975, 'name': 'Mathieu Deplagne'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 25}, {'player': {'id': 3674, 'name': 'Vitorino Hilton da Silva'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 3011, 'name': 'Daniel Congré'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 3191, 'name': 'Ramy Bensebaini'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 15}, {'player': {'id': 4669, 'name': 'William Jean Rémy'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 21}, {'player': {'id': 2950, 'name': 'Jonas Martin'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 3421, 'name': 'Bryan Dabo'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 14}, {'player': {'id': 3676, 'name': 'Jérôme Roussillon'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 24}, {'player': {'id': 6661, 'name': 'Ryad Boudebouz'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 3020, 'name': 'Rodrigue Casimir Ninga'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 29}]}",Montpellier,139,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,7362a9a3-cc55-4a86-b68d-bee38300ee50,3,,,,3900520,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Lyon,137,['329a44f6-3e75-41ee-b43a-bcaf016d4fc6'],0,,,,,,,,,,,,,,,,,,Montpellier,139,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,329a44f6-3e75-41ee-b43a-bcaf016d4fc6,4,,,,3900520,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Lyon,137,['7362a9a3-cc55-4a86-b68d-bee38300ee50'],0,,,,,,,,,,,,,,,,,,Lyon,137,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,8c2a01a5-c6f5-40e3-b8ab-eccedf569cec,1862,,,,3900520,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,111,Montpellier,139,['b0891247-e09e-4357-a76b-ea1e302f9241'],0,,,,,,,,,,,,,,,,,,Lyon,137,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,b0891247-e09e-4357-a76b-ea1e302f9241,1863,,,,3900520,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,111,Montpellier,139,['8c2a01a5-c6f5-40e3-b8ab-eccedf569cec'],0,,,,,,,,,,,,,,,,,,Montpellier,139,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.291484,,,,,,,,,,,,,,7531f8af-12fa-4ad2-98a4-db4349f20508,5,,,"[61.0, 40.1]",3900520,0,,,,1.5707964,,Right Foot,,,"[61.0, 42.7]",,Ground Pass,,2.6,,,,Ryad Boudebouz,6661.0,,,,,Kick Off,1,From Kick Off,Rodrigue Casimir Ninga,3020.0,Center Forward,2,Montpellier,139,['46325ce8-aff8-4678-a35d-51aa52d7cabe'],0,,,,,,,,,,,,,,,,,,Montpellier,139,00:00:00.890,Pass,
,,,,,,,,,,,,,,,,2.942923,,,,,,,,,,,,,,935c455c-9104-4433-9800-c63d3ec8107c,7,,,"[61.2, 40.0]",3900520,0,,,,1.5217401,,Left Foot,,,"[63.1, 78.7]",,High Pass,,38.746613,,,,Bryan Dabo,3421.0,,,,,,1,From Kick Off,Ryad Boudebouz,6661.0,Center Attacking Midfield,2,Montpellier,139,['5e54be69-f361-4ead-8965-d989e35e4bb9'],1,,,,,,,,,,,,,,,,,,Montpellier,139,00:00:01.181,Pass,
,,,,,,,,,,,,,,,,1.386851,,,,,,,,,,,,,,15648dfc-110b-479e-b29f-d3e00f6a4a38,10,,,"[63.1, 78.7]",3900520,0,,,,-3.0961695,,Right Foot,,,"[47.7, 78.0]",,Ground Pass,,15.415901,,,,Mathieu Deplagne,2975.0,,,,,,1,From Kick Off,Bryan Dabo,3421.0,Right Midfield,2,Montpellier,139,['86d35edd-05d8-455e-8f8b-9ef392038496'],5,,,,,,,,,,,,,,,,,,Montpellier,139,00:00:05.409,Pass,
,,,,,,,,,,,,,,,,2.924282,,,,,,,,,,,,,,cefde46b-ce1e-410a-9d3b-cfce998d1265,13,,,"[47.7, 78.0]",3900520,0,,,,-2.330318,,Right Foot,,,"[27.0, 56.2]",,Ground Pass,,30.062103,,,,Vitorino Hilton da Silva,3674.0,,,,,,1,From Kick Off,Mathieu Deplagne,2975.0,Right Back,2,Montpellier,139,['726cd62b-b2ad-4f64-a1bd-402ee1aacd42'],7,,,,,,,,,,,,,,,,,,Montpellier,139,00:00:07.562,Pass,
