50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,38a3c16d-2b0e-47c9-9f3d-a0270e28a8a1,1,,,3829483,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Nantes,144,,0,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 25377, 'name': 'Rémy Riou'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3144, 'name': 'Léo Dubois'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 15}, {'player': {'id': 3004, 'name': 'Oswaldo Augusto Vizcarrondo Araújo'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 10936, 'name': 'Lorik Agim Cana'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 4249, 'name': 'Wilfried Moimbé'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 13}, {'player': {'id': 3365, 'name': 'Valentin Rongier'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 28}, {'player': {'id': 7350, 'name': 'Birama Touré'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 12}, {'player': {'id': 3151, 'name': 'Jules Iloki'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 20}, {'player': {'id': 10746, 'name': 'Ermir Lenjani'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 3}, {'player': {'id': 12351, 'name': 'Alejandro Bedoya'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 7}, {'player': {'id': 3319, 'name': 'Yacine Bammou'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 10}]}",Nantes,144,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,57618f93-b926-425e-8f42-d9bc58cca3ef,2,,,3829483,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Nantes,144,,0,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 4440, 'name': 'Kevin Trapp'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 16}, {'player': {'id': 3481, 'name': 'Serge Aurier'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 19}, {'player': {'id': 3295, 'name': 'Thiago Emiliano da Silva'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 4372, 'name': 'Marcos Aoás Corrêa'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 4326, 'name': 'Layvin Kurzawa'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 20}, {'player': {'id': 8515, 'name': 'Benjamin Stambouli'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 3166, 'name': 'Marco Verratti'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 4370, 'name': 'Javier Matías Pastore'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 27}, {'player': {'id': 2995, 'name': 'Ángel Fabián Di María Hernández'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 11}, {'player': {'id': 3745, 'name': 'Lucas Rodrigues Moura da Silva'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 3672, 'name': 'Zlatan Ibrahimović'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Paris Saint-Germain,131,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,91736d42-8de5-4e25-b217-fa4e394aa072,3,,,3829483,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Nantes,144,['5edd7db9-dbd4-4d39-a2f6-ff0605a7183a'],0,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,5edd7db9-dbd4-4d39-a2f6-ff0605a7183a,4,,,3829483,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Nantes,144,['91736d42-8de5-4e25-b217-fa4e394aa072'],0,,,,,,,,,,,,,,,,Nantes,144,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,63de25d1-0c3e-4937-a43e-94dd8a2482b3,1798,,,3829483,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,97,Nantes,144,['27150526-2dbc-4798-b21d-4429570672aa'],0,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,27150526-2dbc-4798-b21d-4429570672aa,1799,,,3829483,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,97,Nantes,144,['63de25d1-0c3e-4937-a43e-94dd8a2482b3'],0,,,,,,,,,,,,,,,,Nantes,144,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,1.058981,,,,,,,,,,,,,5650cb9f-f2b3-4f21-8e46-d18f3cb9a04f,5,,"[60.0, 40.0]",3829483,0,,True,,,-2.9147937,,Right Foot,,,,"[58.7, 39.7]",,Ground Pass,,1.3341664,,,,,Zlatan Ibrahimović,3672.0,,,,,Kick Off,1,From Kick Off,Marco Verratti,3166.0,Right Center Midfield,2,Paris Saint-Germain,131,['eadf519c-6d59-4193-b649-3c6be7b914a1'],1,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:01.503,Pass,
,,,,,,,,,,,,,,,,,0.596367,,,,,,,,,,,,,44764171-931c-4f10-a23a-654d21cf1697,7,,"[58.5, 39.0]",3829483,0,,True,,,2.9752605,,Right Foot,,,,"[44.8, 41.3]",,Ground Pass,,13.891725,,,,,Benjamin Stambouli,8515.0,,,,,,1,From Kick Off,Zlatan Ibrahimović,3672.0,Center Forward,2,Paris Saint-Germain,131,['a4e9510b-fda9-4a9d-9b22-9231cd342fa9'],2,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:02.570,Pass,
,,,,,,,,,,,,,,,,,1.708394,,,,,,,,,,,,,fe212674-ffe4-4752-8d6b-740ea6eceee6,9,,"[45.7, 42.9]",3829483,0,,,,,1.807768,,Right Foot,,,,"[39.3, 69.4]",,Ground Pass,,27.261879,,,,,Serge Aurier,3481.0,,,,,,1,From Kick Off,Benjamin Stambouli,8515.0,Center Defensive Midfield,2,Paris Saint-Germain,131,['2b2efb8b-ad05-44f5-b4b9-822bf91650be'],4,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:04.413,Pass,
,,,,,,,,,,,,,,,,,1.199999,,,,,,,,,,,,,ff15f35a-4289-4125-941f-55d559d10077,12,,"[39.3, 68.1]",3829483,0,,,,,-2.1760385,,Right Foot,,,,"[27.4, 50.9]",,Ground Pass,,20.915306,,,,,Thiago Emiliano da Silva,3295.0,,,,,,1,From Kick Off,Serge Aurier,3481.0,Right Back,2,Paris Saint-Germain,131,['255c2482-26e1-4d0e-9343-960362afb287'],6,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:06.903,Pass,
