50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,59fc1bae-88ee-48c5-a5a4-daf4f76b0e5b,1,,,3900612,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Guingamp,142,,0,,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 3322, 'name': 'Jonas Lössl'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3364, 'name': 'Jonathan Martins-Pereira'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 22}, {'player': {'id': 2936, 'name': 'Christophe Kerbrat'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 29}, {'player': {'id': 3124, 'name': 'Jérémy Sorbon'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 30182, 'name': 'Dorian Lévêque'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 7}, {'player': {'id': 401512, 'name': 'Lionel Mathis'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 3348, 'name': 'Younousse Sankharé'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 13}, {'player': {'id': 3122, 'name': 'Yannis Salibur'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 19}, {'player': {'id': 4434, 'name': 'Thibault Giresse'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 26}, {'player': {'id': 3213, 'name': 'Jimmy Briand'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 23}, {'player': {'id': 20027, 'name': 'Mevlüt Erdinç'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 28}]}",Guingamp,142,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,89c9874b-441a-41ef-adf7-7fa933445032,2,,,3900612,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Guingamp,142,,0,,,,,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 36553, 'name': 'Matthieu Dreyer'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 26752, 'name': 'Mouhamadou Dabo'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 35}, {'player': {'id': 401479, 'name': 'Calvin Anele Ngcongca'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 31}, {'player': {'id': 42422, 'name': 'Dušan Veškovac'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 32}, {'player': {'id': 4390, 'name': 'Charles Traoré'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 28}, {'player': {'id': 7283, 'name': 'Thiago Xavier Rodrigues Corrêa'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 7301, 'name': 'Lossémy Karaboué'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 24}, {'player': {'id': 2969, 'name': 'Karim Azamoum'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 19}, {'player': {'id': 4413, 'name': 'Aloïs Confais'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 33}, {'player': {'id': 3010, 'name': 'Corentin Jean'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 27}, {'player': {'id': 15796, 'name': 'Babacar Gueye'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Troyes,133,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,1182a996-c391-4603-b551-88ef1f7bf02e,3,,,3900612,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Guingamp,142,['60caeeb0-face-48ca-baec-9acaddea5908'],0,,,,,,,,,,,,,,,,,,,Guingamp,142,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,60caeeb0-face-48ca-baec-9acaddea5908,4,,,3900612,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Guingamp,142,['1182a996-c391-4603-b551-88ef1f7bf02e'],0,,,,,,,,,,,,,,,,,,,Troyes,133,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,566c53fa-1587-46a8-bc10-4147965da2c5,1616,,,3900612,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,95,Guingamp,142,['95d8276a-26d6-418f-b7dc-10a9b65c971a'],0,,,,,,,,,,,,,,,,,,,Troyes,133,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,95d8276a-26d6-418f-b7dc-10a9b65c971a,1617,,,3900612,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,95,Guingamp,142,['566c53fa-1587-46a8-bc10-4147965da2c5'],0,,,,,,,,,,,,,,,,,,,Guingamp,142,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.652255,,,,,,,,,,,,,,ee20ea73-2962-46b7-8fda-5b130a45db0b,5,,"[61.0, 40.1]",3900612,0,,True,,,1.82812,,Right Foot,,,"[60.0, 43.9]",,Ground Pass,,3.9293766,,,,Karim Azamoum,2969.0,,,,,Kick Off,1,From Kick Off,Babacar Gueye,15796.0,Center Forward,2,Troyes,133,['785ff04d-3eeb-47fd-be86-a15d5d70ec3e'],0,,,,,,,,,,,,,,,,,,,Troyes,133,00:00:00.408,Pass,
,,,,,,,,,,,,,,,1.066548,,,,,,,,,,,,,,b281c3d6-33b4-463b-8d65-123b0ce53086,7,,"[58.1, 43.7]",3900612,0,,,,,-2.773721,,Right Foot,,,"[48.5, 40.0]",,Ground Pass,,10.288342,,,,Thiago Xavier Rodrigues Corrêa,7283.0,,,,,,1,From Kick Off,Karim Azamoum,2969.0,Right Center Midfield,2,Troyes,133,['6ad23e41-9fbb-4a46-a88c-f4b59e00aaa6'],1,,,,,,,,,,,,,,,,,,,Troyes,133,00:00:01.326,Pass,
,,,,,,,,,,,,,,,5.046303,,,,,,,,,,,,,,f65a2308-e580-44f7-8b13-3058dca8041e,10,,"[48.5, 40.0]",3900612,0,,,,,-0.6830177,,Right Foot,,,"[96.8, 0.7]",,High Pass,,62.268612,,Out,,Corentin Jean,3010.0,,,,,,1,From Kick Off,Thiago Xavier Rodrigues Corrêa,7283.0,Center Defensive Midfield,2,Troyes,133,['3f8a49c5-1c93-41dd-92b2-10ccdda0aed5'],2,,,,,,,,,,,,,,,,,,,Troyes,133,00:00:02.526,Pass,
,,,,,,,,,,,,,,,1.071799,,,,,,,,,,,,,,1b36cccf-314b-48a1-b2b0-81b0f528acaf,12,,"[20.9, 80.0]",3900612,0,,,,,-2.3175397,,,,,"[12.2, 70.6]",,Low Pass,,12.808201,,,,Christophe Kerbrat,2936.0,,,,,Throw-in,1,From Throw In,Jonathan Martins-Pereira,3364.0,Right Back,3,Guingamp,142,['4b8fe178-dc1b-419d-a4ef-f37f5a3d6d34'],15,,,,,,,,,,,,,,,,,,,Guingamp,142,00:00:15.587,Pass,
