50_50,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_follows_dribble,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,22acd43c-45c3-4562-bf29-ce94939b5650,1,,,3901246,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Nantes,144,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 25377, 'name': 'Rémy Riou'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3404, 'name': 'Youssouf Sabaly'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 14}, {'player': {'id': 4411, 'name': 'Anthony Walongwa'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 17}, {'player': {'id': 3174, 'name': 'Lévy Koffi Djidji'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 26}, {'player': {'id': 3144, 'name': 'Léo Dubois'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 15}, {'player': {'id': 401478, 'name': 'Rémi Gomis'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 4380, 'name': 'Guillaume Gillet'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 27}, {'player': {'id': 3375, 'name': 'Adrien Thomasson'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 8}, {'player': {'id': 12351, 'name': 'Alejandro Bedoya'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 7}, {'player': {'id': 31687, 'name': 'Adryan Oliveira Tavares'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 23}, {'player': {'id': 3114, 'name': 'Emiliano Sala'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 22}]}",Nantes,144,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,d8a47e42-e222-48dc-a7a7-559d21185b66,2,,,3901246,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Nantes,144,,0,,,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 2963, 'name': 'Rémy Vercoutre'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 22111, 'name': 'Dennis Appiah'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 12}, {'player': {'id': 4386, 'name': 'Damien Da Silva'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 28}, {'player': {'id': 5656, 'name': 'Syam Ben Youssef'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 13}, {'player': {'id': 2992, 'name': 'Vincent Bessat'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 11}, {'player': {'id': 40698, 'name': 'Nicolas Seube'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 2}, {'player': {'id': 7726, 'name': 'Jeff Louis'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 14}, {'player': {'id': 2979, 'name': 'Jonathan Delaplace'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 2959, 'name': 'Julien Féret'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 25}, {'player': {'id': 2955, 'name': 'Ronny Rodelin'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 23}, {'player': {'id': 3038, 'name': 'Andy Delort'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Caen,140,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,5cf9680b-8bc2-49e9-a0e1-d440fbcab6fd,3,,,3901246,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Nantes,144,['3a7b5819-b88c-4028-ba9c-d492bcfb2754'],0,,,,,,,,,,,,,,,,,Caen,140,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,3a7b5819-b88c-4028-ba9c-d492bcfb2754,4,,,3901246,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Nantes,144,['5cf9680b-8bc2-49e9-a0e1-d440fbcab6fd'],0,,,,,,,,,,,,,,,,,Nantes,144,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,ac4ce64d-9bce-4f65-9902-20f37d10276b,1938,,,3901246,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Kick Off,,,,93,Nantes,144,['7ffde451-1ad4-4744-ad3e-023e99778cf8'],0,,,,,,,,,,,,,,,,,Nantes,144,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,7ffde451-1ad4-4744-ad3e-023e99778cf8,1939,,,3901246,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Kick Off,,,,93,Nantes,144,['ac4ce64d-9bce-4f65-9902-20f37d10276b'],0,,,,,,,,,,,,,,,,,Caen,140,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.329525,,,,,,,,,,,,,d94d469a-83b2-40b0-8ef9-91ebbaf924ae,5,,"[60.0, 40.0]",3901246,0,,True,,,-1.5308176,,Left Foot,,,"[60.1, 37.5]",,Ground Pass,,2.5019991,,,Emiliano Sala,3114.0,,,,,,Kick Off,1,From Kick Off,Alejandro Bedoya,12351.0,Center Attacking Midfield,2,Nantes,144,['7168231b-2a43-43b8-9364-21504eea48e0'],0,,,,,,,,,,,,,,,,,Nantes,144,00:00:00.555,Pass,
,,,,,,,,,,,,,,,1.486095,,,,,,,,,,,,,c1995704-59c9-4de5-8254-b14212c39125,7,,"[59.0, 38.1]",3901246,0,,True,,,-2.7275937,,Right Foot,,,"[39.2, 29.4]",,Ground Pass,,21.627066,,,Guillaume Gillet,4380.0,,,,,,,1,From Kick Off,Emiliano Sala,3114.0,Center Forward,2,Nantes,144,['ca958185-0362-4aaf-b1a5-a8af08660934'],0,,,,,,,,,,,,,,,,,Nantes,144,00:00:00.884,Pass,
,,,,,,,,,,,,,,,2.255743,,,,,,,,,,,,,bb06cf3f-13f3-403c-9ac4-9bb3b34cfba5,10,,"[39.2, 31.3]",3901246,0,,,,,1.9331435,,Right Foot,,,"[27.6, 61.9]",,Ground Pass,,32.724915,,,Anthony Walongwa,4411.0,,,,,,,1,From Kick Off,Guillaume Gillet,4380.0,Left Defensive Midfield,2,Nantes,144,"['33999935-2db3-446e-b2a5-0a458b4ba366', 'd60036d8-46a9-47ff-8a11-82dd81eddb84']",3,,,,,,,,,,,,,,,,,Nantes,144,00:00:03.720,Pass,True
,,,,,,,,,,,,,,,1.522156,,,,,,,,,,,,,f8d7eace-6f1d-41cc-a352-0a268709acb9,13,,"[28.9, 58.1]",3901246,0,,,,,-1.6285832,,Right Foot,,,"[27.5, 33.9]",,Ground Pass,,24.240461,,,Lévy Koffi Djidji,3174.0,,,,,,,1,From Kick Off,Anthony Walongwa,4411.0,Right Center Back,2,Nantes,144,['481c01d2-2ac9-4126-95dd-ace8192b0bbb'],7,,,,,,,,,,,,,,,,,Nantes,144,00:00:07.688,Pass,
