50_50,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_success_in_play,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,81682cf0-f0ab-4686-891e-b3ad6f2005fc,1,,,3829492,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Lille,143,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 3761, 'name': 'Mike Maignan'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 40}, {'player': {'id': 6716, 'name': 'Sébastien Corchia'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 29057, 'name': 'Renato Civelli'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 40523, 'name': 'Marko Baša'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 25}, {'player': {'id': 3446, 'name': 'Djibril Sidibé'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 19}, {'player': {'id': 40522, 'name': 'Rio Antonio Zoba Mavuba'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 24}, {'player': {'id': 40697, 'name': 'Mounir Obbadi'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 10330, 'name': 'Gadji Celi Carmen Junior Tallo'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 22}, {'player': {'id': 3625, 'name': 'Sofiane Boufal'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 7}, {'player': {'id': 40486, 'name': 'Éric Bauthéac'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 3673, 'name': 'Yassine Benzia'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Lille,143,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,d8fa7969-5f1c-44c6-a055-81e0935356cf,2,,,3829492,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Lille,143,,0,,,,,,,,,,,,,,,,"{'formation': 4411, 'lineup': [{'player': {'id': 25377, 'name': 'Rémy Riou'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3144, 'name': 'Léo Dubois'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 15}, {'player': {'id': 3004, 'name': 'Oswaldo Augusto Vizcarrondo Araújo'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 10936, 'name': 'Lorik Agim Cana'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 4249, 'name': 'Wilfried Moimbé'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 13}, {'player': {'id': 2943, 'name': 'Lucas Deaux'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 7350, 'name': 'Birama Touré'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 12}, {'player': {'id': 3375, 'name': 'Adrien Thomasson'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 8}, {'player': {'id': 3151, 'name': 'Jules Iloki'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 20}, {'player': {'id': 12351, 'name': 'Alejandro Bedoya'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 7}, {'player': {'id': 6284, 'name': 'Kolbeinn Sigþórsson'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Nantes,144,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,c98ffd08-e824-4dde-a512-fc1efc643ba9,3,,,3829492,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Lille,143,['b23b70d8-b24f-4ee6-9fe3-4a56c3a1d592'],0,,,,,,,,,,,,,,,,,Lille,143,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,b23b70d8-b24f-4ee6-9fe3-4a56c3a1d592,4,,,3829492,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Lille,143,['c98ffd08-e824-4dde-a512-fc1efc643ba9'],0,,,,,,,,,,,,,,,,,Nantes,144,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,5ef4ff18-82a4-4449-95a6-80ecef4ba143,1690,,,3829492,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,106,Nantes,144,['561acb51-222a-4eb9-90b5-e97ad5029673'],0,,,,,,,,,,,,,,,,,Lille,143,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,561acb51-222a-4eb9-90b5-e97ad5029673,1691,,,3829492,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,106,Nantes,144,['5ef4ff18-82a4-4449-95a6-80ecef4ba143'],0,,,,,,,,,,,,,,,,,Nantes,144,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.577676,,,,,,,,,,,,,,d3dc3afe-2b69-4f8a-938f-705cccee6139,5,,"[61.0, 40.1]",3829492,0,,,,,1.929567,,Right Foot,,,,"[60.1, 42.5]",Ground Pass,,2.5632012,,,,,Sofiane Boufal,3625.0,,,,,Kick Off,1,From Kick Off,Yassine Benzia,3673.0,Center Forward,2,Lille,143,['def0ccbf-9b8b-46dc-9095-a05993f0ed2e'],0,,,,,,,,,,,,,,,,,Lille,143,00:00:00.366,Pass,
,,,,,,,,,,,,,,,,0.611489,,,,,,,,,,,,,,33366ce9-9318-4a94-8ad0-7a3776185e00,8,,"[60.0, 42.3]",3829492,0,,,,,-2.6539974,,Right Foot,,,,"[53.4, 38.8]",Ground Pass,,7.470609,,,,,Mounir Obbadi,40697.0,,,,,,1,From Kick Off,Sofiane Boufal,3625.0,Center Attacking Midfield,2,Lille,143,['919c59f5-5e53-4faa-a842-9ad3aa73d24c'],1,,,,,,,,,,,,,,,,,Lille,143,00:00:01.137,Pass,
,,,,,,,,,,,,,,,,1.673318,,,,,,,,,,,,,,362a588c-d2d8-4bf7-b82b-86e5a1290ed7,11,,"[53.4, 38.8]",3829492,0,,,,,2.559992,,Right Foot,,,,"[35.3, 50.7]",Ground Pass,,21.661486,,,,,Renato Civelli,29057.0,,,,,,1,From Kick Off,Mounir Obbadi,40697.0,Left Defensive Midfield,2,Lille,143,['9778066d-fa3d-42bb-8114-4ac996faefde'],2,,,,,,,,,,,,,,,,,Lille,143,00:00:02.578,Pass,
,,,,,,,,,,,,,,,,1.557246,,,,,,,,,,,,,,7bff6dfc-c53b-4ee8-9bf0-44148340e7d8,14,,"[35.4, 52.4]",3829492,0,,,,,-1.3812746,,Right Foot,,,,"[41.5, 20.6]",Ground Pass,,32.379776,,,,,Rio Antonio Zoba Mavuba,40522.0,,,,,,1,From Kick Off,Renato Civelli,29057.0,Right Center Back,2,Lille,143,['ecd6c7c7-0666-44fd-8cdf-cd56d9e6476f'],5,,,,,,,,,,,,,,,,,Lille,143,00:00:05.027,Pass,
