50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,65cf3618-53d5-414e-841b-7229ac498a2a,1,,,3829499,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Caen,140,,0,,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 2963, 'name': 'Rémy Vercoutre'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 22111, 'name': 'Dennis Appiah'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 12}, {'player': {'id': 7444, 'name': 'Alaeddine Yahia'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 4386, 'name': 'Damien Da Silva'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 28}, {'player': {'id': 4474, 'name': 'Emmanuel Imorou'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 15}, {'player': {'id': 40698, 'name': 'Nicolas Seube'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 2}, {'player': {'id': 40701, 'name': 'Jordan Leborgne'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 19}, {'player': {'id': 2959, 'name': 'Julien Féret'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 25}, {'player': {'id': 2955, 'name': 'Ronny Rodelin'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 23}, {'player': {'id': 2992, 'name': 'Vincent Bessat'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 3038, 'name': 'Andy Delort'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Caen,140,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,f125d3e7-9c61-4773-a8fc-ccd4b5e2ae15,2,,,3829499,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Caen,140,,0,,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 4259, 'name': 'Stéphane Ruffier'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 16}, {'player': {'id': 7707, 'name': 'François Clerc'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 29}, {'player': {'id': 401468, 'name': 'Moustapha Bayal Sall'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 26}, {'player': {'id': 4263, 'name': 'Loïc Perrin'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 24}, {'player': {'id': 7560, 'name': 'Jonathan Brison'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 20}, {'player': {'id': 3797, 'name': 'Ismaël Tiémoko Diomandé'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 28}, {'player': {'id': 7200, 'name': 'Fabien Lemoine'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 4431, 'name': 'Kévin Monnet-Paquet'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 22}, {'player': {'id': 4254, 'name': 'Valentin Eysseric'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 11}, {'player': {'id': 8469, 'name': 'Jean-Christophe Bahebeck'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 4601, 'name': 'Robert Berič'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 27}]}",Saint-Étienne,135,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,7c991d56-9c5a-44ee-8a81-df6148613706,3,,,3829499,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Caen,140,['4eaaaf86-03df-4e2d-9ea3-f9803860e30b'],0,,,,,,,,,,,,,,,,,,,Saint-Étienne,135,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,4eaaaf86-03df-4e2d-9ea3-f9803860e30b,4,,,3829499,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Caen,140,['7c991d56-9c5a-44ee-8a81-df6148613706'],0,,,,,,,,,,,,,,,,,,,Caen,140,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,8cc32a5a-77cb-4c6d-aeab-e816c93525a6,1524,,,3829499,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,107,Caen,140,['dee2e264-0c21-4d44-ab70-0238becdee8b'],0,,,,,,,,,,,,,,,,,,,Saint-Étienne,135,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,dee2e264-0c21-4d44-ab70-0238becdee8b,1525,,,3829499,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,107,Caen,140,['8cc32a5a-77cb-4c6d-aeab-e816c93525a6'],0,,,,,,,,,,,,,,,,,,,Caen,140,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.323478,,,,,,,,,,,,,,f90cdcbc-85c4-4428-a880-66181f8e2fc9,5,,"[60.0, 40.0]",3829499,0,,True,,,1.3258177,,Right Foot,,,,"[60.5, 42.0]",,Ground Pass,,2.0615528,,,,,Robert Berič,4601.0,,,,,,Kick Off,1,From Kick Off,Valentin Eysseric,4254.0,Center Attacking Midfield,2,Saint-Étienne,135,['e822a37c-e17d-418c-bdfc-18f1aaf55b0d'],0,,,,,,,,,,,,,,,,,,,Saint-Étienne,135,00:00:00.373,Pass,
,,,,,,,,,,,,,,,,1.212564,,,,,,,,,,,,,,a0712a98-fe53-4a95-a2b2-78b9eff4a885,7,,"[59.9, 41.9]",3829499,0,,True,,,-2.4932606,,Right Foot,,,,"[46.7, 31.9]",,Ground Pass,,16.560194,,,,,Fabien Lemoine,7200.0,,,,,,,1,From Kick Off,Robert Berič,4601.0,Center Forward,2,Saint-Étienne,135,['6ed6d24d-3833-435d-a936-cdfcb0bb6a6e'],0,,,,,,,,,,,,,,,,,,,Saint-Étienne,135,00:00:00.926,Pass,
,,,,,,,,,,,,,,,,2.872529,,,,,,,,,,,,,,bd347bd4-6005-445b-a09e-8ac888aa313d,9,,"[48.4, 31.1]",3829499,0,,,,,-0.4706405,,Right Foot,,,,"[99.7, 5.0]",,High Pass,,57.557796,,,Incomplete,,Jean-Christophe Bahebeck,8469.0,,,,,,,1,From Kick Off,Fabien Lemoine,7200.0,Left Defensive Midfield,2,Saint-Étienne,135,"['9650fa97-585d-41a0-94dc-39fd55bcdeae', '99a5d06f-333d-4849-895a-732d8848e179']",3,,,,,,,,,,,,,,,,,,,Saint-Étienne,135,00:00:03.485,Pass,
,,,,,,,,,,,,,,,,0.96888,,,,,,,,,,,,,,334777db-6b42-4ab2-8e8d-603f689df4cc,13,,"[94.8, 0.1]",3829499,0,,,,,1.5545377,,,,,,"[95.0, 12.4]",,Low Pass,,12.301626,,,,,Valentin Eysseric,4254.0,,,,,,Throw-in,1,From Throw In,Jonathan Brison,7560.0,Left Back,3,Saint-Étienne,135,['a442afad-2c9e-4320-83fd-738fd7940ac4'],18,,,,,,,,,,,,,,,,,,,Saint-Étienne,135,00:00:18.105,Pass,
