50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,663edd90-a53c-4eda-aaab-e3e4381e9570,1,,,3829415,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bastia,2736,,0,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 7282, 'name': 'Jean-Louis Leca'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 16}, {'player': {'id': 2989, 'name': 'Alexander Djiku'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 23}, {'player': {'id': 26481, 'name': 'Sébastien Squillaci'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 401194, 'name': 'François Modesto'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 20}, {'player': {'id': 4508, 'name': 'Julian Palmieri'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 15}, {'player': {'id': 4350, 'name': 'Yannick Cahuzac'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 7791, 'name': 'Seko Fofana'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 3405, 'name': 'François Kamano'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 25}, {'player': {'id': 31711, 'name': 'Abdoulaye Sadio Diallo'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 2}, {'player': {'id': 15689, 'name': 'Floyd Ayité'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 401541, 'name': 'Evaeverson Lemos da Silva Brandão'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 11}]}",Bastia,2736,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,33196b65-9df6-4ac7-96db-89e0035406c1,2,,,3829415,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bastia,2736,,0,,,,,,,,,,,,,,,"{'formation': 343, 'lineup': [{'player': {'id': 3354, 'name': 'Benoît Guy Robert Costil'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3753, 'name': 'Pedro Filipe Teodósio Mendes'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 3250, 'name': 'Edson André Sitoe'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 4}, {'player': {'id': 40699, 'name': 'Sylvain Armand'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 22}, {'player': {'id': 7197, 'name': 'Steven Moreira'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 12}, {'player': {'id': 2985, 'name': 'Ludovic Baal'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 24}, {'player': {'id': 8672, 'name': 'Gélson da Conceição Tavares Fernandes'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 29714, 'name': 'Yacouba Sylla'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 20}, {'player': {'id': 3292, 'name': 'Abdoulaye Doucouré'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 8}, {'player': {'id': 16503, 'name': 'Pedro Henrique Konzen Medina da Silva'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 18}, {'player': {'id': 3018, 'name': 'Giovanni-Guy Yann Sio'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 13}]}",Rennes,134,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,67d7c83c-8fc3-4b1b-bf1e-7da3afd2e997,3,,,3829415,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bastia,2736,['f977144e-4cf7-4ae4-afe4-8ae2fefc596e'],0,,,,,,,,,,,,,,,,Bastia,2736,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,f977144e-4cf7-4ae4-afe4-8ae2fefc596e,4,,,3829415,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bastia,2736,['67d7c83c-8fc3-4b1b-bf1e-7da3afd2e997'],0,,,,,,,,,,,,,,,,Rennes,134,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,5176961f-2d3c-4a97-b3bf-c204e6d0d992,1721,,,3829415,45,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,100,Bastia,2736,['e6b80d29-b987-4ef6-a5e0-8705a42e75de'],0,,,,,,,,,,,,,,,,Bastia,2736,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,e6b80d29-b987-4ef6-a5e0-8705a42e75de,1722,,,3829415,45,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,100,Bastia,2736,['5176961f-2d3c-4a97-b3bf-c204e6d0d992'],0,,,,,,,,,,,,,,,,Rennes,134,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.310452,,,,,,,,,,,,,ee2302c8-ea4e-4add-9087-8bb159acfc27,5,,"[60.0, 40.0]",3829415,0,True,,,-1.7126933,,Right Foot,,"[59.9, 39.3]",,Ground Pass,,0.70710677,,,,Evaeverson Lemos da Silva Brandão,401541.0,,,,,Kick Off,1,From Kick Off,Abdoulaye Sadio Diallo,31711.0,Center Attacking Midfield,2,Bastia,2736,['eddc3699-db45-4e08-9106-4eaf8fd9aae6'],0,,,,,,,,,,,,,,,,Bastia,2736,00:00:00.193,Pass,
,,,,,,,,,,,,,,,,,,0.686082,,,,,,,,,,,,,db201bfa-0fc1-4efb-9ebe-e3a240de04b3,7,,"[61.1, 37.5]",3829415,0,,,,0.9357696,,Right Foot,,"[62.5, 39.4]",,Ground Pass,,2.3600848,,,,Abdoulaye Sadio Diallo,31711.0,,,,,,1,From Kick Off,Evaeverson Lemos da Silva Brandão,401541.0,Center Forward,2,Bastia,2736,['0937072c-898b-4107-9716-843ab26eb2fb'],2,,,,,,,,,,,,,,,,Bastia,2736,00:00:02.221,Pass,
,,,,,,,,,,,,,,,,,,1.084765,,,,,,,,,,,,,7b016d72-d5fd-4fa7-9cde-cd47198fa713,10,,"[62.5, 37.5]",3829415,0,,,,-1.6169175,,Right Foot,,"[61.6, 18.0]",,Ground Pass,,19.520758,,,,Floyd Ayité,15689.0,,,,,,1,From Kick Off,Abdoulaye Sadio Diallo,31711.0,Center Attacking Midfield,2,Bastia,2736,['2245d65f-1dc9-43b9-af54-8bb3b8f428c1'],3,,,,,,,,,,,,,,,,Bastia,2736,00:00:03.733,Pass,
,,,,,,,,,,,,,,,,,,1.711172,,,,,,,,,,,,,3f7de514-4bd0-4f80-9295-b5ff10766d65,13,,"[57.7, 17.7]",3829415,0,,,,2.7849724,,Right Foot,,"[37.3, 25.3]",,Ground Pass,,21.769703,,,,François Modesto,401194.0,,,,,,1,From Kick Off,Floyd Ayité,15689.0,Left Wing,2,Bastia,2736,['7f783cb0-44d4-45f4-b03f-bc7d57bcb295'],6,,,,,,,,,,,,,,,,Bastia,2736,00:00:06.416,Pass,
