50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.4875,,,,,,,,,,,,,108f3c20-8d52-4888-bf1e-a59cc43e9f7b,15,,"[49.0, 21.1]",3900592,0,,,,0.7758746,,Left Foot,,,"[54.3, 26.3]",,Low Pass,,7.4249578,,,,,Jonas Martin,2950.0,,,,,,1,From Kick Off,Ramy Bensebaini,3191.0,Left Back,2,Montpellier,139,['deca5d41-aeca-4cbe-b392-e40eb17daa0c'],7,,,,,,,,,,,,,,,,,Montpellier,139,00:00:07.306,Pass,
,,,,,,,,,,,,,,,,,,0.726482,,,,,,,,,,,,,8e009c4e-fe53-46ac-b667-a686af635125,18,,"[54.4, 26.3]",3900592,0,,,,-2.1025205,,Right Foot,,,"[49.4, 17.8]",,Low Pass,,9.861542,,,,,Ramy Bensebaini,3191.0,,,,,,1,From Kick Off,Jonas Martin,2950.0,Left Defensive Midfield,2,Montpellier,139,['8c47a4a3-7f6d-49b5-9e6c-bb562c0e7185'],8,,,,,,,,,,,,,,,,,Montpellier,139,00:00:08.027,Pass,
,,,,,,,,,,,,,,,,,,2.117915,,,,,,,,,,,,,e4aa675e-ad96-4123-9a56-d111aabe9f7f,22,,"[45.5, 15.5]",3900592,0,,,,1.8905588,,Left Foot,,,"[35.5, 45.7]",,Ground Pass,,31.812576,,,,,Vitorino Hilton da Silva,3674.0,,,,,,1,From Kick Off,Ramy Bensebaini,3191.0,Left Back,2,Montpellier,139,['48bdd5fa-9363-4ba1-b87d-7342be24799e'],10,,,,,,,,,,,,,,,,,Montpellier,139,00:00:10.762,Pass,
,,,,,,,,,,,,,,,,,,1.579005,,,,,,,,,,,,,377b84fb-555e-4488-afe5-cc696b296d64,25,,"[36.1, 51.2]",3900592,0,,,,1.0651566,,Right Foot,,,"[49.0, 74.5]",,Ground Pass,,26.632687,,,,,Bryan Dabo,3421.0,,,,,,1,From Kick Off,Vitorino Hilton da Silva,3674.0,Right Center Back,2,Montpellier,139,['a10a4656-72ce-48cb-98ef-477dc856b07e'],14,,,,,,,,,,,,,,,,,Montpellier,139,00:00:14.185,Pass,
,,,,,,,,,,,,,,,,,,3.788174,,,,,,,,,,,,,fc15b482-6098-4bce-a44d-321159a57007,28,,"[49.2, 74.7]",3900592,0,,,,-2.3064017,,Right Foot,,,"[34.9, 58.9]",,Ground Pass,,21.310326,,,,,Vitorino Hilton da Silva,3674.0,,,,,,1,From Kick Off,Bryan Dabo,3421.0,Right Back,2,Montpellier,139,['40f20350-929c-44f6-876c-acbdcc3d997c'],16,,,,,,,,,,,,,,,,,Montpellier,139,00:00:16.517,Pass,
,,,,,,,,,,,,,,,,,,1.13037,,,,,,,,,,,,,f4009a73-0e42-485d-9d46-513933324c24,30,,"[34.7, 52.2]",3900592,0,,,,-0.7593171,,Right Foot,,,"[46.5, 41.0]",,Ground Pass,,16.26899,,,,,Jonas Martin,2950.0,,,,,,1,From Kick Off,Vitorino Hilton da Silva,3674.0,Right Center Back,2,Montpellier,139,['cfae06c2-340d-47a8-98dd-a1849e7e0857'],20,,,,,,,,,,,,,,,,,Montpellier,139,00:00:20.305,Pass,
,,,,,,,,,,,,,,,,,,1.161435,,,,,,,,,,,,,6cd2e674-7c9a-40b5-a63d-965e69795f8b,33,,"[42.4, 38.0]",3900592,0,,,,-2.1781826,,Right Foot,,,"[32.6, 23.9]",,Ground Pass,,17.171196,,,,,Daniel Congré,3011.0,,,,,,1,From Kick Off,Jonas Martin,2950.0,Left Defensive Midfield,2,Montpellier,139,['4b2cc300-adc9-4f2e-ac1b-3287db387df3'],22,,,,,,,,,,,,,,,,,Montpellier,139,00:00:22.628,Pass,
,,,,,,,,,,,,,,,,,,1.412134,,,,,,,,,,,,,19b7f5e5-5101-494a-9bbb-bed037301dfa,36,,"[33.4, 20.6]",3900592,0,,,,-0.97413594,,Left Foot,,,"[44.2, 4.7]",,Ground Pass,,19.221083,,,,,Ramy Bensebaini,3191.0,,,,,,1,From Kick Off,Daniel Congré,3011.0,Left Center Back,2,Montpellier,139,['5414f861-dfc8-4407-9460-c3ae04492f7d'],24,,,,,,,,,,,,,,,,,Montpellier,139,00:00:24.980,Pass,
,,,,,,,,,,,,,,,,,,1.477489,,,,,,,,,,,,,7dd0a048-9f60-4533-b006-25e98ad108c1,39,,"[43.3, 6.8]",3900592,0,,,,1.3556893,,Left Foot,,,"[45.9, 18.7]",,Ground Pass,,12.180722,,,,,Jonas Martin,2950.0,,,,,,1,From Kick Off,Ramy Bensebaini,3191.0,Left Back,2,Montpellier,139,['b785e59f-69bc-4dd9-8540-2038d5505f37'],26,,,,,,,,,,,,,,,,,Montpellier,139,00:00:26.869,Pass,
,,,,,,,,,,,,,,,,,,2.050923,,,,,,,,,,,,,bae5617d-0774-46d7-8e57-6b86e699906a,43,,"[50.8, 26.8]",3900592,0,,,,1.6986098,,Right Foot,,,"[47.6, 51.7]",,Ground Pass,,25.10478,,,,,Vitorino Hilton da Silva,3674.0,,,,,,1,From Kick Off,Jonas Martin,2950.0,Left Defensive Midfield,2,Montpellier,139,"['dfac6bbc-6322-427d-b084-82694395723b', 'e070966e-ec50-4454-b5d7-05c1e0d195d9']",32,,,,,,,,,,,,,,,,,Montpellier,139,00:00:32.018,Pass,True
