50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,36fc272b-fa10-4324-8a44-46a45417aa6e,1,,,,3900529,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Saint-Étienne,135,,0,,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 4259, 'name': 'Stéphane Ruffier'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 16}, {'player': {'id': 4258, 'name': 'Ronaël Pierre-Gabriel'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 33}, {'player': {'id': 401468, 'name': 'Moustapha Bayal Sall'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 26}, {'player': {'id': 4263, 'name': 'Loïc Perrin'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 24}, {'player': {'id': 3047, 'name': 'Benoît Assou-Ekotto'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 32}, {'player': {'id': 7200, 'name': 'Fabien Lemoine'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 7442, 'name': 'Jérémy Clément'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 4260, 'name': 'Romain Hamouma'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 21}, {'player': {'id': 4254, 'name': 'Valentin Eysseric'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 11}, {'player': {'id': 4431, 'name': 'Kévin Monnet-Paquet'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 22}, {'player': {'id': 4766, 'name': 'Neal Maupay'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 14}]}",Saint-Étienne,135,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,ed72e9b3-2ecd-4a83-a68f-59b5e2c94dd8,2,,,,3900529,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Saint-Étienne,135,,0,,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 3322, 'name': 'Jonas Lössl'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 20199, 'name': 'Lars Christian Jacobsen'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 2936, 'name': 'Christophe Kerbrat'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 29}, {'player': {'id': 3124, 'name': 'Jérémy Sorbon'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 30182, 'name': 'Dorian Lévêque'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 7}, {'player': {'id': 3121, 'name': 'Moustapha Elhadji Diallo'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 3348, 'name': 'Younousse Sankharé'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 13}, {'player': {'id': 3363, 'name': 'Marcus Coco'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 24}, {'player': {'id': 3122, 'name': 'Yannis Salibur'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 19}, {'player': {'id': 7483, 'name': 'Mana Dembélé'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 9}, {'player': {'id': 3213, 'name': 'Jimmy Briand'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 23}]}",Guingamp,142,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0cf5e17f-31c2-4066-a529-c32ef36c6b08,3,,,,3900529,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Saint-Étienne,135,['6ed89481-cf79-4239-ab84-7d459c2028f2'],0,,,,,,,,,,,,,,,,,,,Saint-Étienne,135,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,6ed89481-cf79-4239-ab84-7d459c2028f2,4,,,,3900529,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Saint-Étienne,135,['0cf5e17f-31c2-4066-a529-c32ef36c6b08'],0,,,,,,,,,,,,,,,,,,,Guingamp,142,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,5c82a5e2-2131-4318-8802-b562b2acaf9a,1304,,,,3900529,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Keeper,,,,109,Guingamp,142,['75ad3558-c1f0-4317-a45e-2813203383c1'],0,,,,,,,,,,,,,,,,,,,Saint-Étienne,135,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,75ad3558-c1f0-4317-a45e-2813203383c1,1305,,,,3900529,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Keeper,,,,109,Guingamp,142,['5c82a5e2-2131-4318-8802-b562b2acaf9a'],0,,,,,,,,,,,,,,,,,,,Guingamp,142,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.15338,,,,,,,,,,,,,,135df191-64ac-41d6-8462-afc873c2e1ef,5,,,"[61.0, 40.1]",3900529,0,,,,-2.2612429,,Right Foot,,,,"[59.1, 37.8]",,Ground Pass,,2.9832869,,,,Jimmy Briand,3213.0,,,,,Kick Off,1,From Kick Off,Mana Dembélé,7483.0,Right Center Forward,2,Guingamp,142,['759839ad-86e1-41ab-a208-db7b98f8aee4'],0,,,,,,,,,,,,,,,,,,,Guingamp,142,00:00:00.478,Pass,
,,,,,,,,,,,,,,,,,0.738613,,,,,,,,,,,,,,1fe77bea-aa35-4f10-822d-078abbcfdc82,7,,,"[59.1, 37.8]",3900529,0,,,,2.0591302,,Left Foot,,,,"[55.7, 44.2]",,Ground Pass,,7.2470684,,,,Moustapha Elhadji Diallo,3121.0,,,,,,1,From Kick Off,Jimmy Briand,3213.0,Left Center Forward,2,Guingamp,142,['e0080fb9-77fb-4175-9eb0-f6e89071615c'],0,,,,,,,,,,,,,,,,,,,Guingamp,142,00:00:00.631,Pass,
,,,,,,,,,,,,,,,,,2.423851,,,,,,,,,,,,,,7b5ae442-9c8d-42fc-9a4e-404228b816f6,11,,,"[55.9, 43.8]",3900529,0,,,,-0.98030305,,Left Foot,,,,"[80.7, 6.8]",,High Pass,,44.542564,,Incomplete,,,,,,,,,1,From Kick Off,Moustapha Elhadji Diallo,3121.0,Right Defensive Midfield,2,Guingamp,142,['db434fcf-74ac-4cc8-b6a3-d99d6c982700'],2,,,,,,,,,,,,,,,,,,,Guingamp,142,00:00:02.111,Pass,
,,,,,,,,,,,,,,,,,1.60942,,,,,,,,,,,,,,db434fcf-74ac-4cc8-b6a3-d99d6c982700,12,,,"[39.4, 73.3]",3900529,0,,,,-0.30434418,,Head,,,,"[55.0, 68.4]",,High Pass,,16.351452,,Incomplete,,Valentin Eysseric,4254.0,,,,,Recovery,1,From Kick Off,Ronaël Pierre-Gabriel,4258.0,Right Back,2,Guingamp,142,"['7b5ae442-9c8d-42fc-9a4e-404228b816f6', 'b1ad7e8f-5ab4-45d9-8227-d75c58d7f7f8', 'f868a6d6-3558-4158-8029-f9182adb7d73']",4,,,,,,,,,,,,,,,,,,,Saint-Étienne,135,00:00:04.535,Pass,
