ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,31277d11-724d-48d2-af15-eaecc54e2858,1,,,3900582,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Gazélec Ajaccio,160,,0,,,,,,,,,,,,,,,,,,"{'formation': 41212, 'lineup': [{'player': {'id': 401508, 'name': 'Clément Maury'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 7428, 'name': 'Alexandre Coeff'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 29}, {'player': {'id': 2953, 'name': 'Abdou Kader Mangane'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 15}, {'player': {'id': 7603, 'name': 'Jérémie Bréchet'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 4352, 'name': 'Issiaga Sylla'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 401507, 'name': 'Jérôme Le Moigne'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 7389, 'name': 'Amos Youga'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 18}, {'player': {'id': 31911, 'name': 'Damjan Đoković'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 23}, {'player': {'id': 10616, 'name': 'Mohamed Larbi'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 7721, 'name': 'John Tshibumbu'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 24}, {'player': {'id': 5726, 'name': 'Khalid Boutaïb'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 9}]}",Gazélec Ajaccio,160,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0ef85a42-7765-4993-bc9a-b45846516faa,2,,,3900582,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Gazélec Ajaccio,160,,0,,,,,,,,,,,,,,,,,,"{'formation': 3421, 'lineup': [{'player': {'id': 3980, 'name': 'Johny Placide'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 30}, {'player': {'id': 401455, 'name': 'Mohamed Fofana'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 6648, 'name': 'Aïssa Mandi'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 23}, {'player': {'id': 7435, 'name': 'Anthony Weber'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 25}, {'player': {'id': 3248, 'name': 'Hamari Traoré'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 27}, {'player': {'id': 40521, 'name': 'Franck Signorino'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 3}, {'player': {'id': 4545, 'name': 'Prince Oniangué'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 46801, 'name': 'Jaba Kankava'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 7375, 'name': 'Theoson Jordan Siebatcheu'}, 'position': {'id': 18, 'name': 'Right Attacking Midfield'}, 'jersey_number': 20}, {'player': {'id': 4383, 'name': 'Nicolas de Roussel de Préville'}, 'position': {'id': 20, 'name': 'Left Attacking Midfield'}, 'jersey_number': 12}, {'player': {'id': 7635, 'name': 'Gaëtan Charbonnier'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Stade de Reims,156,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,c24ef1c0-d950-4c2e-852f-d33068dac369,3,,,3900582,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Gazélec Ajaccio,160,['22b1efe6-867b-4017-845a-205a58fc9c7e'],0,,,,,,,,,,,,,,,,,,,Gazélec Ajaccio,160,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,22b1efe6-867b-4017-845a-205a58fc9c7e,4,,,3900582,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Gazélec Ajaccio,160,['c24ef1c0-d950-4c2e-852f-d33068dac369'],0,,,,,,,,,,,,,,,,,,,Stade de Reims,156,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,b37ccb71-89c6-403e-a751-cfcf6b2dd844,2101,,,3900582,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,99,Stade de Reims,156,['7e4cd332-6661-4d15-a853-2e4a1ed39ae9'],0,,,,,,,,,,,,,,,,,,,Gazélec Ajaccio,160,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,7e4cd332-6661-4d15-a853-2e4a1ed39ae9,2102,,,3900582,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,99,Stade de Reims,156,['b37ccb71-89c6-403e-a751-cfcf6b2dd844'],0,,,,,,,,,,,,,,,,,,,Stade de Reims,156,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.569474,,,,,,,,,,,,,87072ba4-ed7a-4dc6-8f1e-cf0c786500a5,5,,"[61.0, 40.1]",3900582,0,,,,1.9138203,,Right Foot,,,,"[60.0, 42.9]",,Ground Pass,,2.9732137,,,,Mohamed Larbi,10616.0,,,,,Kick Off,1,From Kick Off,Khalid Boutaïb,5726.0,Left Center Forward,2,Gazélec Ajaccio,160,['dc2db234-376b-4f09-988a-9983e24e3423'],0,,,,,,,,,,,,,,,,,,,Gazélec Ajaccio,160,00:00:00.916,Pass,
,,,,,,,,,,,,,,,,,1.561341,,,,,,,,,,,,,bfbe96c0-8fd1-4ba9-a6ee-1ea618a1bb7b,8,,"[59.4, 44.3]",3900582,0,,,,1.9964657,,Right Foot,,,,"[48.7, 67.9]",,Ground Pass,,25.912352,,,,Alexandre Coeff,7428.0,,,,,,1,From Kick Off,Mohamed Larbi,10616.0,Center Attacking Midfield,2,Gazélec Ajaccio,160,['a3951efc-e859-44d4-9b65-d027fbbdefdc'],2,,,,,,,,,,,,,,,,,,,Gazélec Ajaccio,160,00:00:02.292,Pass,
,,,,,,,,,,,,,,,,,1.440086,,,,,,,,,,,,,cf4db3c3-51c4-4837-b7d8-8a1cdd063273,11,,"[48.7, 67.9]",3900582,0,,,,-2.7184215,,Right Foot,,,,"[35.6, 62.0]",,Ground Pass,,14.367324,,,,Abdou Kader Mangane,2953.0,,,,,,1,From Kick Off,Alexandre Coeff,7428.0,Right Back,2,Gazélec Ajaccio,160,['4bd3682e-d102-4e75-b1b2-97d41c36177a'],4,,,,,,,,,,,,,,,,,,,Gazélec Ajaccio,160,00:00:04.536,Pass,
,,,,,,,,,,,,,,,,,3.246357,,,,,,,,,,,,,5d70891f-1e40-4209-b23b-a67bfff0fa73,14,,"[35.6, 62.0]",3900582,0,,,,-0.031960692,,Right Foot,,,,"[91.9, 60.2]",,High Pass,,56.328766,,,,John Tshibumbu,7721.0,,,,,,1,From Kick Off,Abdou Kader Mangane,2953.0,Right Center Back,2,Gazélec Ajaccio,160,['5d23a135-52a3-4228-84fc-ac8102bcf093'],8,,,,,,,,,,,,,,,,,,,Gazélec Ajaccio,160,00:00:08.857,Pass,
