50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,4fe3f8f7-44ea-49c8-a9c3-765da3cfc108,1,,,,3901212,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Lille,143,,0,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 40484, 'name': 'Vincent Enyeama'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6716, 'name': 'Sébastien Corchia'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 29057, 'name': 'Renato Civelli'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 40523, 'name': 'Marko Baša'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 25}, {'player': {'id': 3446, 'name': 'Djibril Sidibé'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 19}, {'player': {'id': 11332, 'name': 'Ibrahim Amadou'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 3211, 'name': 'Florent Balmont'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 40697, 'name': 'Mounir Obbadi'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 3425, 'name': 'Morgan Amalfitano'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 31}, {'player': {'id': 3625, 'name': 'Sofiane Boufal'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 15996, 'name': 'Éderzito António Macedo Lopes'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 39}]}",Lille,143,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,2d2655ee-a619-4afe-8434-0357b679ac11,2,,,,3901212,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Lille,143,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 3444, 'name': 'Danijel Subašić'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3217, 'name': 'Jemerson de Jesus Nascimento'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 5}, {'player': {'id': 3374, 'name': 'Andrea Raggi'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 24}, {'player': {'id': 10805, 'name': 'Ricardo Alberto Silveira de Carvalho'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 27558, 'name': 'Elderson Uwa Echiejile'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 21}, {'player': {'id': 3247, 'name': 'Fábio Henrique Tavares'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 2}, {'player': {'id': 3406, 'name': 'Jérémy Toulalan'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 28}, {'player': {'id': 5727, 'name': 'Nabil Dirar'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 7}, {'player': {'id': 3193, 'name': 'Bernardo Mota Veiga de Carvalho e Silva'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 3245, 'name': 'Thomas Lemar'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 27}, {'player': {'id': 18953, 'name': 'Vágner Silva de Souza'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",AS Monaco,129,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,6334ba04-f565-471e-ab86-76ab8110405e,3,,,,3901212,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Lille,143,['bc874340-2a49-45ff-9505-1076814fa3b7'],0,,,,,,,,,,,,,,,,,,Lille,143,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,bc874340-2a49-45ff-9505-1076814fa3b7,4,,,,3901212,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Lille,143,['6334ba04-f565-471e-ab86-76ab8110405e'],0,,,,,,,,,,,,,,,,,,AS Monaco,129,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,98803ff0-52b8-4f49-a76a-a67736c1467a,1699,,,,3901212,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,100,AS Monaco,129,['7e68dc82-5324-488f-a815-4481148e6b2b'],0,,,,,,,,,,,,,,,,,,AS Monaco,129,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,7e68dc82-5324-488f-a815-4481148e6b2b,1700,,,,3901212,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,100,AS Monaco,129,['98803ff0-52b8-4f49-a76a-a67736c1467a'],0,,,,,,,,,,,,,,,,,,Lille,143,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.585676,,,,,,,,,,,5252e9ae-5938-40a4-b18a-9bb0934ba4c3,5,,,"[60.0, 40.0]",3901212,0,,,,,1.7818897,,Right Foot,,,"[59.7, 41.4]",,Ground Pass,,1.4317821,,,,,Morgan Amalfitano,3425.0,,,,,Kick Off,1,From Kick Off,Éderzito António Macedo Lopes,15996.0,Center Forward,2,Lille,143,['bc79f1ba-d732-4620-8e04-72057e130abe'],0,,,,,,,,,,,,,,,,,,Lille,143,00:00:00.161,Pass,
,,,,,,,,,,,,,,,,,,1.146514,,,,,,,,,,,3fdf98f8-ec38-4a00-ba86-ab9ddee4244f,8,,,"[59.5, 41.6]",3901212,0,,,,,-2.9347186,,Right Foot,,,"[43.3, 38.2]",,Ground Pass,,16.552946,,,,,Ibrahim Amadou,11332.0,,,,,,1,From Kick Off,Morgan Amalfitano,3425.0,Right Wing,2,Lille,143,['78428a9b-7d5f-4fbd-8f99-d4fb3709156e'],0,,,,,,,,,,,,,,,,,,Lille,143,00:00:00.940,Pass,
,,,,,,,,,,,,,,,,,,1.82203,,,,,,,,,,,db1e7de8-b8f4-4810-b252-fe34aef586ab,11,,,"[43.3, 38.2]",3901212,0,,,,,-1.6087527,,Right Foot,,,"[42.4, 14.5]",,Ground Pass,,23.717083,,,,,Djibril Sidibé,3446.0,,,,,,1,From Kick Off,Ibrahim Amadou,11332.0,Center Defensive Midfield,2,Lille,143,['a08db00f-86c8-4590-a519-017492a4c5b5'],2,,,,,,,,,,,,,,,,,,Lille,143,00:00:02.283,Pass,
,,,,,,,,,,,,,,,,,,1.549368,,,,,,,,,,,df1fc2bf-6510-4186-a9f7-7e1c821179b5,14,,,"[42.4, 14.5]",3901212,0,,,,,2.6523564,,Right Foot,,,"[20.8, 26.0]",,Ground Pass,,24.470594,,,,,Marko Baša,40523.0,,,,,,1,From Kick Off,Djibril Sidibé,3446.0,Left Back,2,Lille,143,['ac6f894f-a019-460f-aaec-d5731d3b0c12'],6,,,,,,,,,,,,,,,,,,Lille,143,00:00:06.258,Pass,
