50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,16c17d0a-e0f0-4e63-9462-add6f320abd9,1,,,3901178,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Lorient,165,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 3008, 'name': 'Benjamin Lecomte'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 40}, {'player': {'id': 6335, 'name': 'Lamine Gassama'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 25}, {'player': {'id': 7346, 'name': 'Lindsay Rose'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 26}, {'player': {'id': 7211, 'name': 'Zargo Touré'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 5209, 'name': 'Raphaël Adelino José Guerreiro'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 14}, {'player': {'id': 22587, 'name': 'Didier Ndong Ibrahim'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 7}, {'player': {'id': 7766, 'name': 'Walid Mesloub'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 17}, {'player': {'id': 7336, 'name': 'Jimmy Cabot'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 27}, {'player': {'id': 7567, 'name': 'Maxime Barthelmé'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 28}, {'player': {'id': 7615, 'name': 'Abdul Majeed Waris'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 9}, {'player': {'id': 3552, 'name': 'Benjamin Jeannot'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 22}]}",Lorient,165,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0986aadd-4fa6-486e-bc21-a616a8a89feb,2,,,3901178,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Lorient,165,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 3543, 'name': 'Steve Mandanda'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 30}, {'player': {'id': 3075, 'name': 'Javier Manquillo Gaitán'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 7472, 'name': ""Nicolas Alexis Julio N'Koulou Ndoubena""}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 8572, 'name': 'Karim Rekik'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 3261, 'name': 'Benjamin Mendy'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 23}, {'player': {'id': 18874, 'name': 'Mauricio Aníbal Isla Isla'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 10036, 'name': 'Jacques-Alaixys Romao'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 20}, {'player': {'id': 3254, 'name': 'Florian Thauvin'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 24}, {'player': {'id': 3420, 'name': 'Rémy Cabella'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 13}, {'player': {'id': 3639, 'name': 'Georges-Kévin Nkoudou Mbida'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 14}, {'player': {'id': 3457, 'name': 'Michy Batshuayi Tunga'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 22}]}",Marseille,147,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,cbaee83f-7e89-4b0b-9b27-fbff7c99c30c,3,,,3901178,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Lorient,165,['0cbd81c9-0893-4e59-a0aa-fdc6194bc117'],0,,,,,,,,,,,,,,,,,Marseille,147,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0cbd81c9-0893-4e59-a0aa-fdc6194bc117,4,,,3901178,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Lorient,165,['cbaee83f-7e89-4b0b-9b27-fbff7c99c30c'],0,,,,,,,,,,,,,,,,,Lorient,165,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,bb182a86-cdbd-4c93-b616-649d5cd3b788,1819,,,3901178,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,108,Lorient,165,['cf3b0088-ca75-4ace-ab1d-a5e2e7c1557f'],0,,,,,,,,,,,,,,,,,Marseille,147,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,cf3b0088-ca75-4ace-ab1d-a5e2e7c1557f,1820,,,3901178,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,108,Lorient,165,['bb182a86-cdbd-4c93-b616-649d5cd3b788'],0,,,,,,,,,,,,,,,,,Lorient,165,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.522807,,,,,,,,,,,,2d1587d5-e47f-4069-a3c3-3a3dba971ccc,5,,"[60.0, 40.0]",3901178,0,,,,,-1.9936502,,Right Foot,,,,"[59.1, 38.0]",,Ground Pass,,2.1931713,,,,Abdul Majeed Waris,7615.0,,,,,,Kick Off,1,From Kick Off,Benjamin Jeannot,3552.0,Left Center Forward,2,Lorient,165,['6ea40468-8c54-44fa-a630-94acc70751dc'],0,,,,,,,,,,,,,,,,,Lorient,165,00:00:00.345,Pass,
,,,,,,,,,,,,,,,,0.868329,,,,,,,,,,,,ea8d8b05-c771-4eac-9c6f-8210c99d9b0c,8,,"[56.6, 39.5]",3901178,0,,,,,-2.4236596,,Right Foot,,,,"[48.7, 32.6]",,Ground Pass,,10.489042,,,,Walid Mesloub,7766.0,,,,,,,1,From Kick Off,Abdul Majeed Waris,7615.0,Right Center Forward,2,Lorient,165,['7859b52c-2857-4e90-bf56-ae46fa40403e'],1,,,,,,,,,,,,,,,,,Lorient,165,00:00:01.464,Pass,
,,,,,,,,,,,,,,,,1.38956,,,,,,,,,,,,bcf480e5-5eda-47cf-b757-5787a7d3abcd,11,,"[50.1, 24.1]",3901178,0,,,,,-1.5244378,,Right Foot,,,,"[51.0, 4.7]",,Ground Pass,,19.420866,,,,Raphaël Adelino José Guerreiro,5209.0,,,,,,,1,From Kick Off,Walid Mesloub,7766.0,Left Defensive Midfield,2,Lorient,165,['276d3b50-79b7-4518-a0b1-040cec8c01aa'],4,,,,,,,,,,,,,,,,,Lorient,165,00:00:04.145,Pass,
,,,,,,,,,,,,,,,,0.304483,,,,,,,,,,,,06cbff12-6822-47c6-b791-1f56faaa1712,15,,"[52.5, 2.8]",3901178,0,,,,,-1.0303768,,Right Foot,,,,"[53.4, 1.3]",,Low Pass,,1.7492856,,Incomplete,,,,,,,,,,1,From Kick Off,Raphaël Adelino José Guerreiro,5209.0,Left Back,2,Lorient,165,['4ced9160-74a3-40e1-bcd7-810feb4e0f01'],6,,,,,,,,,,,,,,,,,Lorient,165,00:00:06.195,Pass,
