50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,1.078539,,,,,,,,,,,,f61a4d5c-0b66-4805-a1df-fb325f6c7bce,1707,,"[83.8, 64.8]",3829455,45,,,,,2.691833,,Right Foot,,,,"[75.1, 69.0]",,Ground Pass,,9.660746,,,Ronny Rodelin,2955.0,,,,,,2,From Kick Off,Andy Delort,3038.0,Center Forward,100,Caen,140,['dc9a0538-5149-47dc-bf2b-e17fe5e67e9c'],13,,,,,,,,,,,,,,,,,Caen,140,00:00:13.394,Pass,
,,,,,,,,,,,,,,,,,,0.862566,,,,,,,,,,,,32a9250f-19ed-41ef-9210-1a0f485e9a06,1709,,"[75.1, 69.0]",3829455,45,,,,,-1.2722974,,Right Foot,,,,"[77.9, 59.9]",,Ground Pass,,9.521029,,,Julien Féret,2959.0,,,,,,2,From Kick Off,Ronny Rodelin,2955.0,Right Midfield,100,Caen,140,['f13627bf-045b-4583-8084-fbc4d380f5aa'],14,,,,,,,,,,,,,,,,,Caen,140,00:00:14.472,Pass,
,,,,,,,,,,,,,,,,,,0.867626,,,,,,,,,,,,f74fbc69-4610-4a1e-8146-8804f44da5a8,1711,,"[77.9, 59.9]",3829455,45,,,,,2.9467287,,Right Foot,,,,"[70.3, 61.4]",,Ground Pass,,7.746612,,,Nicolas Seube,40698.0,,,,,,2,From Kick Off,Julien Féret,2959.0,Center Attacking Midfield,100,Caen,140,['69b5a951-7d60-4edd-97ce-0b953e3a47f1'],15,,,,,,,,,,,,,,,,,Caen,140,00:00:15.335,Pass,
,,,,,,,,,,,,,,,,,,2.179032,,,,,,,,,,,,bdd2923a-46f9-4c8c-b230-52ca932cad53,1715,,"[64.4, 47.7]",3829455,45,,,,,-1.9271076,,Right Foot,,,,"[56.1, 25.4]",,Ground Pass,,23.794537,,,Syam Ben Youssef,5656.0,,,,,,2,From Kick Off,Nicolas Seube,40698.0,Right Defensive Midfield,100,Caen,140,['441de607-1f7d-4e9b-ad8e-5b71b2b145a1'],18,,,,,,,,,,,,,,,,,Caen,140,00:00:18.991,Pass,
,,,,,,,,,,,,,,,,,,1.433032,,,,,,,,,,,,91b06339-dc59-470a-97ef-86bde5028b90,1718,,"[66.1, 23.1]",3829455,45,,,,,-0.6454735,,Right Foot,,,,"[90.4, 4.8]",,Ground Pass,,30.42006,,,Emmanuel Imorou,4474.0,,,,,,2,From Kick Off,Syam Ben Youssef,5656.0,Left Center Back,100,Caen,140,['bd24952a-534a-4efe-85d6-a60e02678d7b'],23,,,,,,,,,,,,,,,,,Caen,140,00:00:23.146,Pass,
,,,,,,,,,,,,,,,,,,1.595012,,,,,,,,,,,,7cba22a6-c80a-460e-90fa-a2233f6f591d,1721,,"[94.0, 6.0]",3829455,45,,,,,1.194115,,Left Foot,True,,,"[106.5, 37.6]",,High Pass,,33.982494,Incomplete,,Andy Delort,3038.0,,,,,,2,From Kick Off,Emmanuel Imorou,4474.0,Left Back,100,Caen,140,"['383ae03d-f2a7-41eb-8a29-9deb59f7dd52', '8b42806e-8e9a-4ae7-a413-ccf3f91e46fe']",25,,,,,,,,,,,,,,,,,Caen,140,00:00:25.534,Pass,
,,,,,,,,,,,,,,,,,,0.696487,,,,,,,,,,,,f5dc8389-4e1f-4e73-80e1-c554b41c814d,1726,,"[99.6, 54.8]",3829455,45,,,,,-1.5072457,,Right Foot,,,,"[100.3, 43.8]",,Low Pass,,11.02225,,,Andy Delort,3038.0,,,,,,2,From Kick Off,Ronny Rodelin,2955.0,Right Midfield,100,Caen,140,['a7f261b5-e41d-4b3e-8dbe-cabc9ce4976b'],28,,,,,,,,,,,,,,,,,Caen,140,00:00:28.661,Pass,
,,,,,,,,,,,,,,,,,,1.453444,,,,,,,,,,,,4a493235-0f01-4b62-b749-2d0e68ff4200,1729,,"[100.3, 43.8]",3829455,45,,,,,0.7803221,bf937b27-a639-417c-b8fd-3bb176c2a18b,Right Foot,,,,"[110.2, 53.6]",,Low Pass,,13.930183,,,Ronny Rodelin,2955.0,True,,,,,2,From Kick Off,Andy Delort,3038.0,Center Forward,100,Caen,140,['656eb02b-170a-4cc9-8c07-788d116b3348'],29,,,,,,,,,,,,,,,,,Caen,140,00:00:29.549,Pass,
,,,,,,,,,,,,,,,,,,3.611302,,,,,,,,,,,,a9da6bb3-dfce-40ac-991b-d1e6d1f5f25b,1734,,"[6.0, 36.0]",3829455,45,,,,,0.23694964,,Left Foot,,,,"[70.6, 51.6]",,High Pass,,66.4569,Incomplete,,Corentin Jean,3010.0,,,,,Goal Kick,2,From Goal Kick,Denis Petrić,34953.0,Goalkeeper,101,Troyes,133,"['bfbcc2ea-d632-4ef4-a234-9d5afaca4ed1', 'dc5990c2-a7e5-413f-95f9-952c489b2a81']",55,,,,,,,,,,,,,,,,,Troyes,133,00:00:55.694,Pass,
,,,,,,,,,,,,,,,,,,1.752983,,,,,,,,,,,,bfbcc2ea-d632-4ef4-a234-9d5afaca4ed1,1736,,"[49.5, 28.5]",3829455,45,,,,True,0.18192819,,,,,,"[70.7, 32.4]",,High Pass,,21.555742,Incomplete,,Andy Delort,3038.0,,,,,Recovery,2,From Goal Kick,Syam Ben Youssef,5656.0,Left Center Back,101,Troyes,133,"['50bec988-e833-4397-8184-064649d94957', '8d9a0d2c-9fd4-400f-b66c-1fdd0b716107', 'a9da6bb3-dfce-40ac-991b-d1e6d1f5f25b', 'b16d16a3-f2c3-414f-8cdf-325e42b4fe5b']",59,,,,,,,,,,,,,,,,,Caen,140,00:00:59.306,Pass,True
,,,,,,,,,,,,,,,,,,3.599308,,,,,,,,,,,,c2ced31b-757d-4e89-8ef0-f923a8b56a13,1740,,"[21.9, 40.7]",3829455,46,,,,,0.9134918,,Left Foot,,,,"[52.0, 79.7]",,High Pass,,49.264694,Out,,,,,,,,Recovery,2,From Goal Kick,Denis Petrić,34953.0,Goalkeeper,101,Troyes,133,,4,,,,,,,,,,,,,,,,,Troyes,133,00:01:04.124,Pass,
,,,,,,,,,,,,,,,,,,2.029806,,,,,,,,,,,,3e8fd0e5-7310-414c-a30e-724e0493c54a,1741,,"[71.8, 0.1]",3829455,46,,,,,0.39399305,,,,,,"[98.5, 11.2]",,High Pass,,28.915394,Incomplete,,Andy Delort,3038.0,,,,,Throw-in,2,From Throw In,Emmanuel Imorou,4474.0,Left Back,102,Caen,140,"['91b963ba-1e8b-4ce8-94fa-0178e80897de', 'b9fc9c42-7d38-4d9e-b259-5d4df9a2b2c6']",20,,,,,,,,,,,,,,,,,Caen,140,00:01:20.022,Pass,
,,,,,,,,,,,,,,,,,,1.6,,,,,,,,,,,,b9fc9c42-7d38-4d9e-b259-5d4df9a2b2c6,1744,,"[21.6, 68.9]",3829455,46,,,,True,0.19739556,,,,,,"[30.6, 70.7]",,Low Pass,,9.178235,,,Fabien Camus,401470.0,,,,,Recovery,2,Regular Play,Dušan Veškovac,42422.0,Right Center Back,103,Troyes,133,"['043f68ba-5815-4ca9-8cb1-2a11d0508158', '3e8fd0e5-7310-414c-a30e-724e0493c54a', '6e28a7eb-e2fa-4832-9be7-1c715ce7237a']",22,,,,,,,,,,,,,,,,,Troyes,133,00:01:22.052,Pass,True
