50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,2650948d-7908-431b-8bf4-2dabdb56010b,1,,,,3900587,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Saint-Étienne,135,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 4259, 'name': 'Stéphane Ruffier'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 16}, {'player': {'id': 3413, 'name': 'Kévin Théophile-Catherine'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 401468, 'name': 'Moustapha Bayal Sall'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 26}, {'player': {'id': 4802, 'name': 'Florentin Pogba'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 19}, {'player': {'id': 7347, 'name': 'Pierre-Yves Polomat'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 7200, 'name': 'Fabien Lemoine'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 3414, 'name': 'Vincent Pajot'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 4431, 'name': 'Kévin Monnet-Paquet'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 22}, {'player': {'id': 2944, 'name': 'Benjamin Corgnet'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 8}, {'player': {'id': 8469, 'name': 'Jean-Christophe Bahebeck'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 3423, 'name': 'Alexander Toft Søderlund'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 23}]}",Saint-Étienne,135,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0d5d6b75-061f-48ff-afe7-33b12e1b119b,2,,,,3900587,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Saint-Étienne,135,,0,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 2947, 'name': 'Anthony Lopes'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 4410, 'name': 'Christophe Jallet'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 13}, {'player': {'id': 4463, 'name': 'Mapou Yanga-Mbiwa'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 5492, 'name': 'Samuel Yves Umtiti'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 23}, {'player': {'id': 2983, 'name': 'Jérémy Morel'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 15}, {'player': {'id': 6982, 'name': 'Maxime Gonalons'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 21}, {'player': {'id': 3118, 'name': 'Jordan Ferri'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 12}, {'player': {'id': 5480, 'name': 'Corentin Tolisso'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 3372, 'name': 'Rachid Ghezzal'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 11}, {'player': {'id': 3361, 'name': 'Clément Grenier'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 3451, 'name': 'Alexandre Lacazette'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Lyon,137,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,715daeb9-03bb-4c11-b4e3-b2ec4e891213,3,,,,3900587,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Saint-Étienne,135,['3f7e2828-ae02-4c57-a13c-d373cf3d2bf7'],0,,,,,,,,,,,,,,,,,,Lyon,137,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,3f7e2828-ae02-4c57-a13c-d373cf3d2bf7,4,,,,3900587,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Saint-Étienne,135,['715daeb9-03bb-4c11-b4e3-b2ec4e891213'],0,,,,,,,,,,,,,,,,,,Saint-Étienne,135,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,eae6380b-cd9f-4e66-8e3e-38e878f5b148,1729,,,,3900587,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,90,Saint-Étienne,135,['601ae151-f1cf-4de3-a7bc-b21fcb17f06d'],0,,,,,,,,,,,,,,,,,,Lyon,137,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,601ae151-f1cf-4de3-a7bc-b21fcb17f06d,1730,,,,3900587,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,90,Saint-Étienne,135,['eae6380b-cd9f-4e66-8e3e-38e878f5b148'],0,,,,,,,,,,,,,,,,,,Saint-Étienne,135,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.343503,,,,,,,,,,,,,859a7aca-385a-4668-b493-035d98cb3cab,5,,,"[61.0, 40.1]",3900587,0,,,,,1.9936502,,Right Foot,,,,"[60.1, 42.1]",,Ground Pass,,2.1931713,,,,Clément Grenier,3361.0,,,,,Kick Off,1,From Kick Off,Alexandre Lacazette,3451.0,Center Forward,2,Lyon,137,['6a63a8a3-cd34-44c9-b1a2-be755aeb4995'],0,,,,,,,,,,,,,,,,,,Lyon,137,00:00:00.946,Pass,
,,,,,,,,,,,,,,,,,,1.619983,,,,,,,,,,,,,e3373a12-a32e-47dd-838b-9eb2a7c491fa,8,,,"[62.2, 46.0]",3900587,0,,,,,1.0243961,,Right Foot,,,,"[77.1, 70.5]",,Ground Pass,,28.675076,,,Incomplete,Rachid Ghezzal,3372.0,,,,,,1,From Kick Off,Clément Grenier,3361.0,Left Wing,2,Lyon,137,"['1a296307-5373-4f3a-837e-b51b48667c94', '3403f2fe-a26f-4f95-a5d6-7a9f22f11e7b']",2,,,,,,,,,,,,,,,,,,Lyon,137,00:00:02.447,Pass,
,,,,,,,,,,,,,,,,,,1.0207,,,,,,,,,,,,,3403f2fe-a26f-4f95-a5d6-7a9f22f11e7b,10,,,"[43.0, 9.6]",3900587,0,,,,,0.22164956,,Left Foot,,,,"[64.3, 14.4]",,Ground Pass,,21.834148,,,Incomplete,Fabien Lemoine,7200.0,,,,,Interception,1,From Kick Off,Pierre-Yves Polomat,7347.0,Left Back,2,Lyon,137,"['a0c36578-8f66-417a-933e-cc5f69222020', 'cbd1d270-9457-4235-a269-ff45b4737f36', 'e3373a12-a32e-47dd-838b-9eb2a7c491fa']",4,,,,,,,,,,,,,,,,,,Saint-Étienne,135,00:00:04.067,Pass,
,,,,,,,,,,,,,,,,,,0.654066,,,,,,,,,,,,,b0b50a09-adff-40b4-b494-6180216ce523,16,,,"[63.1, 66.8]",3900587,0,,,,,0.080286816,,Right Foot,,,,"[71.8, 67.5]",,Ground Pass,,8.728115,,,,Rachid Ghezzal,3372.0,,,,,,1,From Kick Off,Jordan Ferri,3118.0,Right Center Midfield,2,Lyon,137,"['5c4aeff3-4c1c-4d1b-8e20-31459333c984', '5d932001-89cf-4ff3-a82c-ff118a41e5e7', '8ffc1a11-3997-4ec5-ba2d-d8bf9abc5f53']",6,,,,,,,,,,,,,,,,,,Lyon,137,00:00:06.262,Pass,True
