50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,78d3a950-2d44-41ad-9c91-a0a3ccda986f,1,,,3900563,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Guingamp,142,,0,,,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 3322, 'name': 'Jonas Lössl'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3364, 'name': 'Jonathan Martins-Pereira'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 22}, {'player': {'id': 2936, 'name': 'Christophe Kerbrat'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 29}, {'player': {'id': 3124, 'name': 'Jérémy Sorbon'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 7308, 'name': 'Laurent Dos Santos'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 20}, {'player': {'id': 401512, 'name': 'Lionel Mathis'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 3363, 'name': 'Marcus Coco'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 24}, {'player': {'id': 3121, 'name': 'Moustapha Elhadji Diallo'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 5}, {'player': {'id': 3348, 'name': 'Younousse Sankharé'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 13}, {'player': {'id': 3122, 'name': 'Yannis Salibur'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 19}, {'player': {'id': 3213, 'name': 'Jimmy Briand'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 23}]}",Guingamp,142,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,8f4c91fb-3272-44a8-bff9-1f4c44a14e86,2,,,3900563,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Guingamp,142,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 3354, 'name': 'Benoît Guy Robert Costil'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 4475, 'name': 'Romain Danzé'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 29}, {'player': {'id': 3022, 'name': 'Fallou Diagne'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 14}, {'player': {'id': 40699, 'name': 'Sylvain Armand'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 22}, {'player': {'id': 3424, 'name': ""Cheikh M''Bengue""}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 8672, 'name': 'Gélson da Conceição Tavares Fernandes'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 2990, 'name': 'Benjamin André'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 21}, {'player': {'id': 16503, 'name': 'Pedro Henrique Konzen Medina da Silva'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 18}, {'player': {'id': 5692, 'name': 'Juan Fernando Quintero Paniagua'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 11}, {'player': {'id': 5477, 'name': 'Ousmane Dembélé'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 23}, {'player': {'id': 3018, 'name': 'Giovanni-Guy Yann Sio'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 13}]}",Rennes,134,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,6892857c-7be4-4e33-90d6-a62fbb7ac2d5,3,,,3900563,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Guingamp,142,['32657f57-7b19-48c2-9a4a-1da1de48cdaa'],0,,,,,,,,,,,,,,,,,Rennes,134,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,32657f57-7b19-48c2-9a4a-1da1de48cdaa,4,,,3900563,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Guingamp,142,['6892857c-7be4-4e33-90d6-a62fbb7ac2d5'],0,,,,,,,,,,,,,,,,,Guingamp,142,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,e2a086f6-e0e7-491e-8e00-a74946c56c63,1736,,,3900563,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,98,Rennes,134,['4bb697d2-6401-49cb-8752-5dd0d8e7a2af'],0,,,,,,,,,,,,,,,,,Guingamp,142,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,4bb697d2-6401-49cb-8752-5dd0d8e7a2af,1737,,,3900563,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,98,Rennes,134,['e2a086f6-e0e7-491e-8e00-a74946c56c63'],0,,,,,,,,,,,,,,,,,Rennes,134,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.510005,,,,,,,,,,,,,7d7ea69a-8ec0-403d-89eb-d0bfe16636a8,5,,"[61.0, 40.1]",3900563,0,,,,,1.849096,,Left Foot,,,,"[60.6, 41.5]",,Ground Pass,,1.456022,,,,Juan Fernando Quintero Paniagua,5692.0,,,,,,Kick Off,1,From Kick Off,Giovanni-Guy Yann Sio,3018.0,Center Forward,2,Rennes,134,['e56f46f2-1051-4a6e-84e2-a1fba3627a01'],1,,,,,,,,,,,,,,,,,Rennes,134,00:00:01.337,Pass,
,,,,,,,,,,,,,,,,,1.473508,,,,,,,,,,,,,d8aa49e7-04c9-43c1-8334-f636c87d44d1,8,,"[58.6, 42.0]",3900563,0,,,,,-2.860915,,Left Foot,,,,"[36.4, 35.6]",,Ground Pass,,23.104113,,,,Sylvain Armand,40699.0,,,,,,,1,From Kick Off,Juan Fernando Quintero Paniagua,5692.0,Center Attacking Midfield,2,Rennes,134,['7ddc8cc7-e77d-4129-a414-7c4f7f5a56ec'],2,,,,,,,,,,,,,,,,,Rennes,134,00:00:02.350,Pass,
,,,,,,,,,,,,,,,,,3.61216,,,,,,,,,,,,,51ac54ba-4a68-4f51-b01b-79be2da3952f,11,,"[36.6, 36.1]",3900563,0,,,,,0.44734067,,Left Foot,,,,"[91.0, 62.2]",,High Pass,,60.337135,,,,Pedro Henrique Konzen Medina da Silva,16503.0,,,,,,,1,From Kick Off,Sylvain Armand,40699.0,Left Center Back,2,Rennes,134,['33e638fa-500a-4fca-8c7c-2b064c40dfd9'],4,,,,,,,,,,,,,,,,,Rennes,134,00:00:04.900,Pass,
,,,,,,,,,,,,,,,,,3.677882,,,,,,,,,,,,,3e801218-ee9f-45c2-9886-8710ee42e7bb,15,,"[6.0, 44.0]",3900563,0,,,,,0.35515296,,Right Foot,,,,"[78.8, 71.0]",,Low Pass,,77.64561,,Incomplete,,Moustapha Elhadji Diallo,3121.0,,,,,,Goal Kick,1,From Goal Kick,Jonas Lössl,3322.0,Goalkeeper,3,Guingamp,142,"['27cd252f-7762-46a0-8dcb-796b694df52f', 'e0f1eb54-4998-4a4e-bdcd-7ecebe71dec4']",32,,,,,,,,,,,,,,,,,Guingamp,142,00:00:32.522,Pass,
