50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,1.287592,,,,,,,,,,,,6b7d991f-8657-4299-b803-81359f23c6dc,16,,,"[74.5, 0.1]",3900589,0,,,,0.21138641,,,,,"[97.8, 5.1]",,High Pass,23.830442,,,,,Georges-Kévin Nkoudou Mbida,3639.0,,,,,Throw-in,1,From Throw In,Javier Manquillo Gaitán,3075.0,Left Back,3,Marseille,147,['ebb4e0f9-9d32-45a9-adc5-ea9efd7d9779'],18,,,,,,,,,,,,,,,,,Marseille,147,00:00:18.964,Pass,
,,,,,,,,,,,,,,,,,0.946525,,,,,,,,,,,,470ffd31-bbd3-4c99-81a5-9bea6333204b,23,,,"[25.0, 74.0]",3900589,0,,,,-0.30047718,,Left Foot,,,"[32.1, 71.8]",,Ground Pass,7.4330344,,,,,Jean-Victor Makengo,4255.0,,,,,,1,Regular Play,Ronny Rodelin,2955.0,Right Midfield,4,Caen,140,['6d50ff05-8c83-4380-bdf3-5e86922ece45'],22,,,,,,,,,,,,,,,,,Caen,140,00:00:22.926,Pass,
,,,,,,,,,,,,,,,,,1.168675,,,,,,,,,,,,22150b1a-48d1-4183-bae6-55f6fada7dc3,27,,,"[31.1, 70.7]",3900589,0,,,,0.7133581,,Right Foot,,,"[36.3, 75.2]",,Ground Pass,6.8767724,,,,,Ronny Rodelin,2955.0,,,,,,1,Regular Play,Jean-Victor Makengo,4255.0,Right Center Midfield,4,Caen,140,['e6969262-f447-4d43-8a9b-d84b84d6f90b'],25,,,,,,,,,,,,,,,,,Caen,140,00:00:25.132,Pass,
,,,,,,,,,,,,,,,,,8.540252,,,,,,,,,,,,0ae14e77-0b4f-41ed-9f2c-d2af6206fab2,30,,,"[50.7, 75.7]",3900589,0,,,,-1.0313513,,Right Foot,,,"[95.9, 0.2]",,High Pass,87.995964,,,Out,,Hervé Bazile,2991.0,,True,,,,1,Regular Play,Ronny Rodelin,2955.0,Right Midfield,4,Caen,140,['39399664-f95f-4b4c-9240-c4080295cf2b'],29,,,,,,,,,,,,,,,,,Caen,140,00:00:29.341,Pass,
,,,,,,,,,,,,,,,,,1.911172,,,,,,,,,,,,d73cc796-7b37-475c-ac45-3a73e7fa6dff,34,,,"[30.8, 80.0]",3900589,0,,,,-0.41947746,,,,,"[53.0, 70.1]",,High Pass,24.307405,,,,,Michy Batshuayi Tunga,3457.0,,,,,Throw-in,1,From Throw In,Brice Dja Djédjé,7857.0,Right Back,5,Marseille,147,['edb259e2-ae3d-4058-8a2b-ab4dd0cf77ff'],46,,,,,,,,,,,,,,,,,Marseille,147,00:00:46.678,Pass,
,,,,,,,,,,,,,,,,,1.358553,,,,,,,,,,,,1c07f11d-3f54-42fb-b6b8-aff863c5e12a,37,,,"[54.0, 70.6]",3900589,0,,,,-1.8657334,,Right Foot,,,"[51.6, 62.7]",,High Pass,8.256513,,,,,Mauricio Aníbal Isla Isla,18874.0,,,,,,1,From Throw In,Michy Batshuayi Tunga,3457.0,Center Forward,5,Marseille,147,"['08bba4bf-1301-4afb-98e9-1072751fb5be', 'e2f7dd78-3361-48c8-973f-4ae3b08fc4bf']",48,,,,,,,,,,,,,,,,,Marseille,147,00:00:48.589,Pass,True
,,,,,,,,,,,,,,,,,1.410938,,,,,,,,,,,,dc2dd6ac-416d-4195-88ce-2990f09ec5ed,40,,,"[50.9, 57.5]",3900589,0,,,,-2.114274,,Right Foot,,,"[48.0, 52.7]",,Low Pass,5.60803,,,,,Lassana Diarra,3181.0,,,,,,1,From Throw In,Mauricio Aníbal Isla Isla,18874.0,Right Defensive Midfield,5,Marseille,147,"['0ebd8fe0-db66-44d0-a145-28d1977a7129', '3bddd22f-4711-46cf-ae24-643969c85560']",49,,,,,,,,,,,,,,,,,Marseille,147,00:00:49.948,Pass,True
,,,,,,,,,,,,,,,,,0.417063,,,,,,,,,,,,8af24f95-b2ef-423b-94a9-58fb1b1962ca,46,,,"[61.3, 36.5]",3900589,0,,,,-0.45430207,,Right Foot,,,"[65.6, 34.4]",,Ground Pass,4.7853947,,,,,Jean-Victor Makengo,4255.0,,,,,Recovery,1,From Throw In,Nicolas Seube,40698.0,Center Defensive Midfield,5,Marseille,147,['c980f6a5-d1fa-4f29-b2ca-5af0abc5c195'],53,,,,,,,,,,,,,,,,,Caen,140,00:00:53.989,Pass,
,,,,,,,,,,,,,,,,,1.228783,,,,,,,,,,,,ad7c4e8d-446a-4721-ae27-39d9fc9717f2,58,,,"[52.5, 50.7]",3900589,0,,,,1.7488892,,Right Foot,,,"[51.6, 55.7]",,Ground Pass,5.080354,,,,,Abdelaziz Barrada,23933.0,,,,,,1,From Throw In,Michy Batshuayi Tunga,3457.0,Center Forward,5,Marseille,147,"['5b6d64fc-8f28-42f8-87f5-563e785f157e', 'ddf51e95-9d5d-40f2-b17e-d81c1a044c42']",58,,,,,,,,,,,,,,,,,Marseille,147,00:00:58.442,Pass,True
,,,,,,,,,,,,,,,,,0.957239,,,,,,,,,,,,637c69f7-a95d-416a-b154-99bb6b6cc0ef,61,,,"[50.9, 55.9]",3900589,0,,,,-2.0443938,,Right Foot,,,"[46.8, 47.9]",,Ground Pass,8.989438,,,,,Mauricio Aníbal Isla Isla,18874.0,,,,,,1,From Throw In,Abdelaziz Barrada,23933.0,Center Attacking Midfield,5,Marseille,147,['85f9ad65-82f4-40cc-b95e-8721bb2005d1'],59,,,,,,,,,,,,,,,,,Marseille,147,00:00:59.826,Pass,
