50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,2680505a-309d-40f8-9fa7-c67b8b824519,1,,,,3901210,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Saint-Étienne,135,,0,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 4259, 'name': 'Stéphane Ruffier'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 16}, {'player': {'id': 3413, 'name': 'Kévin Théophile-Catherine'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 401468, 'name': 'Moustapha Bayal Sall'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 26}, {'player': {'id': 4263, 'name': 'Loïc Perrin'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 24}, {'player': {'id': 3047, 'name': 'Benoît Assou-Ekotto'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 32}, {'player': {'id': 7442, 'name': 'Jérémy Clément'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 7200, 'name': 'Fabien Lemoine'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 18}, {'player': {'id': 3200, 'name': 'Renaud Cohade'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 4431, 'name': 'Kévin Monnet-Paquet'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 22}, {'player': {'id': 8469, 'name': 'Jean-Christophe Bahebeck'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 3179, 'name': 'Nolan Roux'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Saint-Étienne,135,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,23acf987-f628-4a81-ae54-32a847c271e1,2,,,,3901210,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Saint-Étienne,135,,0,,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 36553, 'name': 'Matthieu Dreyer'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 4413, 'name': 'Aloïs Confais'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 33}, {'player': {'id': 401472, 'name': 'Carlos Eduardo de Castro Lourenço'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 11}, {'player': {'id': 13730, 'name': 'Matthieu Saunier'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 18162, 'name': 'Chris Mavinga'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 7283, 'name': 'Thiago Xavier Rodrigues Corrêa'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 7301, 'name': 'Lossémy Karaboué'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 24}, {'player': {'id': 3002, 'name': 'Benjamin Nivet'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 7415, 'name': 'Jessy Pi'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 25}, {'player': {'id': 3010, 'name': 'Corentin Jean'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 27}, {'player': {'id': 27014, 'name': 'Deniz Hümmet'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 26}]}",Troyes,133,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,1cb8e007-479c-4aee-8922-a50ec3848459,3,,,,3901210,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Saint-Étienne,135,['820c8ce7-6e80-4a09-9fd5-8c3c0070874f'],0,,,,,,,,,,,,,,,,Saint-Étienne,135,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,820c8ce7-6e80-4a09-9fd5-8c3c0070874f,4,,,,3901210,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Saint-Étienne,135,['1cb8e007-479c-4aee-8922-a50ec3848459'],0,,,,,,,,,,,,,,,,Troyes,133,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,5eb65090-7f3e-414a-836f-adfc2d5ae79b,1745,,,,3901210,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,106,Troyes,133,['afa785a9-bca3-457c-a32e-f0535c542f27'],0,,,,,,,,,,,,,,,,Troyes,133,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,afa785a9-bca3-457c-a32e-f0535c542f27,1746,,,,3901210,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,106,Troyes,133,['5eb65090-7f3e-414a-836f-adfc2d5ae79b'],0,,,,,,,,,,,,,,,,Saint-Étienne,135,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,1.04628,,,,,,,,,,,,,b1d732d9-e66c-4251-b1bd-101f34701bd3,5,,,"[61.0, 40.1]",3901210,0,,,,,2.9783523,,Left Foot,,,,"[52.5, 41.5]",,Ground Pass,,8.614523,,,,,Jessy Pi,7415.0,,,,,,Kick Off,1,From Kick Off,Benjamin Nivet,3002.0,Right Center Midfield,2,Troyes,133,['f6cae1d4-79e1-4b46-80c1-5a7cbfda332c'],0,,,,,,,,,,,,,,,,Troyes,133,00:00:00.745,Pass,
,,,,,,,,,,,,,,,,1.501767,,,,,,,,,,,,,784f3329-ac41-4ab7-8950-7e03151ee41d,9,,,"[48.2, 45.0]",3901210,0,,,,,2.2536745,,Right Foot,,,,"[37.3, 58.4]",,Ground Pass,,17.27339,,,,,Carlos Eduardo de Castro Lourenço,401472.0,,,,,,,1,From Kick Off,Jessy Pi,7415.0,Left Center Midfield,2,Troyes,133,"['2f5341d3-f6e0-47c7-9a7e-33957fa39ac5', 'a1f7c6e1-5da9-420a-bf88-12bece3bd272']",2,,,,,,,,,,,,,,,,Troyes,133,00:00:02.705,Pass,True
,,,,,,,,,,,,,,,,4.193754,,,,,,,,,,,,,595fc280-be92-4f64-ad8b-c3bbf77ed715,13,,,"[37.7, 63.4]",3901210,0,,,,,0.12710656,,Right Foot,,,,"[100.3, 71.4]",,High Pass,,63.10911,,,Incomplete,,Deniz Hümmet,27014.0,,,,,,,1,From Kick Off,Carlos Eduardo de Castro Lourenço,401472.0,Right Center Back,2,Troyes,133,"['58b471fc-b392-4827-8b8c-79fa2fc878b9', 'a224d912-9c08-4051-840b-72c9318263cb', 'daa954a8-9939-4beb-b782-e10d37ce0d9f']",5,,,,,,,,,,,,,,,,Troyes,133,00:00:05.007,Pass,True
,,,,,,,,,,,,,,,,1.91724,,,,,,,,,,,,,87cab5dc-ba9d-484a-b838-c2d88f99f3d6,18,,,"[18.8, 10.4]",3901210,0,,,,,2.0137215,,Right Foot,,,,"[7.7, 33.8]",,Ground Pass,,25.899227,,,,,Stéphane Ruffier,4259.0,,,,,,,1,Regular Play,Loïc Perrin,4263.0,Left Center Back,3,Saint-Étienne,135,"['a9cafbc9-979c-49f0-8e85-44f98ffeb5a6', 'b8f3c3b8-76ab-47b7-b2a3-880dcb4b3775']",9,,,,,,,,,,,,,,,,Saint-Étienne,135,00:00:09.590,Pass,True
