50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,4a28378a-cc30-4071-83d5-e8546c14963b,2481,,"[61.7, 40.9]",3829490,59,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Hatem Ben Arfa,16462.0,Left Center Forward,127,OGC Nice,136,"['0364b399-c921-4d45-89c3-f8cece10b998', 'a740fb0f-c4bd-4de1-9fa7-b7ebecd85655']",12,,,,,,,,,,,,,,,,,,,OGC Nice,136,00:14:12.791,Dispossessed,True
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,5ed5e36b-68e0-49a6-99ae-10875c484c89,3115,,"[41.9, 10.5]",3829490,76,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Hatem Ben Arfa,16462.0,Left Center Forward,161,OGC Nice,136,['8994e281-22dd-4a5f-90aa-9cae66e44479'],36,,,,,,,,,,,,,,,,,,,OGC Nice,136,00:31:36.774,Dispossessed,True
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,4911563a-b0fc-47d7-b41a-755af3637c4a,3205,,"[103.1, 62.4]",3829490,78,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Jean-Christophe Bahebeck,8469.0,Right Midfield,167,Saint-Étienne,135,"['693b482d-a651-4517-a6f9-8ae309f7163f', '8980f9e4-9a72-46a6-8e74-f989cc46ecb5']",55,,,,,,,,,,,,,,,,,,,Saint-Étienne,135,00:33:55.432,Dispossessed,True
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,9db6b53f-aa25-4894-84c1-77baa960b281,3432,,"[89.3, 14.3]",3829490,88,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Valentin Eysseric,4254.0,Left Midfield,181,Saint-Étienne,135,"['17d9e4e0-c6d5-49a3-865d-134d2f4a387d', '5e453e44-5018-4cf7-a7db-6c36e29ce413']",9,,,,,,,,,,,,,,,,,,,Saint-Étienne,135,00:43:09.711,Dispossessed,True
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,7ae913f2-6590-474e-8afc-448c96736439,3570,,"[56.3, 74.3]",3829490,93,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,Fabien Lemoine,7200.0,Right Defensive Midfield,194,Saint-Étienne,135,"['2f4efc5f-3cf1-4222-83df-ff0e2848e7c0', '8a6167f2-6ff4-4121-abb6-70237f98a658']",0,,,,,,,,,,,,,,,,,,,Saint-Étienne,135,00:48:00.404,Dispossessed,True
,,,,,,,,,,,,,,,,,Success In Play,Tackle,0.0,,,,,,,,,,,,,,,,377fc4a1-1d86-432c-8ed1-1d8ddf27ea65,35,,"[55.9, 17.2]",3829490,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Jérémy Clément,7442.0,Left Defensive Midfield,5,OGC Nice,136,['b4c87b61-8646-4692-827f-95e8914e186c'],44,,,,,,,,,,,,,,,,,,,Saint-Étienne,135,00:00:44.559,Duel,True
,,,,,,,,,,,,,True,,,,Success In Play,Tackle,0.0,,,,,,,,,,,,,,,,1ef8da60-78cc-4622-b0ab-a93dca2fafa4,44,,"[45.6, 71.0]",3829490,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Jérémy Pied,4270.0,Right Back,5,OGC Nice,136,['03bd95b1-cc09-4168-a30d-9bea76b8b622'],47,,,,,,,,,,,,,,,,,,,OGC Nice,136,00:00:47.956,Duel,True
,,,,,,,,,,,,,,,,,Success In Play,Tackle,0.0,,,,,,,,,,,,,,,,a55214a0-c70c-4981-ad46-7d6e68c7e539,84,,"[90.5, 60.7]",3829490,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Valentin Eysseric,4254.0,Center Attacking Midfield,7,OGC Nice,136,['d9402935-2c68-496f-b2a9-ea43f70a332f'],23,,,,,,,,,,,,,,,,,,,Saint-Étienne,135,00:01:23.524,Duel,True
,,,,,,,,,,,,,True,,,,Success In Play,Tackle,0.0,,,,,,,,,,,,,,,,ecee8a93-3d13-417a-9912-8a01ef17edee,93,,"[29.4, 11.2]",3829490,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Jean Michaël Seri,3359.0,Left Center Midfield,7,OGC Nice,136,['e43bc98a-c752-45af-bf40-364d2001af0b'],26,,,,,,,,,,,,,,,,,,,OGC Nice,136,00:01:26.805,Duel,True
,,,,,,,,,,,,,True,,,,,Aerial Lost,0.0,,,,,,,,,,,,,,,,969a61c3-8e01-4326-8cef-a36caa0f06a9,112,,"[33.0, 25.1]",3829490,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Vincent Koziello,4264.0,Right Center Midfield,10,Saint-Étienne,135,['7350613f-fb1e-4ad6-95e8-65c658b05b5d'],55,,,,,,,,,,,,,,,,,,,OGC Nice,136,00:01:55.704,Duel,True
,,,,,,,,,,,,,,,,,,Aerial Lost,0.0,,,,,,,,,,,,,,,,6097932f-df9e-4e69-ac55-13edeb7db907,140,,"[65.8, 49.1]",3829490,2,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Robert Berič,4601.0,Center Forward,10,Saint-Étienne,135,['28d95b1f-9ef4-44ed-87dc-89f91fcd7241'],19,,,,,,,,,,,,,,,,,,,Saint-Étienne,135,00:02:19.616,Duel,True
,,,,,,,,,,,,,,,,,Lost In Play,Tackle,0.0,,,,,,,,,,,,,,,,22904a46-84bb-49a3-ace3-00d3db26d2fd,193,,"[36.0, 18.7]",3829490,3,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Loïc Perrin,4263.0,Right Center Back,11,OGC Nice,136,['3ed53f0d-1f1e-4cba-a7fd-5faed1b3895c'],1,,,,,,,,,,,,,,,,,,,Saint-Étienne,135,00:03:01.382,Duel,True
