50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,9a49af80-be0e-46b0-b22d-24da82146a50,1,,,,3900542,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Caen,140,,0,,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 2963, 'name': 'Rémy Vercoutre'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 22111, 'name': 'Dennis Appiah'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 12}, {'player': {'id': 7444, 'name': 'Alaeddine Yahia'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 4386, 'name': 'Damien Da Silva'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 28}, {'player': {'id': 4474, 'name': 'Emmanuel Imorou'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 15}, {'player': {'id': 40698, 'name': 'Nicolas Seube'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 2}, {'player': {'id': 2955, 'name': 'Ronny Rodelin'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 23}, {'player': {'id': 2979, 'name': 'Jonathan Delaplace'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 2959, 'name': 'Julien Féret'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 25}, {'player': {'id': 2991, 'name': 'Hervé Bazile'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 20}, {'player': {'id': 3038, 'name': 'Andy Delort'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Caen,140,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,dd798894-40cf-4dd0-9187-c684d709c856,2,,,,3900542,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Caen,140,,0,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 40484, 'name': 'Vincent Enyeama'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6716, 'name': 'Sébastien Corchia'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 29057, 'name': 'Renato Civelli'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 3677, 'name': 'Bakary Adama Soumaoro'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 23}, {'player': {'id': 3446, 'name': 'Djibril Sidibé'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 19}, {'player': {'id': 40522, 'name': 'Rio Antonio Zoba Mavuba'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 24}, {'player': {'id': 3211, 'name': 'Florent Balmont'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 7441, 'name': 'Marvin Martin'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 3625, 'name': 'Sofiane Boufal'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 7}, {'player': {'id': 40486, 'name': 'Éric Bauthéac'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 3673, 'name': 'Yassine Benzia'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Lille,143,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,bbe53639-0c25-4d7f-86db-a760d18047c5,3,,,,3900542,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Caen,140,['ec35de88-0da9-4dd9-bca9-6c169b642fff'],0,,,,,,,,,,,,,,,,Lille,143,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,ec35de88-0da9-4dd9-bca9-6c169b642fff,4,,,,3900542,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Caen,140,['bbe53639-0c25-4d7f-86db-a760d18047c5'],0,,,,,,,,,,,,,,,,Caen,140,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,01a2477b-7d80-41fd-a8de-75a95435d5a4,1582,,,,3900542,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Keeper,,,,104,Lille,143,['47be658a-b99f-425c-97d3-f376bbe62407'],0,,,,,,,,,,,,,,,,Caen,140,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,47be658a-b99f-425c-97d3-f376bbe62407,1583,,,,3900542,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Keeper,,,,104,Lille,143,['01a2477b-7d80-41fd-a8de-75a95435d5a4'],0,,,,,,,,,,,,,,,,Lille,143,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.468719,,,,,,,,,,,,,679d72de-b908-4201-899d-2e3dd451c646,5,,,"[60.0, 40.0]",3900542,0,,,,,-1.3370532,,Right Foot,,,,"[60.5, 37.9]",,Ground Pass,,2.1587033,,,,Sofiane Boufal,3625.0,,,,,Kick Off,1,From Kick Off,Marvin Martin,7441.0,Left Center Midfield,2,Lille,143,['558b6982-3648-4741-b9a5-2a895b1887f2'],0,,,,,,,,,,,,,,,,Lille,143,00:00:00.274,Pass,
,,,,,,,,,,,,,,,,,,1.191866,,,,,,,,,,,,,25c4bab2-3d3a-42a8-a67b-99ce4ffcef2f,8,,,"[60.2, 37.6]",3900542,0,,,,,2.9967802,,Right Foot,,,,"[50.6, 39.0]",,Ground Pass,,9.701547,,,,Rio Antonio Zoba Mavuba,40522.0,,,,,,1,From Kick Off,Sofiane Boufal,3625.0,Right Wing,2,Lille,143,['64b93737-28b6-4692-90b0-4cce629d8a7a'],0,,,,,,,,,,,,,,,,Lille,143,00:00:00.782,Pass,
,,,,,,,,,,,,,,,,,,3.033819,,,,,,,,,,,,,8ea8c625-4e59-4bc2-9e82-ace56e50cb65,11,,,"[52.1, 39.0]",3900542,0,,,,,-0.48049995,,Right Foot,,,,"[87.4, 20.6]",,High Pass,,39.807663,,Unknown,,Yassine Benzia,3673.0,,,,,,1,From Kick Off,Rio Antonio Zoba Mavuba,40522.0,Center Defensive Midfield,2,Lille,143,['848b8446-aedd-4329-8101-c31377b44682'],2,,,,,,,,,,,,,,,,Lille,143,00:00:02.141,Pass,
,,,,,,,,,,,,,,,,,,3.056954,,,,,,,,,,,,,b95db1ba-84be-4eff-9954-b22106ce257d,15,,,"[33.9, 59.8]",3900542,0,,,,,0.1738542,,Right Foot,,,,"[89.7, 69.6]",,High Pass,,56.654037,,Incomplete,,Ronny Rodelin,2955.0,,,,,Free Kick,1,From Free Kick,Rémy Vercoutre,2963.0,Goalkeeper,3,Caen,140,"['3db97ff5-cb0c-4abe-894f-856a3f0976ed', '5e3a20e4-6445-4621-bfb8-8dc22bc3ae57']",24,,,,,,,,,,,,,,,,Caen,140,00:00:24.594,Pass,
