50_50,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,f7325441-f8ed-4fed-9100-bf0df77da2ab,1,,,3829446,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Troyes,133,,0,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 34953, 'name': 'Denis Petrić'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 30}, {'player': {'id': 3364, 'name': 'Jonathan Martins-Pereira'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 6}, {'player': {'id': 13730, 'name': 'Matthieu Saunier'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 18162, 'name': 'Chris Mavinga'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 148132, 'name': 'Quentin Othon'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 29}, {'player': {'id': 3002, 'name': 'Benjamin Nivet'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 10}, {'player': {'id': 7415, 'name': 'Jessy Pi'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 25}, {'player': {'id': 2993, 'name': 'Stéphane Darbion'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 8}, {'player': {'id': 7301, 'name': 'Lossémy Karaboué'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 24}, {'player': {'id': 3010, 'name': 'Corentin Jean'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 27}, {'player': {'id': 29133, 'name': 'Brayan Andrés Perea Vargas'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 13}]}",Troyes,133,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,f94b7af6-e3b2-4159-bc17-557de216ae04,2,,,3829446,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Troyes,133,,0,,,,,,,,,,,,,,,"{'formation': 4321, 'lineup': [{'player': {'id': 42428, 'name': 'Jonathan Ligali'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 30}, {'player': {'id': 3421, 'name': 'Bryan Dabo'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 14}, {'player': {'id': 3674, 'name': 'Vitorino Hilton da Silva'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 4669, 'name': 'William Jean Rémy'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 21}, {'player': {'id': 3676, 'name': 'Jérôme Roussillon'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 24}, {'player': {'id': 7590, 'name': 'Joris Marveaux'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 3682, 'name': 'Paul Lasne'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 17}, {'player': {'id': 2950, 'name': 'Jonas Martin'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 6661, 'name': 'Ryad Boudebouz'}, 'position': {'id': 18, 'name': 'Right Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 2980, 'name': 'Kévin Bérigaud'}, 'position': {'id': 20, 'name': 'Left Attacking Midfield'}, 'jersey_number': 26}, {'player': {'id': 3679, 'name': 'Souleymane Camara'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 19}]}",Montpellier,139,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,af02ec3e-1602-4de9-91d3-c1affdce76b5,3,,,3829446,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Troyes,133,['438c7216-fb24-4f8f-9f31-17f845e438e3'],0,,,,,,,,,,,,,,,,Troyes,133,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,438c7216-fb24-4f8f-9f31-17f845e438e3,4,,,3829446,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Troyes,133,['af02ec3e-1602-4de9-91d3-c1affdce76b5'],0,,,,,,,,,,,,,,,,Montpellier,139,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,31cc9899-77c0-4012-84a8-b71b5f01c78f,1804,,,3829446,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,95,Montpellier,139,['22b78491-5487-4582-873f-13c0fcc9350c'],0,,,,,,,,,,,,,,,,Montpellier,139,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,22b78491-5487-4582-873f-13c0fcc9350c,1805,,,3829446,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,95,Montpellier,139,['31cc9899-77c0-4012-84a8-b71b5f01c78f'],0,,,,,,,,,,,,,,,,Troyes,133,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,1.420504,,,,,,,,,,,7c6575d5-d82f-471f-b1de-efbaba7fae80,5,,"[60.0, 40.0]",3829446,0,,,,-2.0988708,,Right Foot,,,"[59.3, 38.8]",Ground Pass,,1.3892444,,,,Ryad Boudebouz,6661.0,,,,,,Kick Off,1,From Kick Off,Kévin Bérigaud,2980.0,Left Attacking Midfield,2,Montpellier,139,['f51d20d5-a6c1-4d73-81b6-855841f6d623'],0,,,,,,,,,,,,,,,,Montpellier,139,00:00:00.824,Pass,
,,,,,,,,,,,,,,,2.723389,,,,,,,,,,,f14cb65e-696e-437c-9315-98abb507a1d1,7,,"[63.4, 37.6]",3829446,0,,,,0.6753474,,Left Foot,,,"[103.6, 69.8]",High Pass,,51.506115,,Incomplete,,Souleymane Camara,3679.0,,,,,,,1,From Kick Off,Ryad Boudebouz,6661.0,Right Attacking Midfield,2,Montpellier,139,"['0de755c3-b30e-4a12-b420-a357e6901fe9', '18cf5a8b-6362-44a9-b089-2af7d5f49fb7']",2,,,,,,,,,,,,,,,,Montpellier,139,00:00:02.244,Pass,
,,,,,,,,,,,,,,,2.445208,,,,,,,,,,,0de755c3-b30e-4a12-b420-a357e6901fe9,9,,"[16.5, 10.3]",3829446,0,,,,1.8662372,,Head,,,"[10.9, 28.7]",Low Pass,,19.233305,,,,Denis Petrić,34953.0,,,,,,Recovery,1,From Kick Off,Quentin Othon,148132.0,Left Back,2,Montpellier,139,"['09d8bc81-bcc1-4ed6-a62b-bb9736fae424', 'f14cb65e-696e-437c-9315-98abb507a1d1']",4,,,,,,,,,,,,,,,,Troyes,133,00:00:04.968,Pass,
,,,,,,,,,,,,,,,3.703111,,,,,,,,,,,d9cf8293-b5fb-4c7c-9206-aec5c4704763,12,,"[15.5, 32.4]",3829446,0,,,,0.5587464,,Left Foot,,,"[76.6, 70.6]",High Pass,,72.058655,,Incomplete,,Stéphane Darbion,2993.0,,,,,,,1,From Kick Off,Denis Petrić,34953.0,Goalkeeper,2,Montpellier,139,"['06192da3-9962-4064-a1ac-1febdf941014', '8abe3429-0be6-4970-aac8-50d80aee7f37']",15,,,,,,,,,,,,,,,,Troyes,133,00:00:15.011,Pass,
