50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,118e5ea3-de8b-450d-bdce-3b523ee4023f,1,,,,3829433,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Montpellier,139,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 42428, 'name': 'Jonathan Ligali'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 30}, {'player': {'id': 3421, 'name': 'Bryan Dabo'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 14}, {'player': {'id': 3674, 'name': 'Vitorino Hilton da Silva'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 3011, 'name': 'Daniel Congré'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 3676, 'name': 'Jérôme Roussillon'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 24}, {'player': {'id': 3191, 'name': 'Ramy Bensebaini'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 15}, {'player': {'id': 2950, 'name': 'Jonas Martin'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 3682, 'name': 'Paul Lasne'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 17}, {'player': {'id': 6661, 'name': 'Ryad Boudebouz'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 34565, 'name': 'Anthony Mounier'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 7485, 'name': 'Djamel Bakar'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 28}]}",Montpellier,139,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,a23fc236-62fc-4d62-a05d-72e325173add,2,,,,3829433,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Montpellier,139,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 4440, 'name': 'Kevin Trapp'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 16}, {'player': {'id': 3481, 'name': 'Serge Aurier'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 19}, {'player': {'id': 3295, 'name': 'Thiago Emiliano da Silva'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 3956, 'name': 'David Luiz Moreira Marinho'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 32}, {'player': {'id': 26613, 'name': 'Maxwell Scherrer Cabelino Andrade'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 17}, {'player': {'id': 4325, 'name': 'Thiago Motta'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 4370, 'name': 'Javier Matías Pastore'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 27}, {'player': {'id': 4375, 'name': 'Blaise Matuidi'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 14}, {'player': {'id': 3745, 'name': 'Lucas Rodrigues Moura da Silva'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 7}, {'player': {'id': 351521, 'name': 'Ezequiel Iván Lavezzi'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 22}, {'player': {'id': 4319, 'name': 'Edinson Roberto Cavani Gómez'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Paris Saint-Germain,131,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,affddac3-e85c-46d6-8020-c0a8ab77c7a8,3,,,,3829433,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Montpellier,139,['ae5e8700-2742-4349-aa5b-3d9d57fc15e6'],0,,,,,,,,,,,,,,,,,Montpellier,139,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,ae5e8700-2742-4349-aa5b-3d9d57fc15e6,4,,,,3829433,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Montpellier,139,['affddac3-e85c-46d6-8020-c0a8ab77c7a8'],0,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,801f358c-27cb-43de-9180-8aa8c3c761cd,2053,,,,3829433,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,91,Paris Saint-Germain,131,['755d0438-8cf9-4a9e-9a4e-98a95afe5e83'],0,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,755d0438-8cf9-4a9e-9a4e-98a95afe5e83,2054,,,,3829433,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,91,Paris Saint-Germain,131,['801f358c-27cb-43de-9180-8aa8c3c761cd'],0,,,,,,,,,,,,,,,,,Montpellier,139,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.731363,,,,,,,,,,,,,35382c81-0400-4a11-879a-862462069c81,5,,,"[61.0, 40.1]",3829433,0,True,,,1.5707964,,Right Foot,,,,"[61.0, 43.1]",,Ground Pass,,3.0,,,,Edinson Roberto Cavani Gómez,4319.0,,,,,Kick Off,1,From Kick Off,Javier Matías Pastore,4370.0,Right Center Midfield,2,Paris Saint-Germain,131,['bc804547-6aa8-46db-8961-75cbe3177f1d'],0,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:00.837,Pass,
,,,,,,,,,,,,,,,,1.358317,,,,,,,,,,,,,01a7dee7-2cab-4bf2-81bb-398c6e9256e1,7,,,"[61.0, 45.2]",3829433,0,,,,-2.9288137,,Right Foot,,,,"[44.8, 41.7]",,Ground Pass,,16.573774,,,,Thiago Motta,4325.0,,,,,,1,From Kick Off,Edinson Roberto Cavani Gómez,4319.0,Center Forward,2,Paris Saint-Germain,131,['ca7dbc34-8492-4404-b824-d0753918cc09'],1,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:01.761,Pass,
,,,,,,,,,,,,,,,,0.746782,,,,,,,,,,,,,86e46b68-919f-45a0-966a-ec55beeed0ab,10,,,"[44.8, 41.7]",3829433,0,,,,-1.6605545,,Left Foot,,,,"[43.9, 31.7]",,Ground Pass,,10.040419,,,,Blaise Matuidi,4375.0,,,,,,1,From Kick Off,Thiago Motta,4325.0,Center Defensive Midfield,2,Paris Saint-Germain,131,['261d227c-78cc-450a-b516-1edc682380f0'],3,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:03.470,Pass,
,,,,,,,,,,,,,,,,1.356296,,,,,,,,,,,,,cb165126-1bcb-4274-be3c-c857dd49575e,13,,,"[43.9, 31.7]",3829433,0,,,,0.6656041,,Left Foot,,,,"[56.0, 41.2]",,Ground Pass,,15.383758,,,,Javier Matías Pastore,4370.0,,,,,,1,From Kick Off,Blaise Matuidi,4375.0,Left Center Midfield,2,Paris Saint-Germain,131,['676af490-55d8-48ff-ae39-38ab9856b35a'],6,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:06.184,Pass,
