50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,1.469624,,,,,,,,,,,,,,6873fcf7-1225-49c1-8ac0-8b2e40dd903e,18,,"[38.0, 69.8]",3900531,0,,,,0.52278906,,Right Foot,,,,"[49.8, 76.6]",Ground Pass,,13.619104,,,Stéphan Raheriharimanana,403377.0,,,,,Recovery,1,Regular Play,Romain Genevois,2971.0,Right Center Back,3,OGC Nice,136,['6b573790-8afb-479b-9b6c-12d3709f166f'],11,,,,,,,,,,,,,,,,,,OGC Nice,136,00:00:11.015,Pass,
,,,,,,,,,,,,,,,,0.605297,,,,,,,,,,,,,,6d7ac2cf-1fdd-4fa0-bb7e-44534fcf803c,22,,"[46.1, 75.7]",3900531,0,,,,0.56192154,,Right Foot,,,,"[51.5, 79.1]",Low Pass,,6.3812222,,,Ricardo Domingos Barbosa Pereira,6352.0,,,,,,1,Regular Play,Stéphan Raheriharimanana,403377.0,Right Defensive Midfield,3,OGC Nice,136,"['28e239d4-7c58-451c-9a42-122929bcb52a', 'a728eb52-066c-46a1-9b7e-dfd44ad6bfd6']",13,,,,,,,,,,,,,,,,,,OGC Nice,136,00:00:13.206,Pass,True
,,,,,,,,,,,,,,,,1.385793,,,,,,,,,,,,,,2258b0a3-1984-4a5e-9c80-8b00171c7849,26,,"[51.5, 78.8]",3900531,0,,,,-0.9902749,,Left Foot,,,,"[57.6, 69.5]",Ground Pass,,11.12205,,,Wallyson Teixeira Mallmann,134561.0,,,,,,1,Regular Play,Ricardo Domingos Barbosa Pereira,6352.0,Right Wing Back,3,OGC Nice,136,"['3a120e83-b668-4d54-94df-e53f7b58b418', 'dd34def6-5894-405b-b00c-be47b9338af5']",13,,,,,,,,,,,,,,,,,,OGC Nice,136,00:00:13.851,Pass,True
,,,,,,,,,,,,,,,,1.446889,,,,,,,,,,,,,,671ee989-287d-4e03-bc3e-e34ae738b283,30,,"[56.8, 67.6]",3900531,0,,,,-2.8549714,,Left Foot,,,,"[47.3, 64.8]",Ground Pass,,9.904039,,,Nampalys Mendy,4506.0,,,,,,1,Regular Play,Wallyson Teixeira Mallmann,134561.0,Center Attacking Midfield,3,OGC Nice,136,"['56e18b6d-6823-4ede-99f0-b4471ad39e8e', 'b3cff689-a3ba-44a4-b0f7-8fc1bb6d4492']",15,,,,,,,,,,,,,,,,,,OGC Nice,136,00:00:15.321,Pass,True
,,,,,,,,,,,,,,,,1.686726,,,,,,,,,,,,,,859467ed-1c25-429d-a791-21de015a7fb3,32,,"[47.0, 64.5]",3900531,0,,,,-0.6810742,,Right Foot,,,,"[83.4, 35.0]",High Pass,,46.85307,,Incomplete,Niklas Hult,16056.0,,,,,,1,Regular Play,Nampalys Mendy,4506.0,Left Defensive Midfield,3,OGC Nice,136,"['4fc76653-8b49-4fd2-9dc3-6325001ffc79', '84dd36f7-a103-4571-8ab7-9a627afea04f']",16,,,,,,,,,,,,,,,,,,OGC Nice,136,00:00:16.768,Pass,
,,,,,,,,,,,,,,,,0.802791,,,,,,,,,,,,,,95998397-ece4-4e42-b14c-f8505333211b,36,,"[38.3, 42.5]",3900531,0,,,,0.39810455,,Left Foot,,,,"[49.0, 47.0]",Ground Pass,,11.607756,,,Yann Jouffre,3102.0,,,,,,1,Regular Play,Pape Abdou Paye,7392.0,Right Back,4,Lorient,165,['ff39ea8d-6935-48da-a99f-22d9db7327e5'],19,,,,,,,,,,,,,,,,,,Lorient,165,00:00:19.622,Pass,
,,,,,,,,,,,,,,,,0.860621,,,,,,,,,,,,,,b27e25f2-5aa4-41d6-bf2a-5d521713b86e,39,,"[45.9, 47.6]",3900531,0,,,,2.4312413,,Left Foot,,,,"[31.6, 59.9]",Ground Pass,,18.862131,,,Pape Abdou Paye,7392.0,,,,,,1,Regular Play,Yann Jouffre,3102.0,Right Midfield,4,Lorient,165,['b56e26d4-c063-4b92-b7d9-6e6e1fcbd377'],21,,,,,,,,,,,,,,,,,,Lorient,165,00:00:21.089,Pass,
,,,,,,,,,,,,,,,,2.007382,,,,,,,,,,,,,,db5c997c-6b76-4b4e-b379-d8a8d493c27a,42,,"[27.4, 72.8]",3900531,0,,,,-2.2612429,,Left Foot,,,,"[10.3, 52.1]",Ground Pass,,26.84958,,,Benjamin Lecomte,3008.0,,,,,,1,Regular Play,Pape Abdou Paye,7392.0,Right Back,4,Lorient,165,['eed070cb-721e-4cd4-975f-da81217a0361'],23,,,,,,,,,,,,,,,,,,Lorient,165,00:00:23.618,Pass,
,,,,,,,,,,,,,,,,1.309568,,,,,,,,,,,,,,471ea0b2-6acc-423d-957b-e967c7855319,45,,"[10.3, 52.1]",3900531,0,,,,1.4350893,,Left Foot,,,,"[13.7, 77.0]",Ground Pass,,25.131056,,,Pape Abdou Paye,7392.0,,,,,,1,Regular Play,Benjamin Lecomte,3008.0,Goalkeeper,4,Lorient,165,['0180123f-aea1-44e9-b6b3-ab402239cda7'],25,,,,,,,,,,,,,,,,,,Lorient,165,00:00:25.708,Pass,
,,,,,,,,,,,,,,,,2.83441,,,,,,,,,,,,,,3935374a-adcd-4dae-9cc0-5f3b8568a1ad,48,,"[12.5, 77.0]",3900531,0,,,,-0.1393214,,Right Foot,,,,"[56.0, 70.9]",High Pass,,43.925617,,Incomplete,Benjamin Jeannot,3552.0,,,,,,1,Regular Play,Pape Abdou Paye,7392.0,Right Back,4,Lorient,165,"['553ad4be-b942-4c8c-8979-33430dfc4048', 'e92e3502-a3b9-4246-bd7b-a82fd313426a']",28,,,,,,,,,,,,,,,,,,Lorient,165,00:00:28.810,Pass,
,,,,,,,,,,,,,,,,1.143454,,,,,,,,,,,,,,553ad4be-b942-4c8c-8979-33430dfc4048,50,,"[64.1, 9.2]",3900531,0,,,True,-0.19586885,,,,,,"[76.7, 6.7]",Low Pass,,12.845622,,Incomplete,Nampalys Mendy,4506.0,,,,,Recovery,1,Regular Play,Maxime Le Marchand,3229.0,Left Center Back,4,Lorient,165,"['290022ec-4015-4b0f-b6b5-77adf7b4d5f1', '3935374a-adcd-4dae-9cc0-5f3b8568a1ad', '4e01aaa4-1c8f-4b85-86b7-fc74a14c2dea', '6f049160-eb2e-43c8-b601-67aa3c75f7e7']",31,,,,,,,,,,,,,,,,,,OGC Nice,136,00:00:31.645,Pass,True
,,,,,,,,,,,,,,,,2.528508,,,,,,,,,,,,,,290022ec-4015-4b0f-b6b5-77adf7b4d5f1,53,,"[43.4, 73.4]",3900531,0,,,,-0.86869293,,Left Foot,,,,"[68.1, 44.2]",High Pass,,38.245655,,Incomplete,Benjamin Moukandjo Bilé,33178.0,,,,,Recovery,1,Regular Play,Yann Jouffre,3102.0,Right Midfield,4,Lorient,165,"['553ad4be-b942-4c8c-8979-33430dfc4048', '60251fec-6df4-49cb-b5d4-e47e24a633ce', '8c7d7c03-be7d-43d3-86f1-0a05df3d954b']",32,,,,,,,,,,,,,,,,,,Lorient,165,00:00:32.788,Pass,
,,,,,,,,,,,,,,,,0.720752,,,,,,,,,,,,,,7a2af34e-9057-47c2-8169-1ab602d8c06c,57,,"[60.2, 32.2]",3900531,0,,,,0.3296244,,Right Foot,,,,"[79.2, 38.7]",Ground Pass,,20.081085,,,Alexandre Mendy,3403.0,,,,,,1,Regular Play,Paul Baysse,4443.0,Center Back,4,Lorient,165,['b60f4475-7962-41f8-beb6-bc6b458edd69'],36,,,,,,,,,,,,,,,,,,OGC Nice,136,00:00:36.901,Pass,
