50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,9ce90192-081e-49cf-b882-9e304830ef44,1,,,3900603,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Toulouse,130,,0,,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 2981, 'name': 'Alban Lafont'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 40}, {'player': {'id': 3030, 'name': 'Wergiton do Rosário Calmon'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 19}, {'player': {'id': 4349, 'name': 'Issa Diop'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 8677, 'name': 'Marcel Tisserand'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 26}, {'player': {'id': 44065, 'name': 'William Matheus da Silva'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 6}, {'player': {'id': 31174, 'name': 'Jean-Daniel Akpa Akpro'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 7}, {'player': {'id': 16418, 'name': 'Adrien Regattin'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 17}, {'player': {'id': 16522, 'name': 'Tongo Hamed Doumbia'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 4447, 'name': 'Martin Braithwaite Christensen'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 9}, {'player': {'id': 3032, 'name': 'Zinédine Machach'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 13}, {'player': {'id': 6723, 'name': 'Wissam Ben Yedder'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Toulouse,130,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,9f21d56a-a1e5-42a5-afd3-5dc265476a1a,2,,,3900603,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Toulouse,130,,0,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 3322, 'name': 'Jonas Lössl'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 20199, 'name': 'Lars Christian Jacobsen'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 2936, 'name': 'Christophe Kerbrat'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 29}, {'player': {'id': 3124, 'name': 'Jérémy Sorbon'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 30182, 'name': 'Dorian Lévêque'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 7}, {'player': {'id': 401512, 'name': 'Lionel Mathis'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 3348, 'name': 'Younousse Sankharé'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 13}, {'player': {'id': 3122, 'name': 'Yannis Salibur'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 19}, {'player': {'id': 4434, 'name': 'Thibault Giresse'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 26}, {'player': {'id': 3213, 'name': 'Jimmy Briand'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 23}, {'player': {'id': 4799, 'name': 'Sloan Privat'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 11}]}",Guingamp,142,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,513d5fa7-f57a-419b-b3fa-6577458809a3,3,,,3900603,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Toulouse,130,['4542ba7f-7da9-4247-853e-f1b1ccdf4e1e'],0,,,,,,,,,,,,,,,,Guingamp,142,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,4542ba7f-7da9-4247-853e-f1b1ccdf4e1e,4,,,3900603,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Toulouse,130,['513d5fa7-f57a-419b-b3fa-6577458809a3'],0,,,,,,,,,,,,,,,,Toulouse,130,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,39c4852c-ac90-4c5a-9d53-f058236f204f,1675,,,3900603,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,115,Toulouse,130,['7770f960-e125-4956-a15b-d5dfa4f304c5'],0,,,,,,,,,,,,,,,,Guingamp,142,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,7770f960-e125-4956-a15b-d5dfa4f304c5,1676,,,3900603,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,115,Toulouse,130,['39c4852c-ac90-4c5a-9d53-f058236f204f'],0,,,,,,,,,,,,,,,,Toulouse,130,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.575884,,,,,,,,,,,,,acc2a27b-183c-4d00-bf4d-2a6cd423f7cb,5,,"[61.0, 40.1]",3900603,0,,,,,-1.9890207,,Right Foot,,,"[59.8, 37.4]",,Ground Pass,,2.9546573,,,,Sloan Privat,4799.0,,,,,Kick Off,1,From Kick Off,Jimmy Briand,3213.0,Right Center Forward,2,Guingamp,142,['5efc05c1-b6b5-4057-b5f2-d20c1665ac42'],0,,,,,,,,,,,,,,,,Guingamp,142,00:00:00.035,Pass,
,,,,,,,,,,,,,,,,2.68843,,,,,,,,,,,,,935784d3-eab4-4a19-9f2c-26cd9090e4aa,8,,"[58.2, 38.3]",3900603,0,,,,,2.7126958,,Left Foot,,,"[38.3, 47.4]",,Ground Pass,,21.881956,,,,Christophe Kerbrat,2936.0,,,,,,1,From Kick Off,Sloan Privat,4799.0,Left Center Forward,2,Guingamp,142,['ce6e83c5-cc40-4509-993f-4a6aa4114bba'],0,,,,,,,,,,,,,,,,Guingamp,142,00:00:00.651,Pass,
,,,,,,,,,,,,,,,,2.946415,,,,,,,,,,,,,37191b88-b13f-4b00-8266-29692c84c0ab,12,,"[41.4, 50.9]",3900603,0,,,,,-0.1384026,,Right Foot,,,"[89.5, 44.2]",,High Pass,,48.564392,,Incomplete,,Sloan Privat,4799.0,,,,,,1,From Kick Off,Christophe Kerbrat,2936.0,Right Center Back,2,Guingamp,142,"['7f3727f8-df65-4254-b925-a5c0e605cf7b', 'a5b051c5-a6a4-4066-b5eb-060430c2425c', 'dee5059f-831f-4981-a6f1-c208d3bd7784']",4,,,,,,,,,,,,,,,,Guingamp,142,00:00:04.713,Pass,True
,,,,,,,,,,,,,,,,1.136061,,,,,,,,,,,,,dee5059f-831f-4981-a6f1-c208d3bd7784,15,,"[30.6, 35.9]",3900603,0,,,,True,0.4069708,,,,,"[42.2, 40.9]",,Low Pass,,12.631706,,Incomplete,,Adrien Regattin,16418.0,,,,,Recovery,1,From Kick Off,Issa Diop,4349.0,Right Center Back,2,Guingamp,142,"['0736d26a-cbae-4a72-94e7-af989a336aa8', '37191b88-b13f-4b00-8266-29692c84c0ab', 'c952507a-289c-41bf-b2ed-55c40c37f41d', 'fb853224-a4fe-4f22-8b51-8d4de1bbe89f']",7,,,,,,,,,,,,,,,,Toulouse,130,00:00:07.660,Pass,True
