50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,62532bb9-db71-4cbf-8c32-709b22f5e59e,1,,,,3901217,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Troyes,133,,0,,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 36553, 'name': 'Matthieu Dreyer'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 4413, 'name': 'Aloïs Confais'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 33}, {'player': {'id': 401472, 'name': 'Carlos Eduardo de Castro Lourenço'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 11}, {'player': {'id': 13730, 'name': 'Matthieu Saunier'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 18162, 'name': 'Chris Mavinga'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 7283, 'name': 'Thiago Xavier Rodrigues Corrêa'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 7415, 'name': 'Jessy Pi'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 25}, {'player': {'id': 2993, 'name': 'Stéphane Darbion'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 8}, {'player': {'id': 3002, 'name': 'Benjamin Nivet'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 401470, 'name': 'Fabien Camus'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 23}, {'player': {'id': 3010, 'name': 'Corentin Jean'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 27}]}",Troyes,133,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,07f63455-c944-4292-b14a-66dfab25229d,2,,,,3901217,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Troyes,133,,0,,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 7641, 'name': 'Johann Carrasso'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 131849, 'name': 'Antoine Conte'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 28}, {'player': {'id': 6648, 'name': 'Aïssa Mandi'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 23}, {'player': {'id': 7435, 'name': 'Anthony Weber'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 25}, {'player': {'id': 40521, 'name': 'Franck Signorino'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 4545, 'name': 'Prince Oniangué'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 46801, 'name': 'Jaba Kankava'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 23761, 'name': 'Alhassane Bangoura'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 14}, {'player': {'id': 7815, 'name': 'Antoine Devaux'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 6}, {'player': {'id': 4383, 'name': 'Nicolas de Roussel de Préville'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 12}, {'player': {'id': 26775, 'name': 'Thievy Guivane Bifouma Koulossa'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Stade de Reims,156,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,8988788c-df1f-4657-8bf4-36e70e249731,3,,,,3901217,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Troyes,133,['af05b3d4-2b74-4031-82af-d45fbd61fcfd'],0,,,,,,,,,,,,,,,,,,,Stade de Reims,156,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,af05b3d4-2b74-4031-82af-d45fbd61fcfd,4,,,,3901217,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Troyes,133,['8988788c-df1f-4657-8bf4-36e70e249731'],0,,,,,,,,,,,,,,,,,,,Troyes,133,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,d6db04fe-bee0-4766-865e-d08e89cc5e94,1590,,,,3901217,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,90,Stade de Reims,156,['939b08ed-701a-49de-aa40-f46aa47cd9b2'],0,,,,,,,,,,,,,,,,,,,Stade de Reims,156,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,939b08ed-701a-49de-aa40-f46aa47cd9b2,1591,,,,3901217,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,90,Stade de Reims,156,['d6db04fe-bee0-4766-865e-d08e89cc5e94'],0,,,,,,,,,,,,,,,,,,,Troyes,133,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.795988,,,,,,,,,,,,,,,,910d115f-966f-4927-ab54-99eaebe962cb,5,,,"[60.0, 40.0]",3901217,0,,True,,,2.2706892,,Right Foot,,,"[58.4, 41.9]",,Ground Pass,,2.4839485,,,Prince Oniangué,4545.0,,,,,Kick Off,1,From Kick Off,Thievy Guivane Bifouma Koulossa,26775.0,Center Forward,2,Stade de Reims,156,['84e3e6b6-0670-4bd9-af01-7b3dbdf73a70'],0,,,,,,,,,,,,,,,,,,,Stade de Reims,156,00:00:00.797,Pass,
,,,,,,,,,,,,,,,,,,1.776479,,,,,,,,,,,,,,,,37d7fbf4-ea0b-4baa-9217-2abfdb4064b7,7,,,"[58.0, 42.2]",3901217,0,,,,,-2.5571082,,Right Foot,,,"[31.7, 24.8]",,Ground Pass,,31.5349,,,Anthony Weber,7435.0,,,,,,1,From Kick Off,Prince Oniangué,4545.0,Right Defensive Midfield,2,Stade de Reims,156,['fa88112e-9127-419a-b46b-ff4d61e49bbf'],1,,,,,,,,,,,,,,,,,,,Stade de Reims,156,00:00:01.634,Pass,
,,,,,,,,,,,,,,,,,,2.951831,,,,,,,,,,,,,,,,f95f5279-ffe0-49e8-8a92-7b5b88479add,10,,,"[35.7, 26.1]",3901217,0,,,,,-0.4751617,,Right Foot,,,"[80.6, 3.0]",,High Pass,,50.493763,,,Nicolas de Roussel de Préville,4383.0,,,,,,1,From Kick Off,Anthony Weber,7435.0,Left Center Back,2,Stade de Reims,156,['9b91956d-6d77-4561-984e-69543723c08a'],4,,,,,,,,,,,,,,,,,,,Stade de Reims,156,00:00:04.606,Pass,
,,,,,,,,,,,,,,,,,,1.189599,,,,,,,,,,,,,,,,0c01aec2-7055-40aa-8b38-0f59a3febfe7,13,,,"[80.0, 3.0]",3901217,0,,,,True,1.2041081,,,,,"[85.3, 16.8]",,Low Pass,,14.782761,,,Antoine Devaux,7815.0,,,,,,1,From Kick Off,Nicolas de Roussel de Préville,4383.0,Left Wing,2,Stade de Reims,156,"['207256bd-e020-476f-8d5b-26fe4ede15e3', 'f01327f5-770a-49ca-a607-6bbf620cb8f9']",7,,,,,,,,,,,,,,,,,,,Stade de Reims,156,00:00:07.557,Pass,True
