ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,3dc4285b-6449-4421-8265-cf47043cbecc,1,,,,3900540,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,OGC Nice,136,,0,,,,,,,,,,,,,,,,,,"{'formation': 3412, 'lineup': [{'player': {'id': 4257, 'name': 'Yoan Cardinale'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 30}, {'player': {'id': 4443, 'name': 'Paul Baysse'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 4373, 'name': 'Mathieu Bodmer'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 24}, {'player': {'id': 3229, 'name': 'Maxime Le Marchand'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 20}, {'player': {'id': 2971, 'name': 'Romain Genevois'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 25}, {'player': {'id': 16056, 'name': 'Niklas Hult'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 13}, {'player': {'id': 4264, 'name': 'Vincent Koziello'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 26}, {'player': {'id': 4506, 'name': 'Nampalys Mendy'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 22}, {'player': {'id': 3359, 'name': 'Jean Michaël Seri'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 6}, {'player': {'id': 16462, 'name': 'Hatem Ben Arfa'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 9}, {'player': {'id': 3210, 'name': 'Valère Germain'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 28}]}",OGC Nice,136,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,3df90821-7cd8-47da-a86c-fade46c0b6d9,2,,,,3900540,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,OGC Nice,136,,0,,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 4440, 'name': 'Kevin Trapp'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 16}, {'player': {'id': 3481, 'name': 'Serge Aurier'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 19}, {'player': {'id': 4372, 'name': 'Marcos Aoás Corrêa'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 3295, 'name': 'Thiago Emiliano da Silva'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 2}, {'player': {'id': 4326, 'name': 'Layvin Kurzawa'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 20}, {'player': {'id': 4325, 'name': 'Thiago Motta'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 8515, 'name': 'Benjamin Stambouli'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 4375, 'name': 'Blaise Matuidi'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 14}, {'player': {'id': 2995, 'name': 'Ángel Fabián Di María Hernández'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 11}, {'player': {'id': 4319, 'name': 'Edinson Roberto Cavani Gómez'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 9}, {'player': {'id': 3672, 'name': 'Zlatan Ibrahimović'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Paris Saint-Germain,131,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,c23e0254-ee47-4885-b77b-909a4f36c33e,3,,,,3900540,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,OGC Nice,136,['4993dec5-9b9e-444f-8f56-8a84aa55ce70'],0,,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,4993dec5-9b9e-444f-8f56-8a84aa55ce70,4,,,,3900540,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,OGC Nice,136,['c23e0254-ee47-4885-b77b-909a4f36c33e'],0,,,,,,,,,,,,,,,,,,,OGC Nice,136,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,98d81054-7e6e-4953-89be-9c76cd7e7700,1890,,,,3900540,45,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,90,Paris Saint-Germain,131,['ac5057d6-b850-4e47-9c90-1229080a145d'],0,,,,,,,,,,,,,,,,,,,OGC Nice,136,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,ac5057d6-b850-4e47-9c90-1229080a145d,1891,,,,3900540,45,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,90,Paris Saint-Germain,131,['98d81054-7e6e-4953-89be-9c76cd7e7700'],0,,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.71803,,,,,,,,,,,,,,,041d4d60-0c37-46e5-9fa9-a8a374583cd1,5,,,"[60.0, 40.0]",3900540,0,True,,,1.4288993,,Right Foot,,,"[60.2, 41.4]",,Ground Pass,,1.4142135,,,Valère Germain,3210.0,,,,,Kick Off,1,From Kick Off,Hatem Ben Arfa,16462.0,Right Center Forward,2,OGC Nice,136,['8f1d1800-7783-4910-beb6-99f44e885913'],2,,,,,,,,,,,,,,,,,,,OGC Nice,136,00:00:02.508,Pass,
,,,,,,,,,,,,,,,2.668372,,,,,,,,,,,,,,,ed36d0e3-2d36-46e2-b1dd-215a6bfc5420,7,,,"[67.1, 41.3]",3900540,0,,,,0.79064745,,Right Foot,,,"[105.0, 79.6]",,High Pass,,53.88228,Out,,Romain Genevois,2971.0,,,,,,1,From Kick Off,Valère Germain,3210.0,Left Center Forward,2,OGC Nice,136,['65a1b1d8-ff33-4f64-92b1-14771a492b4b'],3,,,,,,,,,,,,,,,,,,,OGC Nice,136,00:00:03.572,Pass,
,,,,,,,,,,,,,,,2.53822,,,,,,,,,,,,,,,b4fe8cb7-d28c-447d-9437-d3a625ae1186,9,,,"[10.8, 0.1]",3900540,0,,,,1.6136273,,,,,"[9.9, 21.1]",,Low Pass,,21.019278,,,Thiago Emiliano da Silva,3295.0,,,,,Throw-in,1,From Throw In,Layvin Kurzawa,4326.0,Left Back,3,Paris Saint-Germain,131,['0ecded2b-077a-403e-b13e-bded2a50ea90'],12,,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:12.075,Pass,
,,,,,,,,,,,,,,,2.798242,,,,,,,,,,,,,,,ca9606f7-f080-43c1-809b-16bdc1be4147,12,,,"[14.1, 23.2]",3900540,0,,,,0.26085034,,Right Foot,,,"[64.3, 36.6]",,High Pass,,51.957676,,,Zlatan Ibrahimović,3672.0,,,,,,1,From Throw In,Thiago Emiliano da Silva,3295.0,Left Center Back,3,Paris Saint-Germain,131,['6e256fa2-39b1-4e08-8605-288496a48c95'],14,,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:14.614,Pass,
