50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,46e8abd0-6045-4c67-b2f7-f057843e7e7f,1,,,3901191,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,OGC Nice,136,,0,,,,,,,,,,,,,,,,"{'formation': 41212, 'lineup': [{'player': {'id': 4257, 'name': 'Yoan Cardinale'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 30}, {'player': {'id': 6352, 'name': 'Ricardo Domingos Barbosa Pereira'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 23}, {'player': {'id': 4443, 'name': 'Paul Baysse'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 3229, 'name': 'Maxime Le Marchand'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 20}, {'player': {'id': 4270, 'name': 'Jérémy Pied'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 29}, {'player': {'id': 4506, 'name': 'Nampalys Mendy'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 22}, {'player': {'id': 3136, 'name': 'Rémi Walter'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 18}, {'player': {'id': 3359, 'name': 'Jean Michaël Seri'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 16462, 'name': 'Hatem Ben Arfa'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 9}, {'player': {'id': 3210, 'name': 'Valère Germain'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 28}, {'player': {'id': 3230, 'name': 'Alassane Pléa'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 14}]}",OGC Nice,136,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,e7a00931-2161-42bb-83fe-19cf6d227190,2,,,3901191,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,OGC Nice,136,,0,,,,,,,,,,,,,,,,"{'formation': 352, 'lineup': [{'player': {'id': 401508, 'name': 'Clément Maury'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 2953, 'name': 'Abdou Kader Mangane'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 15}, {'player': {'id': 7603, 'name': 'Jérémie Bréchet'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 5}, {'player': {'id': 3207, 'name': 'Pablo Jean Antoine Martínez'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 21}, {'player': {'id': 90746, 'name': 'Alassane Touré'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 13}, {'player': {'id': 4352, 'name': 'Issiaga Sylla'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 3}, {'player': {'id': 401507, 'name': 'Jérôme Le Moigne'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 401509, 'name': 'David Ducourtioux'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 10616, 'name': 'Mohamed Larbi'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 5726, 'name': 'Khalid Boutaïb'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 9}, {'player': {'id': 401505, 'name': 'Jacques Zoua Daogari'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 19}]}",Gazélec Ajaccio,160,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,6a96036c-9657-48d5-90ce-f686018b2176,3,,,3901191,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,OGC Nice,136,['c8f1ad71-a71d-4f07-9db1-fe859d5f56fa'],0,,,,,,,,,,,,,,,,,OGC Nice,136,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,c8f1ad71-a71d-4f07-9db1-fe859d5f56fa,4,,,3901191,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,OGC Nice,136,['6a96036c-9657-48d5-90ce-f686018b2176'],0,,,,,,,,,,,,,,,,,Gazélec Ajaccio,160,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,c2c56593-ff97-4381-8c1f-8d82b509413f,2038,,,3901191,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,88,OGC Nice,136,['65742b23-0088-4ea4-8465-b9c6959716e7'],0,,,,,,,,,,,,,,,,,OGC Nice,136,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,65742b23-0088-4ea4-8465-b9c6959716e7,2039,,,3901191,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,88,OGC Nice,136,['c2c56593-ff97-4381-8c1f-8d82b509413f'],0,,,,,,,,,,,,,,,,,Gazélec Ajaccio,160,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.57938,,,,,,,,,,,,,,fb983785-8bc0-40aa-9e5b-5191bc32552d,5,,"[61.0, 40.1]",3901191,0,True,,,1.7506498,,Right Foot,,,,"[60.4, 43.4]",,Ground Pass,,3.354102,,,,Khalid Boutaïb,5726.0,,,,,Kick Off,1,From Kick Off,Jacques Zoua Daogari,401505.0,Left Center Forward,2,Gazélec Ajaccio,160,['e5e4133d-f4ce-4149-9f06-b0eab48d0c34'],0,,,,,,,,,,,,,,,,,Gazélec Ajaccio,160,00:00:00.551,Pass,
,,,,,,,,,,,,,,,,0.87156,,,,,,,,,,,,,,0339014f-6b74-4e32-ac15-170864e3e8f3,7,,"[58.4, 40.4]",3901191,0,,,,-3.0672617,,Right Foot,,,,"[49.0, 39.7]",,Ground Pass,,9.426028,,,,Mohamed Larbi,10616.0,,,,,,1,From Kick Off,Khalid Boutaïb,5726.0,Right Center Forward,2,Gazélec Ajaccio,160,['db42c4bb-ae80-4144-a19b-12a8ea8d3963'],1,,,,,,,,,,,,,,,,,Gazélec Ajaccio,160,00:00:01.234,Pass,
,,,,,,,,,,,,,,,,1.264028,,,,,,,,,,,,,,a4105827-8fe4-4c64-b4f9-a53c5aac6b9d,11,,"[49.0, 39.3]",3901191,0,,,,-3.09591,,Right Foot,,,,"[31.5, 38.5]",,Ground Pass,,17.518276,,,,Jérémie Bréchet,7603.0,,,,,,1,From Kick Off,Mohamed Larbi,10616.0,Left Center Midfield,2,Gazélec Ajaccio,160,"['036b53df-8206-4bd5-9599-f3735ac49294', '6a4de2a4-cc07-43d8-ba75-8d9fe0e46557']",3,,,,,,,,,,,,,,,,,Gazélec Ajaccio,160,00:00:03.125,Pass,True
,,,,,,,,,,,,,,,,2.899473,,,,,,,,,,,,,,10f15065-b68c-4eba-be30-ffd26e9ec3cf,14,,"[30.6, 48.3]",3901191,0,,,,0.33183667,,Right Foot,,,,"[72.1, 62.6]",,High Pass,,43.894646,,Incomplete,,Khalid Boutaïb,5726.0,,,,,,1,From Kick Off,Jérémie Bréchet,7603.0,Center Back,2,Gazélec Ajaccio,160,"['4b85a271-3c9e-43b8-8451-4d8348290698', 'd677953e-a511-4755-b1d7-a65829fb2121']",5,,,,,,,,,,,,,,,,,Gazélec Ajaccio,160,00:00:05.780,Pass,
