50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.718781,,,,,,,,,,,,,,,69d54d1b-5e07-4077-839c-466e82335883,167,,"[27.8, 31.9]",3900580,3,,,,-0.3655182,,Left Foot,,,"[35.9, 28.8]",,Ground Pass,,8.672946,,,Jean Michaël Seri,3359.0,,,,,Recovery,1,Regular Play,Niklas Hult,16056.0,Left Back,8,OGC Nice,136,"['17ab137c-3b65-4937-9b28-9ebcda6ee09a', 'f2579540-2125-4c58-8022-709f4c3da0c3']",8,,,,,,,,,,,,,,,,,OGC Nice,136,00:03:08.539,Pass,True
,,,,,,,,,,,,,,,,,,0.072879,,,,,,,,,,,,,,,008ca7e3-b7c1-45f5-89ae-2680437b7991,172,,"[26.8, 27.0]",3900580,3,,,,2.7610862,,Right Foot,,,"[24.3, 28.0]",,Ground Pass,,2.6925824,,Incomplete,Yoan Cardinale,4257.0,,,,,,1,Regular Play,Jean Michaël Seri,3359.0,Left Center Midfield,8,OGC Nice,136,"['6301657f-cdbe-4182-9223-7ef35ff46c6b', '9210f2ff-9570-4a7c-8d82-446ce97b0c20']",11,,,,,,,,,,,,,,,,,OGC Nice,136,00:03:11.970,Pass,
,,,,,,,,,,,,,,,,,,3.485737,,,,,,,,,,,,,,,9886ae2f-4377-45ee-9952-a4fdccddee79,175,,"[6.0, 36.0]",3900580,3,,,,-0.15694766,,Right Foot,,,"[65.4, 26.6]",,High Pass,,60.13917,,,Alexandre Mendy,3403.0,,,,,Goal Kick,1,From Goal Kick,Yoan Cardinale,4257.0,Goalkeeper,9,OGC Nice,136,['d912c75b-3609-4894-9bd8-89aad8e39685'],38,,,,,,,,,,,,,,,,,OGC Nice,136,00:03:38.330,Pass,
,,,,,,,,,,,,,,,,,,0.554418,,,,,,,,,,,,,,,02f1a335-f19a-466b-96da-9d42377d9735,178,,"[65.4, 26.6]",3900580,3,,,True,0.4767473,,,,,"[74.5, 31.3]",,Low Pass,,10.24207,,Incomplete,Valère Germain,3210.0,,,,,,1,From Goal Kick,Alexandre Mendy,3403.0,Left Center Forward,9,OGC Nice,136,"['30ed6c3b-e608-4c2b-98ce-a93bb78c47a4', '5a81a071-b6f0-4390-99f6-d6a61d80197a', '6ac4be83-b06d-4921-9746-876ac028ceae']",41,,,,,,,,,,,,,,,,,OGC Nice,136,00:03:41.816,Pass,True
,,,,,,,,,,,,,,,,,,2.137567,,,,,,,,,,,,,,,5a81a071-b6f0-4390-99f6-d6a61d80197a,180,,"[45.6, 48.8]",3900580,3,,,,1.6332152,,Right Foot,,,"[44.2, 71.2]",,Low Pass,,22.443707,,,Vincent Manceau,3431.0,,,,,Recovery,1,Regular Play,Romain Saïss,5219.0,Center Defensive Midfield,10,Angers,145,"['02f1a335-f19a-466b-96da-9d42377d9735', '8ad0c84d-7fd9-4afe-b6b8-d6d293b8874a']",42,,,,,,,,,,,,,,,,,Angers,145,00:03:42.370,Pass,
,,,,,,,,,,,,,,,,,,0.961447,,,,,,,,,,,,,,,0c360fe6-9f7e-4b4b-bb8f-1208fdc3be20,183,,"[47.0, 75.9]",3900580,3,,True,,0.8502422,,Right Foot,,,"[50.6, 80.0]",,Ground Pass,,5.456189,,Injury Clearance,,,,,,,,1,Regular Play,Vincent Manceau,3431.0,Right Back,10,Angers,145,,45,,,,,,,,,,,,,,,,,Angers,145,00:03:45.952,Pass,
,,,,,,,,,,,,,,,,,,2.879904,,,,,,,,,,,,,,,a52ffc57-e6f1-4ea4-933e-da516fcc07a9,186,,"[70.7, 0.1]",3900580,4,True,,,0.5997262,,,,,"[103.9, 22.8]",,Low Pass,,40.21853,,Injury Clearance,,,,,,,Throw-in,1,From Throw In,Jean Michaël Seri,3359.0,Left Center Midfield,11,OGC Nice,136,,12,,,,,,,,,,,,,,,,,OGC Nice,136,00:04:12.016,Pass,
,,,,,,,,,,,,,,,,,,1.209138,,,,,,,,,,,,,,,d537017e-2539-4207-adfd-0481122aeee7,188,,"[15.0, 57.4]",3900580,4,,,,0.5611634,,Keeper Arm,,,"[22.0, 61.8]",,Ground Pass,,8.268011,,,Ismaël Traoré,3045.0,,,,,,1,Regular Play,Alexandre Letellier,3432.0,Goalkeeper,12,Angers,145,['a4a1218b-7383-474b-b07d-579bb66a1fa2'],15,,,,,,,,,,,,,,,,,Angers,145,00:04:15.392,Pass,
,,,,,,,,,,,,,,,,,,1.366449,,,,,,,,,,,,,,,0654ae36-af0d-4f27-afee-4379ea2a7bb5,191,,"[22.5, 61.8]",3900580,4,,,,-0.27733535,,Left Foot,,,"[36.2, 57.9]",,Ground Pass,,14.244297,,,Romain Saïss,5219.0,,,,,,1,Regular Play,Ismaël Traoré,3045.0,Right Center Back,12,Angers,145,['4ec26791-694b-4c03-aba2-2d9838e704d0'],17,,,,,,,,,,,,,,,,,Angers,145,00:04:17.921,Pass,
,,,,,,,,,,,,,,,,,,1.893395,,,,,,,,,,,,,,,3680a5f1-a438-4489-92e5-80dd6896d4e4,194,,"[33.1, 65.7]",3900580,4,,,,0.06241881,,Right Foot,,,"[60.3, 67.4]",,High Pass,,27.253073,,,Gilles Sunu,3111.0,,,,,,1,Regular Play,Romain Saïss,5219.0,Center Defensive Midfield,12,Angers,145,['b553ce55-7522-467a-a09e-68843541ae91'],22,,,,,,,,,,,,,,,,,Angers,145,00:04:22.010,Pass,
,,,,,,,,,,,,,,,,,,0.770365,,,,,,,,,,,,,,,1842320b-2fae-4628-93d6-f626ffd84467,200,,"[63.6, 13.8]",3900580,4,,,,2.2281854,,Right Foot,,,"[59.2, 19.5]",,Ground Pass,,7.2006946,,,Nampalys Mendy,4506.0,,,,,Recovery,1,Regular Play,Jean Michaël Seri,3359.0,Left Center Midfield,13,OGC Nice,136,['33507d93-e520-478d-9a4d-2a43f18aec46'],25,,,,,,,,,,,,,,,,,OGC Nice,136,00:04:25.252,Pass,
,,,,,,,,,,,,,,,,,,0.720332,,,,,,,,,,,,,,,ea412560-f641-471a-8809-9d283cd78f61,204,,"[58.9, 19.9]",3900580,4,,,,1.436025,,Right Foot,,,"[59.7, 25.8]",,Ground Pass,,5.9539905,,,Vincent Koziello,4264.0,,,,,,1,Regular Play,Nampalys Mendy,4506.0,Center Defensive Midfield,13,OGC Nice,136,['baa843df-d340-444d-ba79-5e2028f95928'],26,,,,,,,,,,,,,,,,,OGC Nice,136,00:04:26.613,Pass,
