50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,3bc52171-0e65-4fd4-92db-1e319e82d110,1,,,3901258,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Guingamp,142,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 3322, 'name': 'Jonas Lössl'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3364, 'name': 'Jonathan Martins-Pereira'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 22}, {'player': {'id': 2936, 'name': 'Christophe Kerbrat'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 29}, {'player': {'id': 3124, 'name': 'Jérémy Sorbon'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 20199, 'name': 'Lars Christian Jacobsen'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 2}, {'player': {'id': 3121, 'name': 'Moustapha Elhadji Diallo'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 3348, 'name': 'Younousse Sankharé'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 13}, {'player': {'id': 3235, 'name': 'Ludovic Blas'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 21}, {'player': {'id': 4434, 'name': 'Thibault Giresse'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 26}, {'player': {'id': 20027, 'name': 'Mevlüt Erdinç'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 28}, {'player': {'id': 3213, 'name': 'Jimmy Briand'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 23}]}",Guingamp,142,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,643a7633-25f0-44b6-8a83-ec6a906a3366,2,,,3901258,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Guingamp,142,,0,,,,,,,,,,,,,,,,"{'formation': 41212, 'lineup': [{'player': {'id': 4257, 'name': 'Yoan Cardinale'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 30}, {'player': {'id': 4270, 'name': 'Jérémy Pied'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 29}, {'player': {'id': 2971, 'name': 'Romain Genevois'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 25}, {'player': {'id': 4443, 'name': 'Paul Baysse'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 6352, 'name': 'Ricardo Domingos Barbosa Pereira'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 23}, {'player': {'id': 4506, 'name': 'Nampalys Mendy'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 22}, {'player': {'id': 4264, 'name': 'Vincent Koziello'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 26}, {'player': {'id': 3359, 'name': 'Jean Michaël Seri'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 16462, 'name': 'Hatem Ben Arfa'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 9}, {'player': {'id': 3210, 'name': 'Valère Germain'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 28}, {'player': {'id': 3230, 'name': 'Alassane Pléa'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 14}]}",OGC Nice,136,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,71ad895d-73d5-4183-ba90-64ff273be965,3,,,3901258,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Guingamp,142,['a3569df4-6207-4261-aa23-4f108c60abcb'],0,,,,,,,,,,,,,,,,,OGC Nice,136,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,a3569df4-6207-4261-aa23-4f108c60abcb,4,,,3901258,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Guingamp,142,['71ad895d-73d5-4183-ba90-64ff273be965'],0,,,,,,,,,,,,,,,,,Guingamp,142,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,05abd7d9-1614-4e98-a750-84bf2d71e8d3,2111,,,3901258,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,89,OGC Nice,136,['2672b826-15c5-4530-a4ef-ab7d1bc4faaa'],0,,,,,,,,,,,,,,,,,OGC Nice,136,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,2672b826-15c5-4530-a4ef-ab7d1bc4faaa,2112,,,3901258,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,89,OGC Nice,136,['05abd7d9-1614-4e98-a750-84bf2d71e8d3'],0,,,,,,,,,,,,,,,,,Guingamp,142,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.767069,,,,,,,,,,,,7455ace9-8fb6-4eb1-9bc1-82a9fec7456b,5,,"[61.0, 40.1]",3901258,0,,,,,1.6001996,,Right Foot,,"[60.9, 43.5]",,Ground Pass,,3.4014702,,,,,Jimmy Briand,3213.0,,,,,Kick Off,1,From Kick Off,Mevlüt Erdinç,20027.0,Right Center Forward,2,Guingamp,142,['f63e31f7-cfbb-48e0-8f10-446edc0ce4e5'],0,,,,,,,,,,,,,,,,,Guingamp,142,00:00:00.100,Pass,
,,,,,,,,,,,,,,,,0.754406,,,,,,,,,,,,85ba9ea0-fa2b-4148-bbac-aae132f2e205,7,,"[60.6, 43.7]",3901258,0,,,,,3.0548544,e682e638-488c-4ef5-8377-a17c9f5f5ea4,Right Foot,,"[53.7, 44.3]",,Ground Pass,,6.926038,,,,,Younousse Sankharé,3348.0,True,,,,,1,From Kick Off,Jimmy Briand,3213.0,Left Center Forward,2,Guingamp,142,['4d6afc29-abc3-43cf-9783-30da51bc0182'],0,,,,,,,,,,,,,,,,,Guingamp,142,00:00:00.867,Pass,
,,,,,,,,,,,,,,,,1.608188,,,,,,,,,,,,acc51928-3127-40d7-800f-bdd30bc9c37d,12,,"[12.8, 48.6]",3901258,0,,,,,-1.2133906,,Keeper Arm,,"[21.8, 24.5]",,Ground Pass,,25.725668,,,,,Paul Baysse,4443.0,,,,,,1,From Keeper,Yoan Cardinale,4257.0,Goalkeeper,4,OGC Nice,136,['9c09629e-7696-47f0-b21a-f1a00740d343'],10,,,,,,,,,,,,,,,,,OGC Nice,136,00:00:10.954,Pass,
,,,,,,,,,,,,,,,,1.545246,,,,,,,,,,,,891fc0f5-2dad-4b97-9a9f-dc5f1a0d500f,15,,"[25.0, 21.9]",3901258,0,,,,,-0.84802246,,Right Foot,,"[39.2, 5.8]",,Ground Pass,,21.467417,,,,,Ricardo Domingos Barbosa Pereira,6352.0,,,,,,1,From Keeper,Paul Baysse,4443.0,Left Center Back,4,OGC Nice,136,['2f875167-1f15-4b34-ae18-6c5f0d297640'],13,,,,,,,,,,,,,,,,,OGC Nice,136,00:00:13.987,Pass,
