50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,06736867-f523-4bcd-80dc-885835d0e114,1,,,3901242,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Angers,145,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 3432, 'name': 'Alexandre Letellier'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 30}, {'player': {'id': 3203, 'name': 'Yoann Andreu'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 21}, {'player': {'id': 5219, 'name': 'Romain Saïss'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 28}, {'player': {'id': 3549, 'name': 'Romain Thomas'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 24}, {'player': {'id': 4906, 'name': 'Arnold Bouka Moutou'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 7230, 'name': 'Grégory Bourillon'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 5676, 'name': ""Cheikh N''Doye""}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 17}, {'player': {'id': 3185, 'name': 'Thomas Mangani'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 5}, {'player': {'id': 4441, 'name': 'Billy Ketkeophomphone'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 14}, {'player': {'id': 3111, 'name': 'Gilles Sunu'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 7337, 'name': 'Mohamed Lamine Yattara'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Angers,145,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,8a49ac05-75da-40da-b4fc-2cb31c12f231,2,,,3901242,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Angers,145,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 3543, 'name': 'Steve Mandanda'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 30}, {'player': {'id': 3075, 'name': 'Javier Manquillo Gaitán'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 7472, 'name': ""Nicolas Alexis Julio N'Koulou Ndoubena""}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 8572, 'name': 'Karim Rekik'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 3261, 'name': 'Benjamin Mendy'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 23}, {'player': {'id': 23933, 'name': 'Abdelaziz Barrada'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 19}, {'player': {'id': 3141, 'name': 'André-Frank Zambo Anguissa'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 29}, {'player': {'id': 3254, 'name': 'Florian Thauvin'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 24}, {'player': {'id': 15296, 'name': 'Romain Alessandrini'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 11}, {'player': {'id': 9554, 'name': 'Steven Fletcher'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 9}, {'player': {'id': 3457, 'name': 'Michy Batshuayi Tunga'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 22}]}",Marseille,147,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,e73c0bc6-b2d3-4ff4-93dd-2bb2c0f846ce,3,,,3901242,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Angers,145,['fa0c6d7a-f0ca-400e-9780-dc7d3824001c'],0,,,,,,,,,,,,,,,,,Marseille,147,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,fa0c6d7a-f0ca-400e-9780-dc7d3824001c,4,,,3901242,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Angers,145,['e73c0bc6-b2d3-4ff4-93dd-2bb2c0f846ce'],0,,,,,,,,,,,,,,,,,Angers,145,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,7c5f2d2a-9cc9-45b6-a356-17f16536fcda,1725,,,3901242,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Keeper,,,,102,Angers,145,['9fdc48e4-88c8-45be-9a59-fae9f4ebfe77'],0,,,,,,,,,,,,,,,,,Angers,145,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,9fdc48e4-88c8-45be-9a59-fae9f4ebfe77,1726,,,3901242,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Keeper,,,,102,Angers,145,['7c5f2d2a-9cc9-45b6-a356-17f16536fcda'],0,,,,,,,,,,,,,,,,,Marseille,147,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.190285,,,,,,,,,,,,599d2854-a096-427e-a071-36801f2fa1f9,5,,"[61.0, 40.1]",3901242,0,,True,,,1.5707964,,Right Foot,,,,"[61.0, 42.3]",,Ground Pass,,2.2,,,Gilles Sunu,3111.0,,,,,Kick Off,1,From Kick Off,Mohamed Lamine Yattara,7337.0,Center Forward,2,Angers,145,['64f43ad6-6046-4434-8366-411e60a04a58'],0,,,,,,,,,,,,,,,,,Angers,145,00:00:00.113,Pass,
,,,,,,,,,,,,,,,,,,0.933508,,,,,,,,,,,,da2afc81-58bb-454f-b944-82ca46236ba1,7,,"[61.4, 42.9]",3901242,0,,,,,-2.987274,,Left Foot,,,,"[52.4, 41.5]",,Ground Pass,,9.108238,,,Grégory Bourillon,7230.0,,,,,,1,From Kick Off,Gilles Sunu,3111.0,Left Wing,2,Angers,145,['cdeecd1d-4f46-419f-9111-f7648f92a515'],0,,,,,,,,,,,,,,,,,Angers,145,00:00:00.372,Pass,
,,,,,,,,,,,,,,,,,,3.148703,,,,,,,,,,,,9a1e9be6-b9b2-4f92-bb2d-9650a745a5cc,11,,"[52.0, 39.5]",3901242,0,,,,,-0.6754902,,Right Foot,,,,"[100.8, 0.4]",,High Pass,,62.53199,,Out,Gilles Sunu,3111.0,,,,,,1,From Kick Off,Grégory Bourillon,7230.0,Center Defensive Midfield,2,Angers,145,"['ec33b1a1-7f2f-49e3-b9d4-3f764e7d65f8', 'fe05caec-e122-470b-a846-01f0cfe90f75']",1,,,,,,,,,,,,,,,,,Angers,145,00:00:01.905,Pass,True
,,,,,,,,,,,,,,,,,,1.661509,,,,,,,,,,,,e7ba4a17-ca31-40e6-8e7f-0105a988f0c6,13,,"[26.7, 80.0]",3901242,0,,,,,-0.26938325,,,,,,"[56.4, 71.8]",,High Pass,,30.8112,,,Michy Batshuayi Tunga,3457.0,,,,,Throw-in,1,From Throw In,Javier Manquillo Gaitán,3075.0,Right Back,3,Marseille,147,['f1745b35-f76a-4296-910e-3f9783d83f79'],13,,,,,,,,,,,,,,,,,Marseille,147,00:00:13.119,Pass,
