50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,1.2,,,,,,,,,,,,95c086c3-cde8-43b1-8292-8e4c6f6dd556,1620,,"[40.5, 29.0]",3901145,37,,,,,1.7126933,,Left Foot,,,,"[37.9, 47.2]",,Ground Pass,,18.384777,,,,Vitorino Hilton da Silva,3674.0,,,,,,1,From Free Kick,Daniel Congré,3011.0,Left Center Back,80,Montpellier,139,['2a13ea9d-76c7-4010-8df8-2034e5e7869b'],12,,,,,,,,,,,,,,,,Montpellier,139,00:37:12.611,Pass,
,,,,,,,,,,,,,,,,3.287311,,,,,,,,,,,,66a45feb-d11d-474e-8db9-4604ad332c04,1623,,"[40.3, 52.8]",3901145,37,,,,,-2.6927588,,Right Foot,,,,"[13.1, 39.7]",,Ground Pass,,30.19023,,,,Jonathan Ligali,42428.0,,,,,,1,From Free Kick,Vitorino Hilton da Silva,3674.0,Right Center Back,80,Montpellier,139,['6e998d46-9b8f-4ac7-b130-eb9f81c6d4f0'],16,,,,,,,,,,,,,,,,Montpellier,139,00:37:16.189,Pass,
,,,,,,,,,,,,,,,,0.994171,,,,,,,,,,,,4835de19-357b-4b8e-a992-296485df11b4,1626,,"[11.0, 39.7]",3901145,37,,,,,-0.9065728,,Right Foot,,,,"[22.9, 24.5]",,Ground Pass,,19.304144,,,,Daniel Congré,3011.0,,,,,,1,From Free Kick,Jonathan Ligali,42428.0,Goalkeeper,80,Montpellier,139,['f4aa2098-3ea2-44f7-8d8d-c2449663ffe6'],19,,,,,,,,,,,,,,,,Montpellier,139,00:37:19.664,Pass,
,,,,,,,,,,,,,,,,1.603518,,,,,,,,,,,,54d08afa-2e7e-4bd5-bc7b-83322ea3568d,1629,,"[22.9, 22.0]",3901145,37,,,,,-0.4274643,,Right Foot,,,,"[40.9, 13.8]",,Ground Pass,,19.779787,,,,Ryad Boudebouz,6661.0,,,,,,1,From Free Kick,Daniel Congré,3011.0,Left Center Back,80,Montpellier,139,['303870ba-69d8-43cc-9cca-4c1932e9c3c5'],21,,,,,,,,,,,,,,,,Montpellier,139,00:37:21.481,Pass,
,,,,,,,,,,,,,,,,2.155303,,,,,,,,,,,,0c440107-9460-4fb4-9d99-dc4cbad9053f,1632,,"[38.3, 18.8]",3901145,37,,,,,1.643453,,Right Foot,,,,"[36.0, 50.4]",,Ground Pass,,31.683592,,,,Vitorino Hilton da Silva,3674.0,,,,,,1,From Free Kick,Ryad Boudebouz,6661.0,Center Attacking Midfield,80,Montpellier,139,['82995412-c2a1-4a53-aa7e-12e33049eabd'],24,,,,,,,,,,,,,,,,Montpellier,139,00:37:24.508,Pass,
,,,,,,,,,,,,,,,,1.241581,,,,,,,,,,,,9e729f7c-1ca1-4921-b8fc-f826f8ce4274,1635,,"[37.5, 47.2]",3901145,37,,,,,-1.5221456,,Right Foot,,,,"[38.8, 20.5]",,Ground Pass,,26.731628,,,,Daniel Congré,3011.0,,,,,,1,From Free Kick,Vitorino Hilton da Silva,3674.0,Right Center Back,80,Montpellier,139,['6cfeb7c6-b13a-4c33-af31-1eb1be2b0045'],28,,,,,,,,,,,,,,,,Montpellier,139,00:37:28.330,Pass,
,,,,,,,,,,,,,,,,1.212542,,,,,,,,,,,,16fc2fcb-6cd4-4d55-96c4-7ec1373b91a9,1638,,"[38.8, 20.5]",3901145,37,,,,,-0.7544802,,Right Foot,,,,"[48.8, 11.1]",,Ground Pass,,13.724431,,,,Ryad Boudebouz,6661.0,,,,,,1,From Free Kick,Daniel Congré,3011.0,Left Center Back,80,Montpellier,139,['5667a3ea-da35-42b8-9f54-5224e19b21b9'],30,,,,,,,,,,,,,,,,Montpellier,139,00:37:30.112,Pass,
,,,,,,,,,,,,,,,,0.853515,,,,,,,,,,,,f92a8750-b56f-4aec-922f-21a855ea716c,1641,,"[49.7, 11.1]",3901145,37,,,,,0.104167044,,Left Foot,,,,"[71.7, 13.4]",,Ground Pass,,22.1199,,,,Bryan Dabo,3421.0,,,,,,1,From Free Kick,Ryad Boudebouz,6661.0,Center Attacking Midfield,80,Montpellier,139,['bb12ede4-101f-40be-8944-a8035c076886'],33,,,,,,,,,,,,,,,,Montpellier,139,00:37:33.101,Pass,
,,,,,,,,,,,,,,,,1.086903,,,,,,,,,,,,d1420bb7-eb20-4dad-995f-2e712ae8da62,1652,,"[81.1, 13.6]",3901145,37,,,,,0.88139844,,Right Foot,,,,"[93.3, 28.4]",,Ground Pass,,19.180199,,Incomplete,,Mustapha Yatabaré,30255.0,,,,,,1,From Free Kick,Kévin Bérigaud,2980.0,Left Wing,80,Montpellier,139,"['827d6335-a41c-4fb3-be8f-f8cd4a4a5e6e', 'e1606bd6-b292-49ce-b627-cfd9f1c33b24']",39,,,,,,,,,,,,,,,,Montpellier,139,00:37:39.218,Pass,
,,,,,,,,,,,,,,,,3.615252,,,,,,,,,,,,50a35b97-9230-410c-9090-885774458886,1658,,"[7.0, 36.1]",3901145,38,,,,,-0.2674363,,Left Foot,,,,"[57.0, 22.4]",,High Pass,,51.842937,,Incomplete,,Pierrick Capelle,3071.0,,,,,Goal Kick,1,From Goal Kick,Denis Petrić,34953.0,Goalkeeper,81,Angers,145,"['191c74b3-e7ee-4abf-91cb-4e8605ddf839', '69137141-1cfb-4669-b3a1-477aa3094035']",2,,,,,,,,,,,,,,,,Angers,145,00:38:02.402,Pass,
