50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,9559c8d2-2f8e-46c1-94ff-102b463b4545,1,,,,3901152,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Caen,140,,0,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 2963, 'name': 'Rémy Vercoutre'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 22111, 'name': 'Dennis Appiah'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 12}, {'player': {'id': 7444, 'name': 'Alaeddine Yahia'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 4386, 'name': 'Damien Da Silva'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 28}, {'player': {'id': 2992, 'name': 'Vincent Bessat'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 11}, {'player': {'id': 40698, 'name': 'Nicolas Seube'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 2}, {'player': {'id': 2959, 'name': 'Julien Féret'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 25}, {'player': {'id': 106683, 'name': 'Saïdi Ntibazonkiza'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 10}, {'player': {'id': 2991, 'name': 'Hervé Bazile'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 20}, {'player': {'id': 3038, 'name': 'Andy Delort'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 9}, {'player': {'id': 2955, 'name': 'Ronny Rodelin'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 23}]}",Caen,140,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,bbb5d53b-596e-473b-bea7-87feffaf5d22,2,,,,3901152,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Caen,140,,0,,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 3354, 'name': 'Benoît Guy Robert Costil'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3195, 'name': 'Mehdi Zeffane'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 3753, 'name': 'Pedro Filipe Teodósio Mendes'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 40699, 'name': 'Sylvain Armand'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 22}, {'player': {'id': 3424, 'name': ""Cheikh M''Bengue""}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 2990, 'name': 'Benjamin André'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 21}, {'player': {'id': 5477, 'name': 'Ousmane Dembélé'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 23}, {'player': {'id': 8672, 'name': 'Gélson da Conceição Tavares Fernandes'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 4602, 'name': 'Yoann Gourcuff'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 28}, {'player': {'id': 4900, 'name': 'Paul-Georges Ntep de Madiba'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 7}, {'player': {'id': 16503, 'name': 'Pedro Henrique Konzen Medina da Silva'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 18}]}",Rennes,134,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,80755080-a19d-47d8-97cc-8eadf5f46439,3,,,,3901152,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Caen,140,['153ff88f-410b-4794-a2e3-223ce26f1261'],0,,,,,,,,,,,,,,,,Rennes,134,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,153ff88f-410b-4794-a2e3-223ce26f1261,4,,,,3901152,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Caen,140,['80755080-a19d-47d8-97cc-8eadf5f46439'],0,,,,,,,,,,,,,,,,Caen,140,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,a81abd71-fadb-44b5-8dff-0f2cfbeaf6d7,1909,,,,3901152,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,98,Rennes,134,['706c8259-81fe-4b46-982a-968b73f9ff87'],0,,,,,,,,,,,,,,,,Caen,140,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,706c8259-81fe-4b46-982a-968b73f9ff87,1910,,,,3901152,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,98,Rennes,134,['a81abd71-fadb-44b5-8dff-0f2cfbeaf6d7'],0,,,,,,,,,,,,,,,,Rennes,134,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.450241,,,,,,,,,,,,,1ef1fd4c-5fa3-493f-888f-785965b22255,5,,,"[61.0, 40.1]",3901152,0,True,,,1.6614562,,Right Foot,,,"[60.8, 42.3]",,Ground Pass,,2.209072,,,,Pedro Henrique Konzen Medina da Silva,16503.0,,,,,Kick Off,1,From Kick Off,Yoann Gourcuff,4602.0,Left Center Midfield,2,Rennes,134,['8ab93610-5464-4e2f-a7b6-0bc90c50fc58'],0,,,,,,,,,,,,,,,,Rennes,134,00:00:00.472,Pass,
,,,,,,,,,,,,,,,,,2.276467,,,,,,,,,,,,,a3bd3e03-bb24-4d00-8a19-cae428979df4,7,,,"[60.2, 44.8]",3901152,0,,,,2.071192,,Right Foot,,,"[45.6, 71.5]",,Ground Pass,,30.43107,,,,Mehdi Zeffane,3195.0,,,,,,1,From Kick Off,Pedro Henrique Konzen Medina da Silva,16503.0,Center Forward,2,Rennes,134,['4763face-d91e-4aa5-a3ce-afb5ad6df481'],1,,,,,,,,,,,,,,,,Rennes,134,00:00:01.495,Pass,
,,,,,,,,,,,,,,,,,1.881866,,,,,,,,,,,,,58204b9e-2c27-4feb-9a1b-2b405997daab,10,,,"[45.1, 69.9]",3901152,0,,,,-2.559992,,Right Foot,,,"[27.0, 58.0]",,Ground Pass,,21.661486,,,,Pedro Filipe Teodósio Mendes,3753.0,,,,,,1,From Kick Off,Mehdi Zeffane,3195.0,Right Back,2,Rennes,134,['24de778e-d793-4d14-9564-06126269f59c'],5,,,,,,,,,,,,,,,,Rennes,134,00:00:05.177,Pass,
,,,,,,,,,,,,,,,,,3.20115,,,,,,,,,,,,,4b47b66f-1a0b-4c3b-9387-ee6d0f3fc67d,13,,,"[25.7, 56.5]",3901152,0,,,,-0.70201844,,Right Foot,,,"[82.1, 8.8]",,High Pass,,73.86643,,Incomplete,,Paul-Georges Ntep de Madiba,4900.0,,True,,,,1,From Kick Off,Pedro Filipe Teodósio Mendes,3753.0,Right Center Back,2,Rennes,134,"['7e739ea1-d941-47a3-8756-734d0422dfbb', 'b0f1ab25-6819-4543-9a15-a881003be377']",10,,,,,,,,,,,,,,,,Rennes,134,00:00:10.217,Pass,
,,,,,,,,,,,,,,,,,0.707643,,,,,,,,,,,,,a67ce226-ba76-4609-ba2c-a6ac5bd9957b,17,,,"[75.8, 0.1]",3901152,0,,,,1.0543133,,,,,"[80.4, 8.2]",,Low Pass,,9.315042,,,,Benjamin André,2990.0,,,,,Throw-in,1,From Throw In,Cheikh M''Bengue,3424.0,Left Back,3,Rennes,134,['8117642b-01cd-4414-a7dc-fa693785b855'],19,,,,,,,,,,,,,,,,Rennes,134,00:00:19.506,Pass,
,,,,,,,,,,,,,,,,,0.838133,,,,,,,,,,,,,ff141e35-2896-4634-bceb-c9d6f4f3d977,20,,,"[76.0, 8.0]",3901152,0,,,,-1.1777383,,Right Foot,,,"[77.7, 3.9]",,Ground Pass,,4.438468,,,,Cheikh M''Bengue,3424.0,,,,,,1,From Throw In,Benjamin André,2990.0,Center Defensive Midfield,3,Rennes,134,['5c44e56c-70ff-4024-8925-9ae6395ea2db'],20,,,,,,,,,,,,,,,,Rennes,134,00:00:20.359,Pass,
,,,,,,,,,,,,,,,,,1.980737,,,,,,,,,,,,,d47613ab-fcc3-44a6-9c1f-482a7e37bfbd,23,,,"[79.8, 5.5]",3901152,0,,,,2.7383113,,Left Foot,,,"[49.8, 18.3]",,Low Pass,,32.61656,,,,Sylvain Armand,40699.0,,,,,,1,From Throw In,Cheikh M''Bengue,3424.0,Left Back,3,Rennes,134,['fd298a28-0507-4ded-8eb5-3d4cedff8da5'],21,,,,,,,,,,,,,,,,Rennes,134,00:00:21.237,Pass,
,,,,,,,,,,,,,,,,,1.54881,,,,,,,,,,,,,28d39daa-65b2-4727-a242-c6a3df4ca4ef,26,,,"[50.0, 18.3]",3901152,0,,,,1.4927658,,Left Foot,,,"[51.9, 42.6]",,Ground Pass,,24.374166,,,,Pedro Filipe Teodósio Mendes,3753.0,,,,,,1,From Throw In,Sylvain Armand,40699.0,Left Center Back,3,Rennes,134,['6597c527-d084-45ad-8dea-b86c9545f193'],25,,,,,,,,,,,,,,,,Rennes,134,00:00:25.007,Pass,
,,,,,,,,,,,,,,,,,1.676595,,,,,,,,,,,,,5f575284-7cf2-4c5c-b7a5-61283b063fc9,29,,,"[50.8, 46.6]",3901152,0,,,,1.7224469,,Right Foot,,,"[46.2, 76.7]",,Ground Pass,,30.449467,,,,Mehdi Zeffane,3195.0,,,,,,1,From Throw In,Pedro Filipe Teodósio Mendes,3753.0,Right Center Back,3,Rennes,134,['a3bbd57b-47aa-4b5b-94a8-f11bb4203a91'],27,,,,,,,,,,,,,,,,Rennes,134,00:00:27.925,Pass,
