50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,dc82b9a0-2331-4072-a57f-d4240e26e8ba,1,,,3901251,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Marseille,147,,0,,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 3543, 'name': 'Steve Mandanda'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 30}, {'player': {'id': 7857, 'name': 'Brice Dja Djédjé'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 26}, {'player': {'id': 7472, 'name': ""Nicolas Alexis Julio N'Koulou Ndoubena""}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 8572, 'name': 'Karim Rekik'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 3261, 'name': 'Benjamin Mendy'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 23}, {'player': {'id': 23933, 'name': 'Abdelaziz Barrada'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 19}, {'player': {'id': 3181, 'name': 'Lassana Diarra'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 10}, {'player': {'id': 3254, 'name': 'Florian Thauvin'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 24}, {'player': {'id': 9554, 'name': 'Steven Fletcher'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 9}, {'player': {'id': 15296, 'name': 'Romain Alessandrini'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 3457, 'name': 'Michy Batshuayi Tunga'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 22}]}",Marseille,147,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,f606a0d6-de62-4dee-b790-f0beb3f6542e,2,,,3901251,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Marseille,147,,0,,,,,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 401454, 'name': 'Kossi Agassa'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 16}, {'player': {'id': 131849, 'name': 'Antoine Conte'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 28}, {'player': {'id': 6648, 'name': 'Aïssa Mandi'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 23}, {'player': {'id': 401455, 'name': 'Mohamed Fofana'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 2}, {'player': {'id': 30291, 'name': 'Atila Turan'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 15}, {'player': {'id': 7815, 'name': 'Antoine Devaux'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 4383, 'name': 'Nicolas de Roussel de Préville'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 12}, {'player': {'id': 4545, 'name': 'Prince Oniangué'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 46801, 'name': 'Jaba Kankava'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 7363, 'name': 'Diego Rigonato Rodrigues'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 11}, {'player': {'id': 7367, 'name': 'Grejohn Kyei'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 29}]}",Stade de Reims,156,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,b7b12d40-7881-4cb2-a178-3d984152c7f7,3,,,3901251,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Marseille,147,['538985fd-7178-4550-9d76-a5574b103fb9'],0,,,,,,,,,,,,,,,,,,,Stade de Reims,156,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,538985fd-7178-4550-9d76-a5574b103fb9,4,,,3901251,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Marseille,147,['b7b12d40-7881-4cb2-a178-3d984152c7f7'],0,,,,,,,,,,,,,,,,,,,Marseille,147,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,8eea50a3-cccc-4495-80d5-8a50105e55bc,1710,,,3901251,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,103,Stade de Reims,156,['13cd1522-4c66-43da-a184-77ec821ad23c'],0,,,,,,,,,,,,,,,,,,,Stade de Reims,156,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,13cd1522-4c66-43da-a184-77ec821ad23c,1711,,,3901251,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,103,Stade de Reims,156,['8eea50a3-cccc-4495-80d5-8a50105e55bc'],0,,,,,,,,,,,,,,,,,,,Marseille,147,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.851121,,,,,,,,,,,,,9d082d3c-41ae-4bbc-8bc6-b014860185e7,5,,"[60.0, 40.0]",3901251,0,,True,,,-1.9416876,,Right Foot,,,"[59.3, 38.2]",Ground Pass,,1.9313208,,,,,Michy Batshuayi Tunga,3457.0,,,,,,Kick Off,1,From Kick Off,Steven Fletcher,9554.0,Center Attacking Midfield,2,Marseille,147,['137886c4-f44d-44f3-969c-40f5a2d66387'],0,,,,,,,,,,,,,,,,,,,Marseille,147,00:00:00.612,Pass,
,,,,,,,,,,,,,,,,,0.984533,,,,,,,,,,,,,6c55a093-f6f2-4e20-b779-bf2f36b1eac2,7,,"[59.7, 37.2]",3901251,0,,,,,2.6155262,,Right Foot,,,"[47.3, 44.4]",Ground Pass,,14.338758,,,,,Abdelaziz Barrada,23933.0,,,,,,,1,From Kick Off,Michy Batshuayi Tunga,3457.0,Center Forward,2,Marseille,147,['71b5d7e4-acb7-4740-94c8-b7ff08008cdb'],1,,,,,,,,,,,,,,,,,,,Marseille,147,00:00:01.463,Pass,
,,,,,,,,,,,,,,,,,1.635673,,,,,,,,,,,,,27adbc55-2ace-4d61-aa55-8bca70e4a9b1,11,,"[42.2, 43.6]",3901251,0,,,,,-2.486125,,Left Foot,,,"[21.0, 27.3]",Ground Pass,,26.741915,,,,,Karim Rekik,8572.0,,,,,,,1,From Kick Off,Abdelaziz Barrada,23933.0,Right Defensive Midfield,2,Marseille,147,"['5c02205e-6e63-4f26-8c94-2e8cfdfa3ee5', '9b9f9487-7c8a-4832-9be0-3d3db64ec373']",3,,,,,,,,,,,,,,,,,,,Marseille,147,00:00:03.839,Pass,True
,,,,,,,,,,,,,,,,,1.765281,,,,,,,,,,,,,7631b6d8-a475-4893-89ac-1e3d620b9389,14,,"[22.3, 26.7]",3901251,0,,,,,2.606173,,Left Foot,,,"[4.6, 37.2]",Ground Pass,,20.580088,,,,,Steve Mandanda,3543.0,,,,,,,1,From Kick Off,Karim Rekik,8572.0,Left Center Back,2,Marseille,147,['d759d706-4adc-4360-a9dd-3c63b5384f59'],6,,,,,,,,,,,,,,,,,,,Marseille,147,00:00:06.417,Pass,
