50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,4499a832-b760-4387-9674-7a7165010188,1,,,3829468,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Guingamp,142,,0,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 3322, 'name': 'Jonas Lössl'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 20199, 'name': 'Lars Christian Jacobsen'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 2936, 'name': 'Christophe Kerbrat'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 29}, {'player': {'id': 3124, 'name': 'Jérémy Sorbon'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 40527, 'name': 'Brou Benjamin Angoua'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 4}, {'player': {'id': 401512, 'name': 'Lionel Mathis'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 3348, 'name': 'Younousse Sankharé'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 13}, {'player': {'id': 3363, 'name': 'Marcus Coco'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 24}, {'player': {'id': 3301, 'name': 'Nicolas Benezet'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 10}, {'player': {'id': 3213, 'name': 'Jimmy Briand'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 23}, {'player': {'id': 4799, 'name': 'Sloan Privat'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 11}]}",Guingamp,142,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,e43f8342-b753-4ee4-9ad5-458a145cf562,2,,,3829468,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Guingamp,142,,0,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 401508, 'name': 'Clément Maury'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 7428, 'name': 'Alexandre Coeff'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 29}, {'player': {'id': 2953, 'name': 'Abdou Kader Mangane'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 15}, {'player': {'id': 7603, 'name': 'Jérémie Bréchet'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 4352, 'name': 'Issiaga Sylla'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 401507, 'name': 'Jérôme Le Moigne'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 401509, 'name': 'David Ducourtioux'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 31911, 'name': 'Damjan Đoković'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 23}, {'player': {'id': 5726, 'name': 'Khalid Boutaïb'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 9}, {'player': {'id': 401506, 'name': 'Grégory Pujol'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 28}, {'player': {'id': 401505, 'name': 'Jacques Zoua Daogari'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 19}]}",Gazélec Ajaccio,160,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,738b862f-6e3d-4c07-a14b-8f4bcfd21a00,3,,,3829468,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Guingamp,142,['13adc4ec-6c7b-4ad9-9598-aac0609bce95'],0,,,,,,,,,,,,,,,,Gazélec Ajaccio,160,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,13adc4ec-6c7b-4ad9-9598-aac0609bce95,4,,,3829468,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Guingamp,142,['738b862f-6e3d-4c07-a14b-8f4bcfd21a00'],0,,,,,,,,,,,,,,,,Guingamp,142,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,7bf28144-cb20-4e32-a181-a49926818c42,1710,,,3829468,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,98,Guingamp,142,['94253fba-5804-4d22-8b4a-3cf5ac070575'],0,,,,,,,,,,,,,,,,Guingamp,142,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,94253fba-5804-4d22-8b4a-3cf5ac070575,1711,,,3829468,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,98,Guingamp,142,['7bf28144-cb20-4e32-a181-a49926818c42'],0,,,,,,,,,,,,,,,,Gazélec Ajaccio,160,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.866765,,,,,,,,,,,,,2c00e827-ca01-4d4a-8b2c-110be2f99528,5,,"[61.0, 40.1]",3829468,0,,True,,,3.0767486,,Right Foot,,,,"[53.3, 40.6]",,Ground Pass,,7.7162166,,,,,Grégory Pujol,401506.0,,,,,Kick Off,1,From Kick Off,Jacques Zoua Daogari,401505.0,Center Forward,2,Gazélec Ajaccio,160,['67b45ee3-7eca-49cb-9fb2-c7c92df7d746'],0,,,,,,,,,,,,,,,,Gazélec Ajaccio,160,00:00:00.668,Pass,
,,,,,,,,,,,,,,,,,,,2.194504,,,,,,,,,,,,,22810ba2-7b86-42d3-bf5f-7baab9d60b20,7,,"[53.7, 39.2]",3829468,0,,True,,,-2.9504082,,Right Foot,,,,"[28.9, 34.4]",,Ground Pass,,25.260246,,,,,Jérémie Bréchet,7603.0,,,,,,1,From Kick Off,Grégory Pujol,401506.0,Left Wing,2,Gazélec Ajaccio,160,['648286c4-f85d-4164-95c3-ea0ffb988f98'],1,,,,,,,,,,,,,,,,Gazélec Ajaccio,160,00:00:01.615,Pass,
,,,,,,,,,,,,,,,,,,,3.176746,,,,,,,,,,,,,dffb8a26-1988-4fcf-9992-4dabbe0fcefd,9,,"[28.3, 35.2]",3829468,0,,,,,0.41184214,,Left Foot,,,,"[83.7, 59.4]",,High Pass,,60.45494,,,Incomplete,,Khalid Boutaïb,5726.0,,,,,,1,From Kick Off,Jérémie Bréchet,7603.0,Left Center Back,2,Gazélec Ajaccio,160,"['5ef0c331-6aaa-4aa5-9ff3-34f6352b65c4', '7e4bd40a-486b-40cf-bcea-19bfd9138ce1']",6,,,,,,,,,,,,,,,,Gazélec Ajaccio,160,00:00:06.019,Pass,
,,,,,,,,,,,,,,,,,,,1.423248,,,,,,,,,,,,,7e4bd40a-486b-40cf-bcea-19bfd9138ce1,12,,"[36.4, 20.7]",3829468,0,,,,True,0.57871497,,,,,,"[66.4, 40.3]",,High Pass,,35.83518,,,,,Jimmy Briand,3213.0,,,,,Recovery,1,Regular Play,Younousse Sankharé,3348.0,Left Defensive Midfield,3,Guingamp,142,"['9e2a41ea-c31c-4dd6-9662-9c517d2a6632', 'dffb8a26-1988-4fcf-9992-4dabbe0fcefd', 'e039dcf1-7785-4184-9591-c0f2afded414']",9,,,,,,,,,,,,,,,,Guingamp,142,00:00:09.195,Pass,True
