50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,ce85f240-dac4-4dd6-b40e-961353479795,1,,,3829493,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Lille,143,,0,,,,,,,,,,,,,,,,,"{'formation': 343, 'lineup': [{'player': {'id': 3761, 'name': 'Mike Maignan'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 40}, {'player': {'id': 23203, 'name': 'Stopilla Sunzu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 13}, {'player': {'id': 29057, 'name': 'Renato Civelli'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 5}, {'player': {'id': 5476, 'name': 'Benjamin Pavard'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 28}, {'player': {'id': 6716, 'name': 'Sébastien Corchia'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 2}, {'player': {'id': 3446, 'name': 'Djibril Sidibé'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 19}, {'player': {'id': 40697, 'name': 'Mounir Obbadi'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 40522, 'name': 'Rio Antonio Zoba Mavuba'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 24}, {'player': {'id': 7303, 'name': 'Lenny Nangis'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 15}, {'player': {'id': 3625, 'name': 'Sofiane Boufal'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 10330, 'name': 'Gadji Celi Carmen Junior Tallo'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 22}]}",Lille,143,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,7993bc46-0ae8-4088-8953-2d941daa4f3e,2,,,3829493,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Lille,143,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 40645, 'name': 'Laurent Pionnier'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3421, 'name': 'Bryan Dabo'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 14}, {'player': {'id': 3674, 'name': 'Vitorino Hilton da Silva'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 3011, 'name': 'Daniel Congré'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 3676, 'name': 'Jérôme Roussillon'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 24}, {'player': {'id': 4669, 'name': 'William Jean Rémy'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 21}, {'player': {'id': 3191, 'name': 'Ramy Bensebaini'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 15}, {'player': {'id': 3767, 'name': 'Ellyes Joris Skhiri'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 13}, {'player': {'id': 6661, 'name': 'Ryad Boudebouz'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 2950, 'name': 'Jonas Martin'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 8}, {'player': {'id': 3679, 'name': 'Souleymane Camara'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 19}]}",Montpellier,139,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,3fcd29b6-de42-4449-b1fd-499e616d2155,3,,,3829493,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Lille,143,['a5e475c7-2c1d-414c-9298-34e33022b41e'],0,,,,,,,,,,,,,,,,,,Lille,143,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,a5e475c7-2c1d-414c-9298-34e33022b41e,4,,,3829493,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Lille,143,['3fcd29b6-de42-4449-b1fd-499e616d2155'],0,,,,,,,,,,,,,,,,,,Montpellier,139,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,b62a8486-c895-4d04-9299-37830028fdda,1688,,,3829493,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,108,Lille,143,['78264db6-3459-4d46-9553-85931c736e35'],0,,,,,,,,,,,,,,,,,,Montpellier,139,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,78264db6-3459-4d46-9553-85931c736e35,1689,,,3829493,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,108,Lille,143,['b62a8486-c895-4d04-9299-37830028fdda'],0,,,,,,,,,,,,,,,,,,Lille,143,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.523751,,,,,,,,,,,,057da29d-f5e9-4206-9fe3-f9babd4b8938,5,,"[61.0, 40.1]",3829493,0,,True,,,1.1659045,,Right Foot,,,,"[62.2, 42.9]",,Ground Pass,,3.0463092,,,,Sofiane Boufal,3625.0,,,,,Kick Off,1,From Kick Off,Gadji Celi Carmen Junior Tallo,10330.0,Center Forward,2,Lille,143,['0f8e8ba3-2dfe-4d39-b6f5-3c3291a5f670'],0,,,,,,,,,,,,,,,,,,Lille,143,00:00:00.333,Pass,
,,,,,,,,,,,,,,,,,1.049899,,,,,,,,,,,,daeb8577-4d30-4648-a071-5f875132ad4d,7,,"[61.8, 43.7]",3829493,0,,,,,-2.9521124,,Right Foot,,,,"[54.5, 42.3]",,Ground Pass,,7.4330344,,,,Mounir Obbadi,40697.0,,,,,,1,From Kick Off,Sofiane Boufal,3625.0,Left Wing,2,Lille,143,['be2d2d82-39d4-4905-8981-ababe86595b8'],0,,,,,,,,,,,,,,,,,,Lille,143,00:00:00.999,Pass,
,,,,,,,,,,,,,,,,,1.436781,,,,,,,,,,,,b8e1aef8-535d-4021-bfc4-17d910310bde,11,,"[53.1, 43.1]",3829493,0,,,,,2.3211212,,Right Foot,,,,"[36.6, 60.8]",,Ground Pass,,24.197933,,,,Stopilla Sunzu,23203.0,,,,,,1,From Kick Off,Mounir Obbadi,40697.0,Right Defensive Midfield,2,Lille,143,"['1822de4c-50f7-4226-b8cd-071766cd70d9', '88f5914c-b29a-4d32-8d30-f1089153d426']",3,,,,,,,,,,,,,,,,,,Lille,143,00:00:03.199,Pass,True
,,,,,,,,,,,,,,,,,2.908527,,,,,,,,,,,,c9b2c5b6-50f5-477f-b7a8-a6864e9eefd9,14,,"[36.6, 60.8]",3829493,0,,,,,-0.037482437,,Right Foot,,,,"[84.6, 59.0]",,High Pass,,48.033737,,Incomplete,,Lenny Nangis,7303.0,,,,,,1,From Kick Off,Stopilla Sunzu,23203.0,Right Center Back,2,Lille,143,"['1c0e4200-2df9-4e94-9b03-b34a2cffcc03', '33de67f9-d073-4e07-9380-f1011c67f8a9']",5,,,,,,,,,,,,,,,,,,Lille,143,00:00:05.968,Pass,
