50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,1.396872,,,,,,,,,,,,,065eb7b8-a5d7-457e-98a9-faa00fb95524,933,,,"[76.3, 13.1]",3901164,23,,,,,-0.2945464,,Right Foot,,,,"[85.2, 10.4]",Ground Pass,,9.300538,Incomplete,,Valentin Eysseric,4254.0,,,,,,1,From Throw In,Neal Maupay,4766.0,Center Forward,52,Saint-Étienne,135,"['888bd49b-0d36-45c0-a393-52635c2432d5', '8a44e3fc-a224-42cb-b69a-e2da51606f07', 'f4b9f302-50a5-4548-b1c4-9e606c0d0813']",25,,,,,,,,,,,,,,,,,,Saint-Étienne,135,00:23:25.069,Pass,True
,,,,,,,,,,,,,,,,,,1.631747,,,,,,,,,,,,,8a44e3fc-a224-42cb-b69a-e2da51606f07,935,,,"[34.9, 69.7]",3901164,23,,,,,-2.0468657,,Left Foot,,,,"[25.0, 50.5]",Ground Pass,,21.602083,,,Romain Thomas,3549.0,,,,,Recovery,1,Regular Play,Vincent Manceau,3431.0,Right Back,53,Angers,145,"['065eb7b8-a5d7-457e-98a9-faa00fb95524', '5252345e-3a15-4211-b373-7d88634fe2cb']",26,,,,,,,,,,,,,,,,,,Angers,145,00:23:26.466,Pass,
,,,,,,,,,,,,,,,,,,2.86291,,,,,,,,,,,,,ca09cdf4-3851-4fed-92c5-29615d57f682,938,,,"[22.9, 45.1]",3901164,23,,,,,-1.1589891,,Left Foot,,,,"[38.1, 10.3]",Ground Pass,,37.974728,,,Yoann Andreu,3203.0,,,,,,1,Regular Play,Romain Thomas,3549.0,Left Center Back,53,Angers,145,['c2fbc5b4-fb0f-4e84-b717-07ec9ca57222'],30,,,,,,,,,,,,,,,,,,Angers,145,00:23:30.103,Pass,
,,,,,,,,,,,,,,,,,,2.924756,,,,,,,,,,,,,4a395dfa-7552-486c-ad1f-b5a3c98f8e8f,941,,,"[39.2, 6.8]",3901164,23,,,,,0.0037878607,,Left Foot,,,,"[92.0, 7.0]",High Pass,,52.800377,,,Arnold Bouka Moutou,4906.0,,,,,,1,Regular Play,Yoann Andreu,3203.0,Left Back,53,Angers,145,['6b63aa7b-f71e-4841-9c90-c4647d100f0d'],34,,,,,,,,,,,,,,,,,,Angers,145,00:23:34.652,Pass,
,,,,,,,,,,,,,,,,,,2.114825,,,,,,,,,,,,,e5322231-6f56-4f9c-9f1f-e0711deace9c,948,,,"[8.2, 75.9]",3901164,23,,,,,-1.7764052,,Right Foot,,,,"[4.3, 57.2]",Ground Pass,,19.102356,,,Kévin Théophile-Catherine,3413.0,,,,,,1,Regular Play,Ronaël Pierre-Gabriel,4258.0,Right Back,54,Saint-Étienne,135,['cf703f33-28b3-4a01-927e-b71701ad1786'],42,,,,,,,,,,,,,,,,,,Saint-Étienne,135,00:23:42.375,Pass,
,,,,,,,,,,,,,,,,,,2.087734,,,,,,,,,,,,,390060a2-8a64-4bc8-a0a3-e3ee50c342b3,951,,,"[10.5, 48.3]",3901164,23,,,,,-2.0005586,,Right Foot,,,,"[6.1, 38.7]",Ground Pass,,10.560303,,,Stéphane Ruffier,4259.0,,,,,,1,Regular Play,Kévin Théophile-Catherine,3413.0,Right Center Back,54,Saint-Étienne,135,['11888d5d-c667-451d-9ee4-d8e8f3922c77'],46,,,,,,,,,,,,,,,,,,Saint-Étienne,135,00:23:46.446,Pass,
,,,,,,,,,,,,,,,,,,1.887325,,,,,,,,,,,,,bd37280a-57ae-4b3a-9d74-e0f4504683ac,954,,,"[7.4, 39.2]",3901164,23,,,,,-1.1353103,,Right Foot,,,,"[14.1, 24.8]",Ground Pass,,15.8823805,,,Moustapha Bayal Sall,401468.0,,,,,,1,Regular Play,Stéphane Ruffier,4259.0,Goalkeeper,54,Saint-Étienne,135,['9c77918f-5617-49fc-8a4f-31002309d021'],49,,,,,,,,,,,,,,,,,,Saint-Étienne,135,00:23:49.347,Pass,
,,,,,,,,,,,,,,,,,,0.98501,,,,,,,,,,,,,233b1a32-01ec-47d2-b84b-ab518b67d82e,957,,,"[17.1, 25.0]",3901164,23,,,,,0.36135688,,Right Foot,,,,"[29.8, 29.8]",Ground Pass,,13.576818,,,Jérémy Clément,7442.0,,,,,,1,Regular Play,Moustapha Bayal Sall,401468.0,Left Center Back,54,Saint-Étienne,135,['72af96be-970d-42b6-b24c-147a95129fbd'],52,,,,,,,,,,,,,,,,,,Saint-Étienne,135,00:23:52.173,Pass,
,,,,,,,,,,,,,,,,,,1.25104,,,,,,,,,,,,,0e7cb4a0-a677-47bc-bc58-342c24b43f0a,960,,,"[29.4, 34.6]",3901164,23,,,,,1.3433939,,Left Foot,,,,"[35.0, 58.8]",Ground Pass,,24.839485,,,Fabien Lemoine,7200.0,,,,,,1,Regular Play,Jérémy Clément,7442.0,Center Defensive Midfield,54,Saint-Étienne,135,['940c1dc7-a3e9-4f07-b6fe-4106d79d2b49'],55,,,,,,,,,,,,,,,,,,Saint-Étienne,135,00:23:55.978,Pass,
,,,,,,,,,,,,,,,,,,0.523009,,,,,,,,,,,,,3b39291a-0ae8-4e40-b1d2-13b3b06148ac,964,,,"[34.5, 68.2]",3901164,23,,,,,1.4513674,,Right Foot,,,,"[35.4, 75.7]",Ground Pass,,7.553807,,,Ronaël Pierre-Gabriel,4258.0,,,,,,1,Regular Play,Fabien Lemoine,7200.0,Right Center Midfield,54,Saint-Étienne,135,"['4e25c1e5-b02c-41de-bb71-efc2dd7f43a2', 'c4bf3404-835a-4e0f-921e-02e2ee34efb9']",59,,,,,,,,,,,,,,,,,,Saint-Étienne,135,00:23:59.142,Pass,True
