ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,64d3e790-6aeb-4698-b951-94bc9a910d3a,1,,,3900503,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Lille,143,,0,,,,,,,,,,,,,,,,"{'formation': 343, 'lineup': [{'player': {'id': 40484, 'name': 'Vincent Enyeama'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3677, 'name': 'Bakary Adama Soumaoro'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 23}, {'player': {'id': 40523, 'name': 'Marko Baša'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 25}, {'player': {'id': 23203, 'name': 'Stopilla Sunzu'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 13}, {'player': {'id': 6716, 'name': 'Sébastien Corchia'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 2}, {'player': {'id': 40486, 'name': 'Éric Bauthéac'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 11}, {'player': {'id': 40697, 'name': 'Mounir Obbadi'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 40522, 'name': 'Rio Antonio Zoba Mavuba'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 24}, {'player': {'id': 23835, 'name': 'Yaw Yeboah'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 14}, {'player': {'id': 3625, 'name': 'Sofiane Boufal'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 9102, 'name': 'Serhou Guirassy'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 12}]}",Lille,143,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,4c1f5ef5-d5b1-4817-ac5e-a4eb2e1be8f0,2,,,3900503,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Lille,143,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 7282, 'name': 'Jean-Louis Leca'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 16}, {'player': {'id': 40517, 'name': 'Gilles Cioni'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 29}, {'player': {'id': 26481, 'name': 'Sébastien Squillaci'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 401194, 'name': 'François Modesto'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 20}, {'player': {'id': 4508, 'name': 'Julian Palmieri'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 15}, {'player': {'id': 4350, 'name': 'Yannick Cahuzac'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 7791, 'name': 'Seko Fofana'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 15689, 'name': 'Floyd Ayité'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 7}, {'player': {'id': 31711, 'name': 'Abdoulaye Sadio Diallo'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 2}, {'player': {'id': 7349, 'name': 'Gaël Danic'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 8}, {'player': {'id': 16271, 'name': 'Florian Raspentino'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Bastia,2736,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,a818bbc5-0104-4b61-acac-e9b9d6a181c7,3,,,3900503,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Lille,143,['4109a524-0740-4e07-86cc-63487822704a'],0,,,,,,,,,,,,,,,,,Lille,143,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,4109a524-0740-4e07-86cc-63487822704a,4,,,3900503,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Lille,143,['a818bbc5-0104-4b61-acac-e9b9d6a181c7'],0,,,,,,,,,,,,,,,,,Bastia,2736,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,22465bb7-39cb-40b7-9bf0-2784b06c1c12,1657,,,3900503,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Keeper,,,,93,Bastia,2736,['c4645df5-0fa0-4d6a-8f49-794646f24052'],0,,,,,,,,,,,,,,,,,Bastia,2736,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,c4645df5-0fa0-4d6a-8f49-794646f24052,1658,,,3900503,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Keeper,,,,93,Bastia,2736,['22465bb7-39cb-40b7-9bf0-2784b06c1c12'],0,,,,,,,,,,,,,,,,,Lille,143,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.432137,,,,,,,,,,,,,,c85b2dfe-33fe-42cb-afbc-33fc78d52bdc,5,,"[61.0, 40.1]",3900503,0,,True,,,1.4773196,,Right Foot,,,,"[61.3, 43.3]",,Ground Pass,,3.2140317,,,,Florian Raspentino,16271.0,,,,,Kick Off,1,From Kick Off,Abdoulaye Sadio Diallo,31711.0,Center Attacking Midfield,2,Bastia,2736,['d206bd6a-07ec-4a29-9c3b-67eede6c5a12'],1,,,,,,,,,,,,,,,,,Bastia,2736,00:00:01.303,Pass,
,,,,,,,,,,,,,,,,,1.931297,,,,,,,,,,,,,,4dd23ee3-c335-4a2c-96af-31a74b460e4f,7,,"[60.3, 41.6]",3900503,0,,,,,2.8387077,,Right Foot,,,,"[44.3, 46.6]",,Ground Pass,,16.763054,,,,François Modesto,401194.0,,,,,,1,From Kick Off,Florian Raspentino,16271.0,Center Forward,2,Bastia,2736,['b21b742e-9221-4724-b5c3-1f068fa57f34'],1,,,,,,,,,,,,,,,,,Bastia,2736,00:00:01.772,Pass,
,,,,,,,,,,,,,,,,,3.461841,,,,,,,,,,,,,,55d7bb6d-09ef-4edd-8684-e533281d2573,9,,"[44.2, 46.0]",3900503,0,,,,,-0.46283922,,Right Foot,,,,"[93.7, 21.3]",,High Pass,,55.32034,,Incomplete,,,,,,,,,1,From Kick Off,François Modesto,401194.0,Left Center Back,2,Bastia,2736,['a942fedd-b40c-44b2-a8a6-24fd0f0cfbc5'],3,,,,,,,,,,,,,,,,,Bastia,2736,00:00:03.703,Pass,
,,,,,,,,,,,,,,,,,1.682296,,,,,,,,,,,,,,a942fedd-b40c-44b2-a8a6-24fd0f0cfbc5,10,,"[26.4, 58.8]",3900503,0,,,,,0.62569606,,Head,,,,"[43.7, 71.3]",,High Pass,,21.343384,,,,Yaw Yeboah,23835.0,,,,,Recovery,1,Regular Play,Bakary Adama Soumaoro,3677.0,Right Center Back,3,Lille,143,"['0a115b13-dbf9-4aca-b912-2da677e85332', '55d7bb6d-09ef-4edd-8684-e533281d2573']",7,,,,,,,,,,,,,,,,,Lille,143,00:00:07.165,Pass,
