50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,a2844f0a-f937-41ac-b250-399070bdc5f5,1,,,3829437,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Gazélec Ajaccio,160,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 401508, 'name': 'Clément Maury'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 7428, 'name': 'Alexandre Coeff'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 29}, {'player': {'id': 7808, 'name': 'Roderic Filippi'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 3207, 'name': 'Pablo Jean Antoine Martínez'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 21}, {'player': {'id': 4352, 'name': 'Issiaga Sylla'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 401507, 'name': 'Jérôme Le Moigne'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 401509, 'name': 'David Ducourtioux'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 7389, 'name': 'Amos Youga'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 18}, {'player': {'id': 7721, 'name': 'John Tshibumbu'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 24}, {'player': {'id': 31911, 'name': 'Damjan Đoković'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 23}, {'player': {'id': 401505, 'name': 'Jacques Zoua Daogari'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 19}]}",Gazélec Ajaccio,160,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,29dfefa0-fd52-4bfd-a871-067fc7fddd8b,2,,,3829437,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Gazélec Ajaccio,160,,0,,,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 4547, 'name': 'Ludovic Butelle'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3431, 'name': 'Vincent Manceau'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 29}, {'player': {'id': 3045, 'name': 'Ismaël Traoré'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 8}, {'player': {'id': 3549, 'name': 'Romain Thomas'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 24}, {'player': {'id': 3203, 'name': 'Yoann Andreu'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 21}, {'player': {'id': 5219, 'name': 'Romain Saïss'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 28}, {'player': {'id': 7207, 'name': 'Férébory Doré'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 27}, {'player': {'id': 5676, 'name': ""Cheikh N''Doye""}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 17}, {'player': {'id': 3185, 'name': 'Thomas Mangani'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 5}, {'player': {'id': 3078, 'name': 'Abdoul Razzagui Camara'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 9}, {'player': {'id': 3111, 'name': 'Gilles Sunu'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Angers,145,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,ef691607-aa14-47b1-8fb4-e845f49d90a7,3,,,3829437,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Gazélec Ajaccio,160,['5c99d953-8fc6-4a61-8db7-ae8b43891c89'],0,,,,,,,,,,,,,,,,,Gazélec Ajaccio,160,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,5c99d953-8fc6-4a61-8db7-ae8b43891c89,4,,,3829437,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Gazélec Ajaccio,160,['ef691607-aa14-47b1-8fb4-e845f49d90a7'],0,,,,,,,,,,,,,,,,,Angers,145,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,349c2834-744b-49f3-ae0d-19331007fc23,1539,,,3829437,45,,,,,,,,,,,,,,,,,,,,,,,2,From Keeper,,,,98,Angers,145,['4e2d9940-b992-4c0b-b08c-86736d17afda'],0,,,,,,,,,,,,,,,,,Angers,145,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,4e2d9940-b992-4c0b-b08c-86736d17afda,1540,,,3829437,45,,,,,,,,,,,,,,,,,,,,,,,2,From Keeper,,,,98,Angers,145,['349c2834-744b-49f3-ae0d-19331007fc23'],0,,,,,,,,,,,,,,,,,Gazélec Ajaccio,160,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.683624,,,,,,,,,,,,036647f4-f756-49eb-9198-f6c28db14983,5,,"[60.0, 40.0]",3829437,0,,,,-1.9756881,,Right Foot,,,"[59.4, 38.6]",,Ground Pass,,1.5231546,,,David Ducourtioux,401509.0,,,,,Kick Off,1,From Kick Off,Jacques Zoua Daogari,401505.0,Center Forward,2,Gazélec Ajaccio,160,['20865f85-e086-4915-86d8-558884b34f3e'],0,,,,,,,,,,,,,,,,,Gazélec Ajaccio,160,00:00:00.787,Pass,
,,,,,,,,,,,,,,,,,1.880896,,,,,,,,,,,,0ec15dc2-c94c-49ac-b357-054a9449ad81,8,,"[57.6, 38.1]",3829437,0,,,,-2.1447895,,Right Foot,,,"[40.4, 11.5]",,Ground Pass,,31.676489,,,Issiaga Sylla,4352.0,,,,,,1,From Kick Off,David Ducourtioux,401509.0,Right Center Midfield,2,Gazélec Ajaccio,160,['5e8a8756-d4a3-4ea0-a28f-2feeb70555c3'],2,,,,,,,,,,,,,,,,,Gazélec Ajaccio,160,00:00:02.293,Pass,
,,,,,,,,,,,,,,,,,1.293551,,,,,,,,,,,,a801cb7c-cb42-4b3b-92e7-657d5051a581,11,,"[39.6, 9.5]",3829437,0,,,,1.5707964,,Left Foot,,,"[39.6, 20.5]",,Ground Pass,,11.0,,,Amos Youga,7389.0,,,,,,1,From Kick Off,Issiaga Sylla,4352.0,Left Back,2,Gazélec Ajaccio,160,['3de1100a-4640-4aaf-9d96-c9307308973f'],6,,,,,,,,,,,,,,,,,Gazélec Ajaccio,160,00:00:06.901,Pass,
,,,,,,,,,,,,,,,,,1.052955,,,,,,,,,,,,315e8ead-4592-4834-b882-d71910137151,15,,"[43.0, 15.9]",3829437,0,,,,-2.2794225,,Right Foot,,,"[33.4, 4.7]",,Ground Pass,,14.751271,,,Issiaga Sylla,4352.0,,,,,,1,From Kick Off,Amos Youga,7389.0,Left Center Midfield,2,Gazélec Ajaccio,160,['25909495-0a42-4a21-b8b6-00a6ff9c740f'],8,,,,,,,,,,,,,,,,,Gazélec Ajaccio,160,00:00:08.987,Pass,
