50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,53bee6ad-a00f-4e4e-b630-0d2fbd2434a6,1,,,,3901260,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Lorient,165,,0,,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 3008, 'name': 'Benjamin Lecomte'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 40}, {'player': {'id': 40531, 'name': 'Erwin Koffi'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 34}, {'player': {'id': 7346, 'name': 'Lindsay Rose'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 26}, {'player': {'id': 3769, 'name': 'Wesley Lautoa'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 24}, {'player': {'id': 5209, 'name': 'Raphaël Adelino José Guerreiro'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 14}, {'player': {'id': 22587, 'name': 'Didier Ndong Ibrahim'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 7}, {'player': {'id': 3140, 'name': 'François Bellugou'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 3102, 'name': 'Yann Jouffre'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 8}, {'player': {'id': 7336, 'name': 'Jimmy Cabot'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 27}, {'player': {'id': 33178, 'name': 'Benjamin Moukandjo Bilé'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 12}, {'player': {'id': 3552, 'name': 'Benjamin Jeannot'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 22}]}",Lorient,165,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,ffb7e9be-a72a-4afe-9ca7-bfdf25ac408c,2,,,,3901260,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Lorient,165,,0,,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 401508, 'name': 'Clément Maury'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 90746, 'name': 'Alassane Touré'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 13}, {'player': {'id': 7808, 'name': 'Roderic Filippi'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 3207, 'name': 'Pablo Jean Antoine Martínez'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 21}, {'player': {'id': 4352, 'name': 'Issiaga Sylla'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 401509, 'name': 'David Ducourtioux'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 7389, 'name': 'Amos Youga'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 18}, {'player': {'id': 31911, 'name': 'Damjan Đoković'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 23}, {'player': {'id': 7721, 'name': 'John Tshibumbu'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 24}, {'player': {'id': 7430, 'name': 'Kévin Mayi'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 5726, 'name': 'Khalid Boutaïb'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Gazélec Ajaccio,160,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,1e6da861-aa5b-4521-8989-d834e636eebf,3,,,,3901260,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Lorient,165,['2caa72af-e47d-472d-ba78-efc7447997b3'],0,,,,,,,,,,,,,,,,,,,Gazélec Ajaccio,160,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,2caa72af-e47d-472d-ba78-efc7447997b3,4,,,,3901260,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Lorient,165,['1e6da861-aa5b-4521-8989-d834e636eebf'],0,,,,,,,,,,,,,,,,,,,Lorient,165,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,6a841f7d-d405-4362-8086-e0445f3eff7f,1815,,,,3901260,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,101,Gazélec Ajaccio,160,['90ba551f-3094-41aa-978d-974d253ef971'],0,,,,,,,,,,,,,,,,,,,Gazélec Ajaccio,160,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,90ba551f-3094-41aa-978d-974d253ef971,1816,,,,3901260,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,101,Gazélec Ajaccio,160,['6a841f7d-d405-4362-8086-e0445f3eff7f'],0,,,,,,,,,,,,,,,,,,,Lorient,165,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.527089,,,,,,,,,,,,de0ef679-e161-43b0-9248-7c5b7dd724b4,5,,,"[61.0, 40.1]",3901260,0,,True,,,2.1833339,,Right Foot,,,,"[58.4, 43.8]",,Ground Pass,,4.5221677,,,John Tshibumbu,7721.0,,,,,Kick Off,1,From Kick Off,Khalid Boutaïb,5726.0,Center Forward,2,Gazélec Ajaccio,160,['eae05b83-492b-4b5f-8fd1-ce870be8ea71'],1,,,,,,,,,,,,,,,,,,,Gazélec Ajaccio,160,00:00:01.213,Pass,
,,,,,,,,,,,,,,,,,2.252312,,,,,,,,,,,,a6e3abd5-784e-4b30-8db6-667dc46936b9,7,,,"[61.5, 40.1]",3901260,0,,,,,-2.7646835,,Right Foot,,,,"[27.9, 26.8]",,Ground Pass,,36.136547,,,Pablo Jean Antoine Martínez,3207.0,,,,,,1,From Kick Off,John Tshibumbu,7721.0,Right Wing,2,Gazélec Ajaccio,160,['0762613b-d690-4db5-bedd-57a10d59a668'],2,,,,,,,,,,,,,,,,,,,Gazélec Ajaccio,160,00:00:02.306,Pass,
,,,,,,,,,,,,,,,,,1.758617,,,,,,,,,,,,b05ae976-d1fc-41ce-ad6f-464cad8ea7d6,10,,,"[27.5, 25.9]",3901260,0,,,,,2.4334598,,Right Foot,,,,"[10.8, 40.2]",,Ground Pass,,21.985905,,,Clément Maury,401508.0,,,,,,1,From Kick Off,Pablo Jean Antoine Martínez,3207.0,Left Center Back,2,Gazélec Ajaccio,160,['1b13ed12-8e35-49a5-9bf9-c1d18b1a89a6'],8,,,,,,,,,,,,,,,,,,,Gazélec Ajaccio,160,00:00:08.043,Pass,
,,,,,,,,,,,,,,,,,3.389273,,,,,,,,,,,,55ffcaf5-8118-4dc3-b8b3-e945d025d2e4,13,,,"[17.3, 36.1]",3901260,0,,,,,0.23495561,,Left Foot,,,,"[87.9, 53.0]",,High Pass,,72.59456,Incomplete,,John Tshibumbu,7721.0,,,,,,1,From Kick Off,Clément Maury,401508.0,Goalkeeper,2,Gazélec Ajaccio,160,"['72e92b72-68ce-46d8-90d2-6bb3a945b09a', 'e9960336-1eba-4a5a-99aa-9f445378ff69']",14,,,,,,,,,,,,,,,,,,,Gazélec Ajaccio,160,00:00:14.661,Pass,
