50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,5da0735d-f9eb-4d86-bf64-766816faf2b4,1,,,3901238,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,AS Monaco,129,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 3444, 'name': 'Danijel Subašić'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3247, 'name': 'Fábio Henrique Tavares'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 8277, 'name': 'Wallace Fortuna dos Santos'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 13}, {'player': {'id': 10805, 'name': 'Ricardo Alberto Silveira de Carvalho'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 3374, 'name': 'Andrea Raggi'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 24}, {'player': {'id': 3955, 'name': 'Tiemoué Bakayoko'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 3168, 'name': 'João Filipe Iria Santos Moutinho'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 5727, 'name': 'Nabil Dirar'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 7}, {'player': {'id': 3193, 'name': 'Bernardo Mota Veiga de Carvalho e Silva'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 9931, 'name': 'Hélder Wander Sousa Azevedo Costa'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 18}, {'player': {'id': 3553, 'name': 'Lacina Traoré'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 19}]}",AS Monaco,129,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,7837c0c9-a6a3-4254-bac6-0becc0aaf012,2,,,3901238,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,AS Monaco,129,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 3322, 'name': 'Jonas Lössl'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3364, 'name': 'Jonathan Martins-Pereira'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 22}, {'player': {'id': 40527, 'name': 'Brou Benjamin Angoua'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 3124, 'name': 'Jérémy Sorbon'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 20199, 'name': 'Lars Christian Jacobsen'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 2}, {'player': {'id': 401525, 'name': 'Julien Cardy'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 3348, 'name': 'Younousse Sankharé'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 13}, {'player': {'id': 3122, 'name': 'Yannis Salibur'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 19}, {'player': {'id': 3363, 'name': 'Marcus Coco'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 24}, {'player': {'id': 3213, 'name': 'Jimmy Briand'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 23}, {'player': {'id': 20027, 'name': 'Mevlüt Erdinç'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 28}]}",Guingamp,142,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,6ea10509-f3b1-4054-b12a-9b9ea917d006,3,,,3901238,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,AS Monaco,129,['dfd25bbe-e6ce-411c-b6db-654b44608fb2'],0,,,,,,,,,,,,,,,,,AS Monaco,129,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,dfd25bbe-e6ce-411c-b6db-654b44608fb2,4,,,3901238,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,AS Monaco,129,['6ea10509-f3b1-4054-b12a-9b9ea917d006'],0,,,,,,,,,,,,,,,,,Guingamp,142,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0a3b8856-6a3f-4613-833d-8513dbd16529,1513,,,3901238,45,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,98,Guingamp,142,['9bddbb32-580c-4e2a-a740-ed09b492e929'],0,,,,,,,,,,,,,,,,,Guingamp,142,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,9bddbb32-580c-4e2a-a740-ed09b492e929,1514,,,3901238,45,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,98,Guingamp,142,['0a3b8856-6a3f-4613-833d-8513dbd16529'],0,,,,,,,,,,,,,,,,,AS Monaco,129,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.647362,,,,,,,,,,,,,7e52fa83-6165-44fc-a371-2058b3e80885,5,,"[60.0, 40.0]",3901238,0,,,,1.3633001,,Left Foot,,,"[60.4, 41.9]",,Ground Pass,,1.9416488,,,Bernardo Mota Veiga de Carvalho e Silva,3193.0,,,,,Kick Off,1,From Kick Off,Lacina Traoré,3553.0,Center Forward,2,AS Monaco,129,['1ad60c49-d988-4326-a136-79772ff11581'],0,,,,,,,,,,,,,,,,,AS Monaco,129,00:00:00.384,Pass,
,,,,,,,,,,,,,,,,,0.734314,,,,,,,,,,,,,82d757a0-94f7-423b-b89a-b2eeb04a7989,7,,"[60.4, 41.9]",3901238,0,True,,,-2.863293,,Right Foot,,,"[53.4, 39.9]",,Ground Pass,,7.28011,,,João Filipe Iria Santos Moutinho,3168.0,,,,,,1,From Kick Off,Bernardo Mota Veiga de Carvalho e Silva,3193.0,Center Attacking Midfield,2,AS Monaco,129,['31035db8-42ae-4832-8cbe-614477b9568a'],1,,,,,,,,,,,,,,,,,AS Monaco,129,00:00:01.111,Pass,
,,,,,,,,,,,,,,,,,1.999382,,,,,,,,,,,,,6d474735-b417-4d4f-9c17-54c5d080ac60,9,,"[53.4, 39.9]",3901238,0,,,,1.8717166,,Right Foot,,,"[43.5, 71.8]",,Ground Pass,,33.400898,,,Fábio Henrique Tavares,3247.0,,,,,,1,From Kick Off,João Filipe Iria Santos Moutinho,3168.0,Left Defensive Midfield,2,AS Monaco,129,['7eddd1aa-99f3-40e6-ac92-dce9c3d77ac5'],2,,,,,,,,,,,,,,,,,AS Monaco,129,00:00:02.372,Pass,
,,,,,,,,,,,,,,,,,0.969675,,,,,,,,,,,,,274764bb-21f7-45a1-9cb1-f35500ef6eff,12,,"[48.5, 74.5]",3901238,0,,,,0.06627448,,Right Foot,,,"[71.1, 76.0]",,Ground Pass,,22.649725,,,Nabil Dirar,5727.0,,,,,,1,From Kick Off,Fábio Henrique Tavares,3247.0,Right Back,2,AS Monaco,129,['38d5c964-7559-45f1-b166-5ccd695188ba'],6,,,,,,,,,,,,,,,,,AS Monaco,129,00:00:06.433,Pass,
,,,,,,,,,,,,,,,,,0.984443,,,,,,,,,,,,,3e182557-a888-4142-a9d5-c57c219b3060,14,,"[71.1, 76.0]",3901238,0,,,,-1.4135683,,Right Foot,,,"[72.4, 67.8]",,High Pass,,8.302409,Incomplete,,Bernardo Mota Veiga de Carvalho e Silva,3193.0,,,,,,1,From Kick Off,Nabil Dirar,5727.0,Right Wing,2,AS Monaco,129,"['ac249a67-abd5-47e3-b45b-1aa042c86f61', 'd8e50a2a-922d-4dd9-beb4-622e6522b824']",7,,,,,,,,,,,,,,,,,AS Monaco,129,00:00:07.403,Pass,
,,,,,,,,,,,,,,,,,3.462118,,,,,,,,,,,,,d8e50a2a-922d-4dd9-beb4-622e6522b824,16,,"[47.7, 12.3]",3901238,0,,,,-0.10327274,,Head,,,"[83.4, 8.6]",,High Pass,,35.891224,Unknown,,Mevlüt Erdinç,20027.0,,,,,Recovery,1,From Kick Off,Younousse Sankharé,3348.0,Left Defensive Midfield,2,AS Monaco,129,"['3e182557-a888-4142-a9d5-c57c219b3060', 'f7801740-cedd-4860-97e2-2c974fdad027']",8,,,,,,,,,,,,,,,,,Guingamp,142,00:00:08.387,Pass,
,,,,,,,,,,,,,,,,,1.184156,,,,,,,,,,,,,5ba1926b-f9e1-4a7a-87ba-6167821a3ecf,21,,"[84.8, 4.9]",3901238,0,,,,0.953694,,Right Foot,,,"[101.9, 29.0]",,High Pass,,29.550297,Incomplete,,,,,,,,Free Kick,1,From Free Kick,Julien Cardy,401525.0,Right Defensive Midfield,3,Guingamp,142,['e072f3a7-daa0-49f8-a4bf-fc340c8d0351'],41,,,,,,,,,,,,,,,,,Guingamp,142,00:00:41.418,Pass,
