bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_lost_in_play,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,3.571556,,,,,,,,,,,,,,eaecfcde-5fbb-4d2f-a192-9056b4a85aa8,3056,,,"[6.0, 44.0]",3900567,73,,True,,,0.12659213,,Right Foot,,,"[72.0, 52.4]",,High Pass,,66.532394,Incomplete,,Enzo Crivelli,3184.0,,,,,Goal Kick,2,From Goal Kick,Cédric Carrasso,40533.0,Goalkeeper,172,Bordeaux,146,"['44afa954-fbdd-479a-8e4b-aab0ba0e6436', 'a51a01d7-fe56-4142-b98b-7fb12f66c87e']",0,,,,,,,,,,,,,,,,,Bordeaux,146,00:28:00.375,Pass,
,,,,,,,,,,,,,,,,,0.917022,,,,,,,,,,,,,,0af821db-627f-4313-94ba-ff332eb7070c,3060,,,"[81.7, 80.0]",3900567,73,,True,,,-0.42721367,,,,,"[107.4, 68.3]",,High Pass,,28.237917,,,Jaroslav Plašil,3150.0,,,,,Throw-in,2,From Throw In,André Biyogo Poko,30338.0,Right Back,173,Bordeaux,146,['12b3f272-4fe5-4ef6-803a-40954df7efee'],24,,,,,,,,,,,,,,,,,Bordeaux,146,00:28:24.208,Pass,
,,,,,,,,,,,,,,,,,1.091808,,,,,,,,,,,,,,9c3dd883-23e6-41f7-b169-c622a801b2c8,3062,,,"[107.6, 69.0]",3900567,73,,,,,-3.0475314,,Head,,,"[97.0, 68.0]",,Low Pass,,10.647065,,,Wahbi Khazri,3196.0,,,,,,2,From Throw In,Jaroslav Plašil,3150.0,Right Center Midfield,173,Bordeaux,146,['af8b39c4-e5c3-4358-af74-1cb78d041fe0'],25,,,,,,,,,,,,,,,,,Bordeaux,146,00:28:25.125,Pass,
,,,,,,,,,,,,,,,,,5.221919,,,,,,,,,,,,,,6aa1a095-238b-4477-a0b9-dbb00dc4e100,3065,,,"[100.2, 69.5]",3900567,73,,,,,-1.429101,,Right Foot,True,,"[110.1, 0.1]",,High Pass,,70.10257,Out,,Diego Alejandro Rolan Silva,6739.0,,True,,,,2,From Throw In,Wahbi Khazri,3196.0,Right Wing,173,Bordeaux,146,['95b6ea99-d06a-4bb8-a0e4-bcf8f846571b'],26,,,,,,,,,,,,,,,,,Bordeaux,146,00:28:26.967,Pass,
,,,,,,,,,,,,,,,,,1.995015,,,,,,,,,,,,,,20468e1b-a3d3-4bde-9733-a37a168a8e69,3067,,,"[17.9, 80.0]",3900567,73,,,,,-0.4092459,,,,,"[34.5, 72.8]",,High Pass,,18.094198,,,Michy Batshuayi Tunga,3457.0,,,,,Throw-in,2,From Throw In,Javier Manquillo Gaitán,3075.0,Right Back,174,Marseille,147,['9e19267e-897a-4f10-b659-de488a4b0a62'],45,,,,,,,,,,,,,,,,,Marseille,147,00:28:45.993,Pass,
,,,,,,,,,,,,,,,,,0.865125,,,,,,,,,,,,,,40712be9-5666-4d17-9959-6dc75797b713,3072,,,"[74.8, 11.1]",3900567,73,,,,,1.4947528,,Right Foot,,,"[75.6, 21.6]",,Ground Pass,,10.530432,,,Jaroslav Plašil,3150.0,,,,,Recovery,2,Regular Play,Henri Saivet,5110.0,Center Defensive Midfield,175,Bordeaux,146,['364a9181-e27d-4bf1-9c2a-39932fb5300f'],50,,,,,,,,,,,,,,,,,Bordeaux,146,00:28:50.076,Pass,
,,,,,,,,,,,,,,,,,1.380624,,,,,,,,,,,,,,c5b3b312-9ef5-4348-afd1-1588733a20cc,3075,,,"[77.4, 25.0]",3900567,73,,,,,2.620517,,Right Foot,,,"[55.1, 37.8]",,Ground Pass,,25.712448,,,Frédéric Guilbert,2946.0,,,,,,2,Regular Play,Jaroslav Plašil,3150.0,Right Center Midfield,175,Bordeaux,146,['34992081-822c-4588-a5aa-ff49cf4fba4b'],51,,,,,,,,,,,,,,,,,Bordeaux,146,00:28:51.771,Pass,
,,,,,,,,,,,,,,,,,1.145863,,,,,,,,,,,,,,c104101e-db8d-40ae-8fc4-5937ee8bbcab,3078,,,"[55.6, 40.2]",3900567,73,,,,,0.38344178,,Right Foot,,,"[73.2, 47.3]",,Ground Pass,,18.978146,,,Wahbi Khazri,3196.0,,,,,,2,Regular Play,Frédéric Guilbert,2946.0,Right Center Back,175,Bordeaux,146,['665df54f-d9be-48eb-a0f8-5fc04577850d'],54,,,,,,,,,,,,,,,,,Bordeaux,146,00:28:54.785,Pass,
,,,,,,,,,,,,,,,,,1.586835,,,,,,,,,,,,,,a6c85446-200c-46e1-9940-264461481e67,3082,,,"[71.3, 44.5]",3900567,74,,,,,0.68767124,,Right Foot,,,"[85.3, 56.0]",,Ground Pass,,18.11767,,,Jaroslav Plašil,3150.0,,,,,,2,Regular Play,Wahbi Khazri,3196.0,Right Wing,175,Bordeaux,146,['ed15a216-7054-4ff4-9592-4844a28e625e'],0,,,,,,,,,,,,,,,,,Bordeaux,146,00:29:00.026,Pass,
,,,,,,,,,,,,,,,,,2.174926,,,,,,,,,,,,,,11009ea9-d6d2-4dc3-9f4c-3f7c46e41129,3086,,,"[84.9, 56.3]",3900567,74,,,,,0.6251405,,Right Foot,,,"[106.1, 71.6]",,Ground Pass,,26.144407,,,André Biyogo Poko,30338.0,,,,,,2,Regular Play,Jaroslav Plašil,3150.0,Right Center Midfield,175,Bordeaux,146,['9a613705-b96c-4feb-9c92-3c98e76afa3f'],2,,,,,,,,,,,,,,,,,Bordeaux,146,00:29:02.841,Pass,
,,,,,,,,,,,,,,,,,1.05643,,,,,,,,,,,,,,d66dc299-cd37-4e22-989c-07a1e4339277,3089,,,"[103.5, 71.2]",3900567,74,,,,,-1.3052866,,Right Foot,True,,"[109.7, 48.4]",,Low Pass,,23.627949,Incomplete,,Diego Alejandro Rolan Silva,6739.0,,,,,,2,Regular Play,André Biyogo Poko,30338.0,Right Back,175,Bordeaux,146,"['9f65dcf7-c17d-4b81-9ca4-1ab05855d619', 'eefadc11-dc3d-4948-96fb-21a530382d50']",5,,,,,,,,,,,,,,,,,Bordeaux,146,00:29:05.232,Pass,
,,,,,,,,,,,,,,,,,1.179368,,,,,,,,,,,,,,eefadc11-dc3d-4948-96fb-21a530382d50,3091,,,"[10.4, 31.7]",3900567,74,,,,,-0.62657404,,Right Foot,,,"[23.8, 22.0]",,Ground Pass,,16.54237,,,Lucas Ariel Ocampos,4345.0,,,,,Recovery,2,Regular Play,Rolando Jorge Pires da Fonseca,19813.0,Left Center Back,175,Bordeaux,146,"['868addb2-418e-4bb8-aa62-d2192715659b', 'd66dc299-cd37-4e22-989c-07a1e4339277']",6,,,,,,,,,,,,,,,,,Marseille,147,00:29:06.288,Pass,
,,,,,,,,,,,,,,,,,0.20593,,,,,,,,,,,,,,0b42a706-16c4-497f-aa64-1f2de49915b8,3103,,,"[89.3, 70.9]",3900567,74,,,,,-0.86217004,,Right Foot,,,"[94.7, 64.6]",,Ground Pass,,8.29759,Incomplete,,Diego Alejandro Rolan Silva,6739.0,,,,,,2,Regular Play,Frédéric Guilbert,2946.0,Right Center Back,175,Bordeaux,146,"['196372d1-a82f-41c2-8a3c-f719555b26e5', '71903aa8-dd2d-4c57-a95f-7bdec4420301']",14,,,,,,,,,,,,,,,,,Bordeaux,146,00:29:14.034,Pass,
,,,,,,,,,,,,,,,,,1.855877,,,,,,,,,,,,,,9e603055-36f3-43ff-a584-1bd9b2954a46,3111,,,"[7.0, 44.1]",3900567,74,,,,,0.90534085,,Right Foot,,,"[20.5, 61.3]",,Ground Pass,,21.865269,,,Nicolas Alexis Julio N'Koulou Ndoubena,7472.0,,,,,Goal Kick,2,From Goal Kick,Steve Mandanda,3543.0,Goalkeeper,176,Marseille,147,['374408b8-9e57-41ba-bc8c-10682733bbad'],34,,,,,,,,,,,,,,,,,Marseille,147,00:29:34.072,Pass,
,,,,,,,,,,,,,,,,,1.189906,,,,,,,,,,,,,,b63f8009-bd41-4a8f-a5cb-a40a687f1e7c,3114,,,"[26.9, 61.7]",3900567,74,,,,,-0.473126,,Right Foot,,,"[35.3, 57.4]",,Ground Pass,,9.436631,,,Jacques-Alaixys Romao,10036.0,,,,,,2,From Goal Kick,Nicolas Alexis Julio N'Koulou Ndoubena,7472.0,Right Center Back,176,Marseille,147,['1305b49b-0b97-4e13-a3a2-53bb43105630'],38,,,,,,,,,,,,,,,,,Marseille,147,00:29:38.126,Pass,
,,,,,,,,,,,,,,,,,3.090715,,,,,,,,,,,,,,d77e5051-f2ca-4910-ac03-7364cbc97478,3117,,,"[35.1, 54.3]",3900567,74,,,,,-1.8176564,,Right Foot,,,"[28.8, 29.3]",,Ground Pass,,25.781582,,,Rolando Jorge Pires da Fonseca,19813.0,,,,,,2,From Goal Kick,Jacques-Alaixys Romao,10036.0,Right Defensive Midfield,176,Marseille,147,['8b74c43e-bc72-4eef-b5f2-a36c12eddf33'],40,,,,,,,,,,,,,,,,,Marseille,147,00:29:40.249,Pass,
,,,,,,,,,,,,,,,,,1.156974,,,,,,,,,,,,,,7b69b86b-1641-435d-bb3c-916b77417572,3120,,,"[42.4, 25.4]",3900567,74,,,,,-0.6517257,,Right Foot,,,"[65.6, 7.7]",,Ground Pass,,29.180986,,,Lucas Ariel Ocampos,4345.0,,,,,,2,From Goal Kick,Rolando Jorge Pires da Fonseca,19813.0,Left Center Back,176,Marseille,147,['178bd90c-61db-4264-ab4c-6ced128a0aa7'],45,,,,,,,,,,,,,,,,,Marseille,147,00:29:45.694,Pass,
,,,,,,,,,,,,,,,,,1.202686,,,,,,,,,,,,,,23abb922-994c-4b05-add6-033f990f4715,3123,,,"[64.7, 5.8]",3900567,74,,,,,0.0,,Right Foot,,,"[77.3, 5.8]",,Ground Pass,,12.6,,,Michy Batshuayi Tunga,3457.0,,,,,,2,From Goal Kick,Lucas Ariel Ocampos,4345.0,Left Wing,176,Marseille,147,['066fa248-eed1-483c-a6b8-898ab2c88463'],48,,,,,,,,,,,,,,,,,Marseille,147,00:29:48.620,Pass,
,,,,,,,,,,,,,,,,,1.59302,,,,,,,,,,,,,,5768a125-626f-4592-9434-9573613267cf,3129,,,"[48.2, 80.0]",3900567,75,,,,,-0.25351635,,,,,"[70.2, 74.3]",,High Pass,,22.726416,Incomplete,,Enzo Crivelli,3184.0,,,,,Throw-in,2,From Throw In,André Biyogo Poko,30338.0,Right Back,177,Bordeaux,146,"['98e9c867-5723-404a-acc6-997678eb58f2', 'db1eedb1-1a56-4f05-803e-d9e060cb588a']",6,,,,,,,,,,,,,,,,,Bordeaux,146,00:30:06.949,Pass,
